id,conformer,converged,MMFF94s_energy_kcal_mol,meaning
P06_proposed_C4,2,True,65.65032437945113,geometry diagnostic; compare only conformers of same species
P06_proposed_C4,3,True,60.76716751440395,geometry diagnostic; compare only conformers of same species
P06_proposed_C6,0,True,87.16144867224418,geometry diagnostic; compare only conformers of same species
P06_proposed_C6,1,True,89.98297262924781,geometry diagnostic; compare only conformers of same species
P06_proposed_C6,2,True,86.75517070698932,geometry diagnostic; compare only conformers of same species
P06_proposed_C6,3,True,91.2897031308086,geometry diagnostic; compare only conformers of same species
P07_substrate,0,True,24.245117653657072,geometry diagnostic; compare only conformers of same species
P07_proposed_C2,0,True,95.77716980130697,geometry diagnostic; compare only conformers of same species
P07_proposed_C2,1,True,95.77716972801774,geometry diagnostic; compare only conformers of same species
P07_proposed_C2,2,True,95.77716975915051,geometry diagnostic; compare only conformers of same species
P07_proposed_C2,3,True,84.54074969216919,geometry diagnostic; compare only conformers of same species
P07_proposed_C4,0,True,66.1583305155965,geometry diagnostic; compare only conformers of same species
P07_proposed_C4,1,True,65.73721107737815,geometry diagnostic; compare only conformers of same species
P07_proposed_C4,2,True,65.73721109940232,geometry diagnostic; compare only conformers of same species
P07_proposed_C4,3,True,61.251761230550784,geometry diagnostic; compare only conformers of same species
P07_proposed_C6,0,True,88.05641268318925,geometry diagnostic; compare only conformers of same species
P07_proposed_C6,1,True,93.7837453270527,geometry diagnostic; compare only conformers of same species
P07_proposed_C6,2,True,84.91091500620166,geometry diagnostic; compare only conformers of same species
P08_substrate,0,True,24.38359455072814,geometry diagnostic; compare only conformers of same species
P08_substrate,1,True,24.383594549345464,geometry diagnostic; compare only conformers of same species
P08_proposed_C2,0,True,83.03793701278346,geometry diagnostic; compare only conformers of same species
P08_proposed_C2,1,True,83.66337889317535,geometry diagnostic; compare only conformers of same species
P08_proposed_C2,2,True,90.25637627571803,geometry diagnostic; compare only conformers of same species
P08_proposed_C2,3,True,83.05580055407333,geometry diagnostic; compare only conformers of same species
P08_proposed_C4,0,True,56.6203047466264,geometry diagnostic; compare only conformers of same species
P08_proposed_C4,1,True,59.031297780490576,geometry diagnostic; compare only conformers of same species
P08_proposed_C4,2,True,58.209838977414904,geometry diagnostic; compare only conformers of same species
P08_proposed_C4,3,True,55.158369921648095,geometry diagnostic; compare only conformers of same species
P08_proposed_C6,0,True,89.78465470470357,geometry diagnostic; compare only conformers of same species
P08_proposed_C6,1,True,88.27912428523595,geometry diagnostic; compare only conformers of same species
P08_proposed_C6,2,True,85.15498592097381,geometry diagnostic; compare only conformers of same species
P08_proposed_C6,3,True,85.55680684144671,geometry diagnostic; compare only conformers of same species
P09_substrate,0,True,26.918996962303826,geometry diagnostic; compare only conformers of same species
P09_proposed_C2,0,True,88.56463800247451,geometry diagnostic; compare only conformers of same species
P09_proposed_C2,1,True,81.35648324714224,geometry diagnostic; compare only conformers of same species
P09_proposed_C2,2,True,88.56463796868363,geometry diagnostic; compare only conformers of same species
