log10_j_ma_cm2,achiral_eta_v,conditional_chiral_eta_v
-3,0,-3.20167230914e-12
-2.98,0.00238105717329,0.00238105717009
-2.96,0.00476211434659,0.00476211434338
-2.94,0.00714317151988,0.00714317151668
-2.92,0.00952422869317,0.00952422868997
-2.9,0.0119052858665,0.0119052858633
-2.88,0.0142863430398,0.0142863430366
-2.86,0.0166674002131,0.0166674002099
-2.84,0.0190484573863,0.0190484573831
-2.82,0.0214295145596,0.0214295145564
-2.8,0.0238105717329,0.0238105717297
-2.78,0.0261916289062,0.026191628903
-2.76,0.0285726860795,0.0285726860763
-2.74,0.0309537432528,0.0309537432496
-2.72,0.0333348004261,0.0333348004229
-2.7,0.0357158575994,0.0357158575962
-2.68,0.0380969147727,0.0380969147695
-2.66,0.040477971946,0.0404779719428
-2.64,0.0428590291193,0.0428590291161
-2.62,0.0452400862926,0.0452400862894
-2.6,0.0476211434659,0.0476211434627
-2.58,0.0500022006392,0.050002200636
-2.56,0.0523832578125,0.0523832578092
-2.54,0.0547643149857,0.0547643149825
-2.52,0.057145372159,0.0571453721558
-2.5,0.0595264293323,0.0595264293291
-2.48,0.0619074865056,0.0619074865024
-2.46,0.0642885436789,0.0642885436757
-2.44,0.0666696008522,0.066669600849
-2.42,0.0690506580255,0.0690506580223
-2.4,0.0714317151988,0.0714317151956
-2.38,0.0738127723721,0.0738127723689
-2.36,0.0761938295454,0.0761938295422
-2.34,0.0785748867187,0.0785748867155
-2.32,0.080955943892,0.0809559438888
-2.3,0.0833370010653,0.0833370010621
-2.28,0.0857180582386,0.0857180582354
-2.26,0.0880991154118,0.0880991154086
-2.24,0.0904801725851,0.0904801725819
-2.22,0.0928612297584,0.0928612297552
-2.2,0.0952422869317,0.0952422869285
-2.18,0.097623344105,0.0976233441018
-2.16,0.100004401278,0.100004401275
-2.14,0.102385458452,0.102385458448
-2.12,0.104766515625,0.104766515622
-2.1,0.107147572798,0.107147572795
-2.08,0.109528629971,0.109528629968
-2.06,0.111909687145,0.111909687142
-2.04,0.114290744318,0.114290744315
-2.02,0.116671801491,0.116671801488
-2,0.119052858665,0.119052858661
-1.98,0.121433915838,0.121433915835
-1.96,0.123814973011,0.123814973008
-1.94,0.126196030185,0.126196030181
-1.92,0.128577087358,0.128577087355
-1.9,0.130958144531,0.130958144528
-1.88,0.133339201704,0.133339201701
-1.86,0.135720258878,0.135720258875
-1.84,0.138101316051,0.138101316048
-1.82,0.140482373224,0.140482373221
-1.8,0.142863430398,0.142863430394
-1.78,0.145244487571,0.145244487568
-1.76,0.147625544744,0.147625544741
-1.74,0.150006601917,0.150006601914
-1.72,0.152387659091,0.152387659088
-1.7,0.154768716264,0.154768716261
-1.68,0.157149773437,0.157149773434
-1.66,0.159530830611,0.159530830607
-1.64,0.161911887784,0.161911887781
-1.62,0.164292944957,0.164292944954
-1.6,0.166674002131,0.166674002127
-1.58,0.169055059304,0.169055059301
-1.56,0.171436116477,0.171436116474
-1.54,0.17381717365,0.173817173647
-1.52,0.176198230824,0.17619823082
-1.5,0.178579287997,0.178579287994
-1.48,0.18096034517,0.180960345167
-1.46,0.183341402344,0.18334140234
-1.44,0.185722459517,0.185722459514
-1.42,0.18810351669,0.188103516687
-1.4,0.190484573863,0.19048457386
-1.38,0.192865631037,0.192865631034
-1.36,0.19524668821,0.195246688207
-1.34,0.197627745383,0.19762774538
-1.32,0.200008802557,0.200008802553
-1.3,0.20238985973,0.202389859727
-1.28,0.204770916903,0.2047709169
-1.26,0.207151974077,0.207151974073
-1.24,0.20953303125,0.209533031247
