energy_ev,D_up_up,D_up_down,D_down_up,D_down_down,L_up_up,L_up_down,L_down_up,L_down_down
-1,0.434895435492,3.71509336417e-05,3.70542030467e-05,0.43488953833,0.43488953833,3.70542030467e-05,3.71509336417e-05,0.434895435492
-0.995,0.460126808091,3.9185180998e-05,3.90811417128e-05,0.460120410438,0.460120410438,3.90811417128e-05,3.9185180998e-05,0.460126808091
-0.99,0.499822554789,4.24350182268e-05,4.2320124199e-05,0.499815427516,0.499815427516,4.2320124199e-05,4.24350182268e-05,0.499822554789
-0.985,0.555567610062,4.7023586143e-05,4.68937485877e-05,0.555559483827,0.555559483827,4.68937485877e-05,4.7023586143e-05,0.555567610062
-0.98,0.628523546524,5.30368961572e-05,5.28875528642e-05,0.6285141146,0.6285141146,5.28875528642e-05,5.30368961572e-05,0.628523546524
-0.975,0.717648105171,6.03746626306e-05,6.02012845429e-05,0.71763705424,0.71763705424,6.02012845429e-05,6.03746626306e-05,0.717648105171
-0.97,0.816692062549,6.8501269992e-05,6.83006492402e-05,0.816679155191,0.816679155191,6.83006492402e-05,6.8501269992e-05,0.816692062549
-0.965,0.911077240732,7.6191194423e-05,7.59636205669e-05,0.911062459531,0.911062459531,7.59636205669e-05,7.6191194423e-05,0.911077240732
-0.96,0.978750530715,8.16102833162e-05,8.13616828893e-05,0.978734227002,0.978734227002,8.13616828893e-05,8.16102833162e-05,0.978750530715
-0.955,0.999604284892,8.31074985807e-05,8.28493131661e-05,0.999587185228,0.999587185228,8.28493131661e-05,8.31074985807e-05,0.999604284892
-0.95,0.968902487041,8.03247547824e-05,8.00702674307e-05,0.968885462717,0.968885462717,8.00702674307e-05,8.03247547824e-05,0.968902487041
-0.945,0.900448501609,7.44398818271e-05,7.41993714548e-05,0.900432247445,0.900432247445,7.41993714548e-05,7.44398818271e-05,0.900448501609
-0.94,0.815856147334,6.72605511912e-05,6.7038945598e-05,0.815841014474,0.815841014474,6.7038945598e-05,6.72605511912e-05,0.815856147334
-0.935,0.732717891309,6.0243299589e-05,6.00409062202e-05,0.732703923402,0.732703923402,6.00409062202e-05,6.0243299589e-05,0.732717891309
-0.93,0.66066297505,5.417573271e-05,5.39901539343e-05,0.660650028721,0.660650028721,5.39901539343e-05,5.417573271e-05,0.66066297505
