kdes_per_h,voltage_chi2,joint_chi2,joint_best_kir_per_h
0.0,2010.1404736352506,10669.953941219144,0.004399825257837617
5.4920107460657597e-05,2010.1404736352506,10115.547101498312,0.004343962460290172
0.00010984021492131519,2010.1404736352506,9581.671440468432,0.0042881810677508625
0.0001647603223819728,2010.1404736352506,9068.32740002919,0.004232484538361439
0.00021968042984263039,2010.1404736352506,8575.51529858178,0.00417687634936031
0.00027460053730328797,2010.1404736352506,8103.235382421208,0.004121359998129313
0.0003295206447639456,2010.1404736352506,7651.487881542999,0.004065939003356215
0.0003844407522246032,2010.1404736352506,7220.265149520463,0.004013950299138098
0.00043936085968526077,2010.1404736352506,6809.578816816217,0.003958730664291237
0.0004942809671459184,2010.1404736352506,6419.433254695214,0.0039036170832753014
0.0005492010746065759,2010.1404736352506,6049.829570009431,0.003845279783766137
0.0006041211820672336,2010.1404736352506,5700.751512294912,0.003790389194411438
0.0006590412895278912,2010.1404736352506,5372.210619416519,0.003735615602158346
0.0007139613969885487,2010.1404736352506,5064.208967216808,0.0036809627183104388
0.0007688815044492064,2010.1404736352506,4776.749236826621,0.003626434289648506
0.0008238016119098639,2010.1404736352506,4509.834816997194,0.003572034100906921
0.0008787217193705215,2010.1404736352506,4263.470280011099,0.0035177861615881055
0.0009336418268311792,2010.1404736352506,4037.659660435594,0.0034636337880115486
0.0009885619342918368,2010.1404736352506,3832.3732976011793,0.003406308064028988
0.0010434820417524943,2010.1404736352506,3647.595868949961,0.003352459539098627
0.0010984021492131519,2010.1404736352506,3483.3794746897393,0.0032980132465100535
0.0011533222566738096,2010.1404736352506,3339.7032046544296,0.003243305095774391
0.0012082423641344672,2010.1404736352506,3216.56315293454,0.0031886301590305774
0.0012631624715951247,2010.1404736352506,3113.9581485051062,0.0031339870267770025
0.0013180825790557824,2010.1404736352506,3031.886881199018,0.0030793741790962233
0.00137300268651644,2010.1404736352506,2970.3479079036197,0.0030247899820055654
0.0014279227939770975,2010.1404736352506,2929.3396602094863,0.0029702326836558786
0.001482842901437755,2010.1404736352506,2908.8604537589617,0.0029157004103711713
0.0015377630088984128,2010.1404736352506,2908.908499573803,0.002861191162520238
0.0015926831163590703,2010.1404736352506,2929.4819176728097,0.0028067028102098652
0.0016476032238197278,2010.1404736352506,2970.578753327316,0.002752233088795008
0.0017025233312803856,2010.1404736352506,3032.196996340138,0.0026977795941919634
0.001757443438741043,2010.1404736352506,3114.32551356981,0.0026466731505274963
0.0018123635462017006,2010.1404736352506,3216.9515166201027,0.002592244314060752
0.0018672836536623584,2010.1404736352506,3340.08928110516,0.002537823605514354
0.0019222037611230159,2010.1404736352506,3483.736516380639,0.0024834080119141683
0.0019771238685836736,2010.1404736352506,3647.891016762961,0.0024289943541123075
0.002032043976044331,2010.1404736352506,3832.551194426397,0.002374478912875196
0.0020869640835049887,2010.1404736352506,4037.709475973349,0.002320489996508391
0.0021418841909656462,2010.1404736352506,4263.360912112358,0.002266539343679689
0.0021968042984263038,2010.1404736352506,4509.501539619281,0.002212626884806064
0.0022517244058869613,2010.1404736352506,4776.125857231053,0.002159217438260416
0.0023066445133476192,2010.1404736352506,5063.234244664123,0.002105679081438817
0.0023615646208082768,2010.1404736352506,5370.8154406830745,0.002051214348829054
0.0024164847282689343,2010.1404736352506,5698.89646328222,0.0019964785697743153
0.002471404835729592,2010.1404736352506,6047.4046832433105,0.0019451076623240413
0.0025263249431902494,2010.1404736352506,6416.371684677197,0.0018904425210725978
0.002581245050650907,2010.1404736352506,6805.8298644959195,0.001835824304961442
0.002636165158111565,2010.1404736352506,7215.772783403732,0.0017812609883904912
0.0026910852655722224,2010.1404736352506,7646.041512309197,0.0017300940854098972
0.00274600537303288,2010.1404736352506,8096.825899823864,0.0016756652153494449
0.0028009254804935374,2010.1404736352506,8568.07283576984,0.001621316261094279
0.002855845587954195,2010.1404736352506,9059.690510106935,0.0015705253624862133
0.0029107656954148525,2010.1404736352506,9571.738866109805,0.0015161707524762905
0.00296568580287551,2010.1404736352506,10104.220808390088,0.001462863072257593
0.003020605910336168,2010.1404736352506,10657.113185647333,0.0014095986259456627
0.0030755260177968255,2010.1404736352506,11230.409482361405,0.001356377983686027
0.003130446125257483,2010.1404736352506,11824.103026865185,0.0013032017773833605
0.0031853662327181406,2010.1404736352506,12438.186992395522,0.0012500707043438554
0.003240286340178798,2010.1404736352506,13072.654398435498,0.0011969855310450144
0.0032952064476394556,2010.1404736352506,13727.498112409638,0.0011439470970417405
0.0033501265551001136,2010.1404736352506,14402.710851812652,0.001090956319009985
0.003405046662560771,2010.1404736352506,15098.303258160491,0.0010388657950196648
0.0034599667700214286,2010.1404736352506,15814.244401938213,0.0009862437444457255
0.003514886877482086,2010.1404736352506,16550.5254719915,0.0009303785719290981
0.0035698069849427437,2010.1404736352506,17307.118812946686,0.0008779398107079945
0.0036247270924034012,2010.1404736352506,18084.047052699632,0.000825596954043515
0.0036796471998640588,2010.1404736352506,18881.304570077275,0.0007733528467991198
0.0037345673073247167,2010.1404736352506,19698.881840133665,0.0007206408508921383
0.0037894874147853743,2010.1404736352506,20536.764046059703,0.0006679238450351904
0.0038444075222460318,2010.1404736352506,21394.942369550503,0.0006152467004023078
0.0038993276297066893,2010.1404736352506,22273.40793615774,0.0005626095377455236
0.003954247737167347,2010.1404736352506,23172.157984585992,0.0005107343203644361
0.004009167844628005,2010.1404736352506,24091.175765219734,0.00045839795123198514
0.004064087952088662,2010.1404736352506,25030.45596707773,0.00040613950807722956
0.00411900805954932,2010.1404736352506,25989.99012226052,0.00035396168892188457
0.004173928167009977,2010.1404736352506,26969.765853187993,0.00029853385251361626
0.004228848274470635,2010.1404736352506,27969.717605261994,0.00024803706364418904
0.0042837683819312924,2010.1404736352506,28989.933456840823,0.0001958069637688948
0.00433868848939195,2010.1404736352506,30030.39977749893,0.0001414989564094618
0.0043936085968526075,2010.1404736352506,31090.99646769908,9.180073274698018e-05
