strategy,time_h,price_USD_kWh,availability_load,load,storage_charge_h,temperature_C,purity_assumed,evidence
constant,42,0.09954217140455666,1.25,1.0,0.0,29.99965971763308,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,43,0.10877949138921941,1.25,1.0,0.0,29.999727774106464,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,44,0.09985566101750665,1.25,1.0,0.0,29.999782219285173,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,45,0.07450189861182159,1.25,1.0,0.0,29.99982577542814,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,46,0.07658780766802448,1.25,1.0,0.0,29.99986062034251,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,47,0.08816938655432485,1.25,1.0,0.0,29.999888496274007,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,0,0.075,1.0,1.0,0.0,26.0,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,1,0.08795528975333915,1.0,0.75,-0.25,26.3625,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,2,0.0750336998522439,1.0,1.0,-0.25,27.09,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,3,0.0753310765196864,1.25,1.0,-0.25,27.672,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,4,0.1010815987667123,1.25,0.75,-0.5,27.7001,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,5,0.10746511474540484,1.25,0.75,-0.75,27.72258,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,6,0.09883643452733964,1.25,0.75,-1.0,27.740564,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,7,0.11695317473098704,1.25,0.75,-1.25,27.7549512,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,8,0.13949687204444225,1.25,0.75,-1.5,27.76646096,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,9,0.1321061356133467,1.25,0.75,-1.75,27.775668768,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,10,0.12935989973496112,1.25,0.75,-2.0,27.7830350144,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,11,0.15078416226963395,1.25,1.0,-2.0,28.22642801152,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,12,0.15318974451829415,1.25,1.0,-2.0,28.581142409216,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,13,0.13358932790124747,1.25,1.0,-2.0,28.8649139273728,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,14,0.1361652305160811,1.25,1.0,-2.0,29.09193114189824,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,15,0.1466075722991358,1.25,1.0,-2.0,29.27354491351859,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,16,0.1269521970315626,1.25,1.0,-2.0,29.418835930814872,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,17,0.10741663978110849,1.0,1.0,-2.0,29.5350687446519,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,18,0.1151554567336389,1.0,1.0,-2.0,29.62805499572152,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,19,0.1105429457753148,1.0,1.0,-2.0,29.702443996577216,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,20,0.08354443989226101,1.25,1.25,-1.75,30.324455197261774,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,21,0.07919406065233002,1.25,1.25,-1.5,30.822064157809418,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,22,0.09104197602496991,1.25,1.25,-1.25,31.220151326247535,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,23,0.07775658802918356,1.25,1.25,-1.0,31.53862106099803,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,24,0.06302814181676401,1.25,1.25,-0.75,31.793396848798423,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,25,0.07936679777967949,1.25,1.25,-0.5,31.99721747903874,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,26,0.09040469102737457,1.25,1.25,-0.25,32.160273983230994,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,27,0.07783607404731868,1.25,1.25,0.0,32.290719186584795,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,28,0.0847191856088978,1.25,1.0,0.0,31.832575349267834,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,29,0.11143599430566131,1.25,0.75,-0.25,31.02856027941427,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,30,0.11362726238688471,1.25,0.75,-0.5,30.385348223531416,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
