draw,strategy,k_total_per_h,layer_USD,electricity_scale,fixed_USD_kg,emission_factor_kg_kWh,window_feasible,cost_reduction_fraction,predicted_life_h,electricity_only_kgCO2e_per_tCl2
0,rule,0.006066731731903821,0.1590072334219454,1.280160543448976,0.1281946434989295,0.30014497781637905,True,0.009566176189411246,56.440264925597916,790.6455145869245
0,mpc,0.006066731731903821,0.1590072334219454,1.280160543448976,0.1281946434989295,0.30014497781637905,True,-0.0026379744669644545,57.15469865883334,789.7379646717875
1,rule,0.004802688719948128,0.3100689662435657,0.7643224846795672,0.12738281635020268,0.5205692374805881,True,0.000995602085224423,71.2950528646548,1363.065654752854
1,mpc,0.004802688719948128,0.3100689662435657,0.7643224846795672,0.12738281635020268,0.5205692374805881,True,-0.006243714595279615,72.19752188825804,1361.6622521704496
2,rule,0.0031894330576303256,0.34375436741307225,1.005235294138887,0.13001896927307344,0.4808941172750981,True,0.006162191413461304,107.35699417237001,1249.0209666084734
2,mpc,0.0031894330576303256,0.34375436741307225,1.005235294138887,0.13001896927307344,0.4808941172750981,True,-0.0041879480421769255,108.71594346569117,1247.9438777354367
3,rule,0.003032438488588583,0.327168581445043,1.2217482785620146,0.12137744684452499,0.5218958452147181,True,0.008713218344877705,112.91505086408311,1354.4102005748684
3,mpc,0.003032438488588583,0.327168581445043,1.2217482785620146,0.12137744684452499,0.5218958452147181,True,-0.0033971162905479524,114.34435530540063,1353.265688262975
4,rule,0.003620793812486153,0.4254779407157445,0.9556503876079655,0.12975511130783066,0.40195248981167586,True,0.0028137322564537603,94.56709327120586,1046.300930227873
4,mpc,0.003620793812486153,0.4254779407157445,0.9556503876079655,0.12975511130783066,0.40195248981167586,True,-0.00577427691701371,95.76414508476545,1045.3498882443998
5,rule,0.0035606897812748796,0.39165001780175585,1.0478543328991528,0.1760058189345166,0.48639706986388465,True,0.004273219122708949,96.16337485558385,1265.7262430313215
5,mpc,0.0035606897812748796,0.39165001780175585,1.0478543328991528,0.1760058189345166,0.48639706986388465,True,-0.00460623027210727,97.38063276514822,1264.5838654928516
6,rule,0.003429470452723259,0.46229381836474864,0.7240298488810355,0.10907133409776852,0.496024398911424,True,-0.00038126077585554086,99.84280398429598,1289.9127718934822
6,mpc,0.003429470452723259,0.46229381836474864,0.7240298488810355,0.10907133409776852,0.496024398911424,True,-0.007251505277006798,101.10663694612252,1288.7667373496517
7,rule,0.004378056166946612,0.07187279300958471,0.8473525009018587,0.12788959498236396,0.1632363105819137,True,0.011339443287824325,78.2100395984615,426.5299795621771
7,mpc,0.004378056166946612,0.07187279300958471,0.8473525009018587,0.12788959498236396,0.1632363105819137,True,-0.0010804528390333523,79.20004009970788,426.10881896955743
8,rule,0.008048058484360484,0.31903967874476086,0.7593865311622675,0.10205895327669638,0.17516037472173393,False,,42.545409783809696,465.52715175391234
8,mpc,0.008048058484360484,0.31903967874476086,0.7593865311622675,0.10205895327669638,0.17516037472173393,False,,43.083959274744,464.9159340114256
9,rule,0.0032514124804469734,0.12563504847095674,1.0554652765470243,0.05438274726648857,0.3069462197412527,True,0.014093829373806321,105.31052219314608,797.4834645388919
9,mpc,0.0032514124804469734,0.12563504847095674,1.0554652765470243,0.05438274726648857,0.3069462197412527,True,-0.0016871869785255456,106.64356677786947,796.7903465502271
10,rule,0.0040721641397921384,0.4059167342386359,0.8293535583048847,0.06015926481290777,0.20691995097198215,True,0.000809796227815518,84.08500601320584,539.8510128124043
10,mpc,0.0040721641397921384,0.4059167342386359,0.8293535583048847,0.06015926481290777,0.20691995097198215,True,-0.007671460875913638,85.14937317792997,539.3347928623997
11,rule,0.003326924630355012,0.3405122956841474,1.2771891074063133,0.11567103491161285,0.23962607329612004,True,0.008311405920446546,102.92025946636646,622.8199882959797
11,mpc,0.003326924630355012,0.3405122956841474,1.2771891074063133,0.11567103491161285,0.23962607329612004,True,-0.003720223654995136,104.22304756087743,622.2735523311821
12,rule,0.006039848325772302,0.22871555553537798,0.846897238507942,0.17561905382084364,0.4142660746266803,True,0.002645079102151837,56.691480930094414,1091.1282474443349
12,mpc,0.006039848325772302,0.22871555553537798,0.846897238507942,0.17561905382084364,0.4142660746266803,True,-0.0048453840206355014,57.40909461275385,1089.878410508553
13,rule,0.004314374113617677,0.18576486874344983,1.2353300857865377,0.1359471879655129,0.22165723231643317,True,0.010000481597443267,79.3644540700408,578.9987963258652
13,mpc,0.004314374113617677,0.18576486874344983,1.2353300857865377,0.1359471879655129,0.22165723231643317,True,-0.0024252860888374084,80.36906741269956,578.4308129795959
14,rule,0.004085142649916163,0.05945003773276882,1.3283779273558622,0.100313854475352,0.46296089088051784,True,0.01547921117239437,83.81786770364315,1207.9363987071479
14,mpc,0.004085142649916163,0.05945003773276882,1.3283779273558622,0.100313854475352,0.46296089088051784,True,-0.00036224897285808133,84.87885337077788,1206.7797227542735
15,rule,0.004917197351734407,0.08413199255072715,0.7822369186369335,0.1716606017766526,0.3193676710981157,True,0.008871773194787491,69.63477804290447,836.7022965393124
15,mpc,0.004917197351734407,0.08413199255072715,0.7822369186369335,0.1716606017766526,0.3193676710981157,True,-0.0014445744903968105,70.51623092952353,835.8314976836909
16,rule,0.004974981645990921,0.3956088842655168,0.9443900838171515,0.07633757709555149,0.1604356837106133,True,0.00038259852880107026,68.8259717414459,420.43859408131186
16,mpc,0.004974981645990921,0.3956088842655168,0.9443900838171515,0.07633757709555149,0.1604356837106133,True,-0.007670690500989563,69.69718657361611,419.99866921867505
17,rule,0.004369685498048684,0.4541399538431454,1.042585435731185,0.05821674816087801,0.5837126656610884,True,0.0014501673197208076,78.35986052865543,1525.1547590887726
17,mpc,0.004369685498048684,0.4541399538431454,1.042585435731185,0.05821674816087801,0.5837126656610884,True,-0.007606164441974705,79.3517574973726,1523.650091597472
18,rule,0.0036434869738057145,0.2363352011544842,0.7632838698517251,0.16192236598092094,0.22484686909699528,True,0.005109376835759516,93.978089847136,585.3544051247173
18,mpc,0.0036434869738057145,0.2363352011544842,0.7632838698517251,0.16192236598092094,0.22484686909699528,True,-0.0036407850178461487,95.16768592115041,584.8209310827534
19,rule,0.0041445846737804305,0.24691088989702642,0.704264594578461,0.12812151391352583,0.4483117793748147,True,0.0035330612218171797,82.61574394832185,1170.0621686557624
19,mpc,0.0041445846737804305,0.24691088989702642,0.704264594578461,0.12812151391352583,0.4483117793748147,True,-0.004781183801597866,83.66151285906011,1168.9346135879166
20,rule,0.004621741373606265,0.1910227992177051,0.7593302471983985,0.17635495477839158,0.1757610607416932,True,0.004849625669253066,74.08634938696453,459.8083367621494
20,mpc,0.004621741373606265,0.1910227992177051,0.7593302471983985,0.17635495477839158,0.1757610607416932,True,-0.0034976983874588363,75.02415127793878,459.3431147053706
21,rule,0.003037490365493795,0.23384027967048238,0.7687251487174339,0.09546650982154337,0.6237192060819102,True,0.007409794066835951,112.7272534164957,1618.7020407975147
21,mpc,0.003037490365493795,0.23384027967048238,0.7687251487174339,0.09546650982154337,0.6237192060819102,True,-0.003644795729968564,114.15418067493236,1617.333287891727
22,rule,0.0068012142168500525,0.13107322504905244,1.3341568029571114,0.13610112945876116,0.4357394870163609,True,0.0103269703909038,50.34512004236908,1151.7033807045696
22,mpc,0.0068012142168500525,0.13107322504905244,1.3341568029571114,0.13610112945876116,0.4357394870163609,True,-0.002150157798316954,50.982400042905404,1150.307719764949
23,rule,0.004634102227666231,0.2576540068611112,1.1445014597667453,0.12085790851145581,0.37505662827756003,True,0.007012964053521253,73.88873386024166,981.244741211355
23,mpc,0.004634102227666231,0.2576540068611112,1.1445014597667453,0.12085790851145581,0.37505662827756003,True,-0.003981392651733806,74.82403428885233,980.2507418370449
24,rule,0.004141472381091043,0.11735154377223068,0.8237574462676894,0.053828838043203264,0.5663989061068269,True,0.011659347456570823,82.67782920502734,1478.238282115111
24,mpc,0.004141472381091043,0.11735154377223068,0.8237574462676894,0.053828838043203264,0.5663989061068269,True,-0.002452542514898459,83.72438400509098,1476.814218402428
25,rule,0.003841927228293839,0.33454618394561364,1.021206051468711,0.14705928771762164,0.4594235484754534,True,0.004961578024984203,89.1240062173804,1197.2423980782355
25,mpc,0.003841927228293839,0.33454618394561364,1.021206051468711,0.14705928771762164,0.4594235484754534,True,-0.00453612277175508,90.2521581948156,1196.1262042161593
26,rule,0.0026325249383579033,0.21495518534657404,1.213294429329185,0.14690558316826205,0.23736215131560598,True,0.011069738111235017,130.06826305499987,614.7051164427096
26,mpc,0.0026325249383579033,0.21495518534657404,1.213294429329185,0.14690558316826205,0.23736215131560598,True,-0.0018780123794785997,131.71469676455686,614.2133351816373
27,rule,0.005090311999898058,0.48839278676716535,0.6730679599941403,0.131612396463811,0.358915199044205,True,-0.006145575244552504,67.26659312593029,941.0991199384885
27,mpc,0.005090311999898058,0.48839278676716535,0.6730679599941403,0.131612396463811,0.358915199044205,True,-0.009716393515964317,68.11806898828384,940.1039561189306
28,rule,0.004509775535575957,0.19091096976734123,0.8499967151955814,0.1575512025904809,0.3380264895745704,True,0.006168786500625356,75.92571813830935,883.8243041825099
28,mpc,0.004509775535575957,0.19091096976734123,0.8499967151955814,0.1575512025904809,0.3380264895745704,True,-0.00331870175062976,76.88680317803478,882.9399208609576
29,rule,0.004241282338315286,0.1277428548829358,1.3431366613260072,0.173843205911539,0.5355897238434272,True,0.011596488936846283,80.73217458029303,1398.52521946251
29,mpc,0.004241282338315286,0.1277428548829358,1.3431366613260072,0.173843205911539,0.5355897238434272,True,-0.0012968660975867241,81.75410084080308,1397.1636831391736
30,rule,0.0034380579271231803,0.263337701506674,0.9792564836598037,0.14560079198324158,0.29163046152727046,True,0.007092460206202134,99.59341972684429,758.4191869387851
