delay_s,delta_weight_siemens_s,delta_weight_over_g0_tau,final_state,peak_state_change
-0.05,-7.90531843428e-12,-7.52887469931e-05,0.500000000793,0.022021084406
-0.049,-1.20751118716e-11,-0.000115001065444,0.500000000791,0.0220387274944
-0.048,-1.66560734488e-11,-0.000158629270941,0.500000000789,0.0220583751001
-0.047,-2.17405976176e-11,-0.000207053310644,0.500000000787,0.0220802581142
-0.046,-2.74239342921e-11,-0.000261180326592,0.500000000785,0.0221046344524
-0.045,-3.38069991461e-11,-0.000321971420439,0.500000000782,0.0221317922807
-0.044,-4.09988995237e-11,-0.000390465709749,0.500000000779,0.022162053639
-0.043,-4.91193321951e-11,-0.000467803163763,0.500000000775,0.02219577851
-0.042,-5.83009685163e-11,-0.000555247319203,0.500000000771,0.0222333693944
-0.041,-6.8691917209e-11,-0.000654208735324,0.500000000765,0.0222752764556
-0.04,-8.04583398597e-11,-0.000766269903426,0.50000000076,0.0223220033119
-0.039,-9.37872859029e-11,-0.000893212246695,0.500000000753,0.0223741135601
-0.038,-1.08889810371e-10,-0.00103704581306,0.500000000745,0.0224322381318
-0.037,-1.25590270681e-10,-0.00119609781601,0.500000000736,0.0224970835956
-0.036,-1.42316214992e-10,-0.00135539252373,0.500000000729,0.0225694415372
-0.035,-1.61271694088e-10,-0.00153592089608,0.50000000072,0.0226501991718
-0.034,-1.82735982856e-10,-0.00174034269387,0.50000000071,0.0227403513651
-0.033,-2.07064497231e-10,-0.00197204283077,0.500000000698,0.0228410142723
-0.032,-2.34640390675e-10,-0.00223467038738,0.500000000686,0.0229534408401
-0.031,-2.65871029845e-10,-0.00253210504614,0.500000000671,0.023079038458
-0.03,-3.01268654379e-10,-0.0028692252798,0.500000000655,0.0232193891015
-0.029,-3.41372024653e-10,-0.00325116213955,0.500000000637,0.0233762723738
-0.028,-3.86819228842e-10,-0.00368399265563,0.500000000617,0.0235516919326
-0.027,-4.3830218938e-10,-0.00417430656553,0.500000000594,0.02374790589
-0.026,-4.96642978261e-10,-0.00472993312629,0.500000000568,0.0239674618958
-0.025,-5.62746664001e-10,-0.0053594920381,0.500000000539,0.0242132377742
-0.024,-6.37640968159e-10,-0.00607277112533,0.500000000506,0.0244884887816
-0.023,-7.22493530922e-10,-0.00688089077068,0.50000000047,0.0247969028041
-0.022,-8.18631826159e-10,-0.00779649358247,0.500000000428,0.025142665143
-0.021,-9.27564504587e-10,-0.00883394766274,0.500000000382,0.0255305349521
-0.02,-1.05096187661e-09,-0.0100091607296,0.500000000329,0.0259659359418
-0.019,-1.19076913427e-09,-0.0113406584216,0.50000000027,0.02645506468
-0.018,-1.34916033243e-09,-0.0128491460232,0.500000000204,0.0270050207716
-0.017,-1.52858849666e-09,-0.0145579856825,0.50000000013,0.0276239644623
-0.016,-1.73185170602e-09,-0.0164938257716,0.500000000047,0.0283213089116
-0.015,-1.9620959861e-09,-0.018686628439,0.499999999953,0.0291079566824
-0.014,-2.22288942636e-09,-0.0211703754892,0.499999999848,0.0299965931383
-0.013,-2.50570785756e-09,-0.0238638843577,0.499999999733,0.0309406192383
-0.012,-2.79256578415e-09,-0.0265958646109,0.499999999613,0.0318374640969
-0.011,-3.08365080653e-09,-0.0293681029194,0.499999999488,0.0326640177945
-0.01,-3.37930829158e-09,-0.0321838884913,0.499999999358,0.0333944653556
-0.009,-3.67969429628e-09,-0.0350447075836,0.499999999226,0.0339987897204
-0.008,-3.98464201148e-09,-0.0379489715379,0.499999999092,0.0344424112285
-0.007,-4.29319466252e-09,-0.0408875682145,0.49999999896,0.0346858934024
-0.006,-4.60278748052e-09,-0.0438360712431,0.499999998834,0.0346847758014
-0.005,-4.90746642063e-09,-0.0467377754346,0.499999998719,0.0343896301082
-0.004,-5.19369691284e-09,-0.0494637801223,0.499999998625,0.0337464925378
-0.003,-5.42926850156e-09,-0.0517073190625,0.499999998568,0.0326979184714
-0.002,-5.52731186996e-09,-0.0526410654282,0.499999998576,0.0311850585264
-0.001,-5.4130221229e-09,-0.0515525916467,0.499999998666,0.0291514117748
