interval_s,second_over_first_conductance
0.002,1.03104155296
0.00224388038241,1.03027642539
0.00251749958529,1.02919303094
0.00282448396608,1.0283260214
0.00316890208096,1.0273467414
0.00355531860663,1.02626861516
0.00398885483733,1.02542263342
0.00447525655888,1.02418442538
0.00502097019937,1.02270188879
0.00563322826553,1.02156032972
0.00632014519733,1.019914423
0.00709082491115,1.01865318624
0.00795548145663,1.01685935756
0.00892557438659,1.01550546098
0.0100139606339,1.01370170284
0.0112350649083,1.01232179397
0.0126050708715,1.01052316762
0.0141421356237,1.00922154105
0.0158666303458,1.0075518954
0.0178014102839,1.0061808216
0.0199721176577,1.00494872195
0.0224075215037,1.00383239278
0.0251398989603,1.00307063544
0.0282054630464,1.0020624364
0.0316448426034,1.00160314317
0.0355036207611,1.00089563708
0.0398329390652,1.00070611024
0.0446901752712,1.00043475666
0.0501397037888,1.00025209264
0.0562537488558,0.999946479498
0.0631133417474,0.999878890993
0.0708093947078,0.99984199793
0.0794439058376,1.00001346118
0.0891313109057,1.00000510291
0.1,1.00000172428
