time_s,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24
0,0.10238800527,-0.0644864803925,0.0774222819777,-0.00414417171957,0.0474924587656,-0.0822056225758,-0.204159130114,-0.142398881953,-0.0156514309704,0.0996433516384,-0.15809165183,0.165911741581,0.116266330601,0.0420602393653,-0.0510108974706,0.0417318645503,0.186086134963,0.174828552686,-0.0265223827181,-0.013821846173,-0.0266496174456,-0.0664912112809,-0.186629914966,-0.231246886838,0.0732071647178
0.0005,0.101219205268,-0.0621641225685,0.0759849610299,-0.00356872514708,0.0464427423228,-0.0791558044196,-0.199970238761,-0.138726938074,-0.0145951535974,0.0963594131122,-0.153999320443,0.161653948034,0.11398415755,0.0401155907905,-0.0496508640625,0.0416629519621,0.181834190248,0.170129858861,-0.0257012161981,-0.0139561330804,-0.0255581810936,-0.0658405720404,-0.183019131287,-0.227169580452,0.0702002469975
0.001,0.100656253788,-0.0610735424391,0.0752984748957,-0.00329680528686,0.0459441897575,-0.0777235713285,-0.198070294443,-0.137012307138,-0.0140968452705,0.0947979896127,-0.152098869352,0.159598805617,0.112883678616,0.0391928086629,-0.0490082304438,0.0416257182631,0.17979284439,0.167858920215,-0.0253184719917,-0.01402054606,-0.0250421771882,-0.0655405518373,-0.181381043075,-0.225297338035,0.0687701459389
0.0015,0.100652933633,-0.0611234878172,0.0753056782177,-0.00330560946866,0.0459551084911,-0.077789434767,-0.198297671997,-0.137111248098,-0.0141147515603,0.0948285768615,-0.152231562179,0.159576279713,0.11287427075,0.0392145834601,-0.0490293166546,0.0416172801651,0.1797936498,0.167828800106,-0.0253419456288,-0.0140204743482,-0.0250583516296,-0.0655654793134,-0.181575390889,-0.225473930567,0.0687971811572
0.002,0.101174188599,-0.0622448038352,0.0759632431318,-0.00357788831868,0.0464438775692,-0.0792626204435,-0.200529427543,-0.138914643837,-0.0146172765549,0.0963519645348,-0.154276513495,0.161456151892,0.113886792448,0.0401223054403,-0.0496734868713,0.0416354054072,0.181707538467,0.169896056727,-0.0257473115679,-0.0139600136457,-0.0255739629338,-0.0658960042371,-0.183495759206,-0.227579993192,0.070190530909
0.0025,0.102197657945,-0.0643938348871,0.077243566466,-0.00410274302183,0.0473903725506,-0.0820856019237,-0.204688511962,-0.142353549772,-0.0155844698415,0.0993046784108,-0.158157204759,0.165153425075,0.115876562691,0.0418786847218,-0.0509150704684,0.0416785439105,0.185450529065,0.173966834099,-0.0265193605129,-0.0138417982549,-0.0265682937096,-0.06652008202,-0.187075635307,-0.231540111634,0.0728922506136
0.003,0.103713709138,-0.0675526825147,0.0791348123935,-0.00487566459424,0.0487860107023,-0.086234452531,-0.210744831972,-0.147399681381,-0.017008112849,0.103659073032,-0.163842192244,0.170628126786,0.118823358454,0.0444678186728,-0.0527434787559,0.0417457895146,0.190983733732,0.179996703959,-0.0276521236119,-0.0136670065116,-0.0280327223426,-0.0674330722877,-0.192289242695,-0.237323888566,0.0768773400075
0.0035,0.105724260528,-0.0717269302655,0.0816394515625,-0.00589796237803,0.0506326829575,-0.0917158257096,-0.218711363542,-0.154061822592,-0.0188906770515,0.109419907592,-0.171341134369,0.177880553489,0.122729000843,0.0478931969991,-0.0551618692249,0.0418367837098,0.198308735567,0.187985423763,-0.0291481035868,-0.0134355067917,-0.0299696342592,-0.0686371253817,-0.199148167437,-0.24494217888,0.0821506164143
0.004,0.108240447459,-0.0769409562675,0.0847713621503,-0.00717560887357,0.052940621565,-0.0985607278953,-0.228635610814,-0.162378357842,-0.0212432056328,0.116617556739,-0.180696390033,0.186942139153,0.127612635789,0.0521737286694,-0.0581844246869,0.0419515499541,0.207458539037,0.19796681616,-0.0310167181481,-0.0131461425442,-0.03239041583,-0.0701399028609,-0.207694011445,-0.254438793139,0.0887405270724
0.0045,0.111278940567,-0.0832304509331,0.0885512545194,-0.00871740420617,0.0557250292002,-0.106814587875,-0.240585775245,-0.17240533303,-0.0240819418505,0.125297313397,-0.191969545689,0.19786126421,0.133503344794,0.0573374727549,-0.061832019743,0.0420902836078,0.218483425257,0.209993022892,-0.0332716859976,-0.0127971708879,-0.0353117288198,-0.071952484705,-0.217986496845,-0.265877046069,0.0966893971885
0.005,0.114856483513,-0.0906312650241,0.0929998821392,-0.0105322411973,0.0590010766751,-0.116522488846,-0.25463011318,-0.184198676902,-0.0274233030143,0.135503568747,-0.205221382622,0.210682506817,0.14042926695,0.0634123430447,-0.066125757854,0.0422530339439,0.231430211275,0.224111474999,-0.0359270526433,-0.0123869052205,-0.0387503495039,-0.0740862511987,-0.230085670702,-0.279319661705,0.106038989111
0.0055,0.118982008819,-0.0991632961981,0.098128243499,-0.0126251521141,0.0627766895809,-0.127707902169,-0.270807243341,-0.197788575349,-0.0312767083187,0.147257094449,-0.220483108782,0.225417222995,0.14840204392,0.0704126999408,-0.0710776120183,0.0424392633712,0.246312789443,0.240332234835,-0.0389915490526,-0.0119146437035,-0.0427157075638,-0.0765483423437,-0.244026206837,-0.294799837983,0.116809729437
