time_s,rms_state_distance
0.0005,0.562591850656
0.001,0.529400424745
0.0015,0.499807122655
0.002,0.473290342085
0.0025,0.44941079011
0.003,0.427798750729
0.0035,0.40814311116
0.004,0.390181963144
0.0045,0.373694603471
0.005,0.358494765616
0.0055,0.344424923604
0.006,0.33135152052
0.0065,0.319160987069
0.007,0.307756429659
0.0075,0.297054881818
0.008,0.286985026733
0.0085,0.277485311819
0.009,0.268502388242
0.0095,0.259989818919
0.01,0.251907007894
0.0105,0.244218311951
0.011,0.236892302145
0.0115,0.22990114864
0.012,0.223220107012
0.0125,0.216827088098
0.013,0.210702296753
0.0135,0.2048279275
0.014,0.199187908124
0.0145,0.19376770097
0.015,0.188554084432
0.0155,0.18353499743
0.016,0.178699412853
0.0165,0.174037220615
0.017,0.169539126698
0.0175,0.165196565688
0.018,0.161001624741
0.0185,0.156946977257
0.019,0.153025824824
0.0195,0.149231846255
0.02,0.145559152681
0.0205,0.142002247892
0.021,0.13855599318
0.0215,0.1352155761
0.022,0.131976482634
0.0225,0.12883447231
0.023,0.125785555923
0.0235,0.122825975518
0.024,0.119952186377
0.0245,0.11716084076
0.025,0.114448773205
0.0255,0.111812987209
0.026,0.109250643128
0.0265,0.106759047173
0.027,0.104335641372
0.0275,0.101977994406
0.028,0.0996837932302
0.0285,0.0974508353809
0.029,0.0952770219283
0.0295,0.0931603509876
0.03,0.0910989117472
0.0305,0.0890908789607
0.031,0.0871345078595
0.0315,0.0852281294489
0.032,0.0833701461508
0.0325,0.0815590277641
0.033,0.0797933077135
0.0335,0.0780715795635
0.034,0.0763924937729
0.0345,0.0747547546716
0.035,0.0731571176405
0.0355,0.0715983864783
0.036,0.0700774109395
0.0365,0.0685930844317
0.037,0.067144341858
0.0375,0.0657301575944
0.038,0.0643495435921
0.0385,0.0630015475949
0.039,0.0616852514632
0.0395,0.0603997695976
0.04,0.0591442474537
0.0405,0.0579178601432
0.041,0.056719811114
0.0415,0.0555493309044
0.042,0.0544056759665
0.0425,0.0532881275533
0.043,0.0521959906672
0.0435,0.0511285930628
0.044,0.0500852843043
0.0445,0.0490654348699
0.045,0.0480684353041
0.0455,0.047093695412
0.046,0.0461406434945
0.0465,0.0452087256214
0.047,0.0442974049405
0.0475,0.04340616102
0.048,0.0425344892224
0.0485,0.0416819001085
0.049,0.0408479188694
0.0495,0.0400320847846
0.05,0.0392339507055
0.0505,0.0384530825621
0.051,0.037689058892
0.0515,0.0369414703906
0.052,0.036209919481
0.0525,0.0354940199029
0.053,0.0347933963191
0.0535,0.0341076839391
0.054,0.0334365281585
0.0545,0.0327795842139
0.055,0.0321365168514
0.0555,0.0315070000102
0.056,0.0308907165177
0.0565,0.0302873577976
0.057,0.0296966235903
0.0575,0.0291182216833
0.058,0.0285518676529
