epoch,E_hartree,var_EL,acceptance,mc_step,grad_norm,lr,elapsed_s
1,-1.0788075399942891,0.24620499638188925,0.549560546875,0.5323062499999999,0.23478571333075995,0.004999976081356013,0.8441309928894043
2,-1.088786936551092,0.20347811938128627,0.5235595703125,0.5323062499999999,0.23377183569458193,0.004999904325905819,1.6550145149230957
3,-1.0668412588782195,0.18411718158799006,0.533935546875,0.5323062499999999,0.15684860523375216,0.00499978473509472,2.5331671237945557
4,-1.0800662009924697,0.1782947870039573,0.525634765625,0.5323062499999999,0.09933283713901613,0.004999617311331514,3.378326177597046
5,-1.0721421741728907,0.2468807248461003,0.5277099609375,0.5323062499999999,0.1274880900839987,0.004999402057988454,4.213816165924072
6,-1.0759153382207947,0.23636758732835939,0.5277099609375,0.5323062499999999,0.19798310796256952,0.004999138979401177,5.092214584350586
7,-1.0598337051966555,0.1830036577449669,0.541015625,0.5323062499999999,0.1544518692604437,0.004998828080868614,6.026214361190796
8,-1.0784729700969242,0.11696916821064902,0.5224609375,0.5323062499999999,0.14244991498522552,0.00499846936865289,6.914231061935425
9,-1.0778939022670633,0.09242724049498113,0.51904296875,0.5323062499999999,0.08161698894933765,0.004998062849979191,7.7656090259552
10,-1.074895003100158,0.10226021938079179,0.5291748046875,0.5323062499999999,0.16843139881604732,0.004997608533035624,8.68838381767273
11,-1.0821167362941897,0.09393885866606141,0.521728515625,0.5323062499999999,0.12024687939481868,0.0049971064269730475,9.607913970947266
12,-1.0844242316243293,0.10214118751813384,0.523681640625,0.5323062499999999,0.1243888036896578,0.004996556541904889,10.536812543869019
13,-1.075368719471756,0.12329503620761395,0.5283203125,0.5323062499999999,0.14583419869146239,0.004995958888906943,11.429427862167358
14,-1.0848628752210039,0.09256155168686736,0.530517578125,0.5323062499999999,0.11292845036348706,0.004995313480017146,12.386598348617554
15,-1.0856982289513146,0.06681644838928748,0.5286865234375,0.5323062499999999,0.0919039007694201,0.004994620328235335,13.249795913696289
16,-1.0898668547443928,0.06519972609373759,0.5257568359375,0.5323062499999999,0.07653164004264766,0.004993879447522983,14.129099130630493
17,-1.0910150209119394,0.05956160266831696,0.524169921875,0.5323062499999999,0.070135407688867,0.004993090852802921,14.979934692382812
18,-1.0827033920023537,0.05852507412155965,0.525634765625,0.5323062499999999,0.06764146292620113,0.004992254559959036,15.852052211761475
19,-1.0843932504212797,0.08217992049590403,0.5064697265625,0.5323062499999999,0.0951576988596831,0.004991370585835955,16.782803297042847
20,-1.0739385858779302,0.09984996922045875,0.5098876953125,0.5323062499999999,0.11913954877277362,0.004990438948238695,17.6802499294281
21,-1.078247023320873,0.0501247251142197,0.52099609375,0.5323062499999999,0.09838272108045423,0.004989459665932317,18.507456302642822
22,-1.0892057721792279,0.04422924678606896,0.512939453125,0.5323062499999999,0.04250524213259566,0.004988432758641541,19.339131355285645
23,-1.0882823458900859,0.05859026722738106,0.512939453125,0.5323062499999999,0.04775111198093029,0.0049873582470503506,20.192564964294434
24,-1.0904069703929995,0.08480922240061735,0.515625,0.5323062499999999,0.0640832763456121,0.004986236152801574,21.058626651763916
25,-1.0901910868988116,0.04184475592936115,0.5130615234375,0.5323062499999999,0.08238639034469533,0.004985066498496453,21.927611112594604
26,-1.0873006755817296,0.07170123224708537,0.5205078125,0.5323062499999999,0.058375582079486225,0.004983849307694182,22.78450584411621
27,-1.0863064867329415,0.049683469422864966,0.52294921875,0.5323062499999999,0.047065229573149764,0.004982584604911438,23.70703935623169
28,-1.0822973835704675,0.0479488439037606,0.5137939453125,0.5323062499999999,0.0477879113226117,0.004981272415621886,24.546560764312744
29,-1.0866346347760447,0.04613607714538477,0.5140380859375,0.5323062499999999,0.026388265760038828,0.004979912766255662,25.412458896636963
30,-1.0976502093883984,0.047130147488283175,0.515380859375,0.5323062499999999,0.05957285546229992,0.004978505684198846,26.313162565231323
31,-1.0926526201616387,0.0347776659028215,0.5146484375,0.5323062499999999,0.041375954543815575,0.004977051197792908,27.24229097366333
32,-1.0932589015582104,0.03642587685322583,0.5010986328125,0.5323062499999999,0.04286085490083919,0.004975549336334133,28.057231187820435
33,-1.0901091410333401,0.02889544650612813,0.51904296875,0.5323062499999999,0.04805810445712464,0.004974000130073044,28.935566663742065
34,-1.089765972492406,0.038095561788642096,0.503173828125,0.5323062499999999,0.05372740177884669,0.004972403610213774,29.814135551452637
35,-1.090084349942242,0.03404865809976601,0.507080078125,0.5323062499999999,0.0386841889966064,0.004970759808913453,30.662166118621826
36,-1.0913853470576198,0.049671488232468454,0.5179443359375,0.5323062499999999,0.039954390475429626,0.004969068759281553,31.544248342514038
37,-1.0912461899870292,0.03532160922047006,0.51904296875,0.5323062499999999,0.05157438471252341,0.004967330495379223,32.361708641052246
38,-1.0893243182415588,0.037734981278996965,0.5201416015625,0.5323062499999999,0.046010184343864044,0.004965545052218602,33.169184923172
39,-1.092440418807386,0.024392055243357646,0.5098876953125,0.5323062499999999,0.046398395781081736,0.004963712465762114,34.12549877166748
40,-1.0996665700980968,0.03300444758115953,0.5150146484375,0.5323062499999999,0.0810223655531306,0.004961832772921746,35.022547245025635
41,-1.092520696183751,0.0324839718830496,0.518798828125,0.5323062499999999,0.06579541705139183,0.0049599060115583,35.883474588394165
42,-1.0963338813254215,0.027799987311269116,0.5174560546875,0.5323062499999999,0.059708503591723916,0.004957932220480636,36.728445291519165
43,-1.0946299476262693,0.03794309926366941,0.51025390625,0.5323062499999999,0.050615304326953936,0.004955911439444884,37.60483980178833
44,-1.091523851028573,0.02992025353374506,0.5091552734375,0.5323062499999999,0.04323029603828919,0.0049538437091536484,38.45875263214111
45,-1.0902099910731198,0.03250164336708445,0.5218505859375,0.5323062499999999,0.025592879834739138,0.004951729071255185,39.31029796600342
46,-1.0921462776553832,0.03289406283558532,0.5184326171875,0.5323062499999999,0.03395426648106339,0.004949567568342566,40.173035621643066
47,-1.0893369463475837,0.0403016354340239,0.52685546875,0.5323062499999999,0.04407745731270238,0.0049473592439528155,41.03022027015686
48,-1.0908021548505924,0.027071800300886698,0.5201416015625,0.5323062499999999,0.043431515522445965,0.004945104142566039,41.8154501914978
49,-1.09706820132386,0.027784360386871373,0.5125732421875,0.5323062499999999,0.05749765944228436,0.0049428023096045265,42.60959243774414
50,-1.0955915885827845,0.03395197190282851,0.5079345703125,0.5323062499999999,0.05777748497063256,0.004940453791431832,43.44556975364685
51,-1.091603776660969,0.025910325636418215,0.518310546875,0.5323062499999999,0.05188534241197883,0.004938058635351849,44.29304623603821
52,-1.0907805676509663,0.02845678135708169,0.5146484375,0.5323062499999999,0.06788602988942988,0.004935616889607846,45.09103465080261
53,-1.0940721601022783,0.021335769831235894,0.50927734375,0.5323062499999999,0.054814128433385234,0.004933128603381506,45.933093786239624
54,-1.0926169415565168,0.021140764135369354,0.5098876953125,0.5323062499999999,0.032758646034357436,0.004930593826791932,46.73174023628235
55,-1.0923209629205402,0.022393259520436838,0.5211181640625,0.5323062499999999,0.031043745842149625,0.0049280126108946325,47.60955786705017
56,-1.094979466090904,0.021967365501226188,0.510498046875,0.5323062499999999,0.03847357395183991,0.0049253850076805,48.540712118148804
57,-1.0898077422459123,0.027538371833759446,0.5101318359375,0.5323062499999999,0.03683097612982981,0.004922711070074761,49.46474575996399
58,-1.0881369027430705,0.037559047935512645,0.5145263671875,0.5323062499999999,0.03767959811882593,0.004919990851935909,50.3809552192688
59,-1.0942210148316365,0.01703473328183957,0.5120849609375,0.5323062499999999,0.046533863876202716,0.004917224408054621,51.24301314353943
60,-1.088005374444661,0.023078743759331475,0.52880859375,0.5323062499999999,0.02493842300151911,0.004914411794152653,52.10502862930298
61,-1.0870372400956443,0.02242456121088419,0.5062255859375,0.5323062499999999,0.05139676235112873,0.0049115530668817214,52.915013790130615
62,-1.0986661969800275,0.038040568792165455,0.5064697265625,0.5323062499999999,0.07830111144294098,0.004908648283822355,53.796602964401245
63,-1.0929505500598657,0.03705664025250909,0.504638671875,0.5323062499999999,0.06784919764989526,0.004905697503482741,54.70197868347168
64,-1.0908404077688405,0.02372157658542224,0.511474609375,0.5323062499999999,0.058097552370272434,0.004902700785297545,55.576218605041504
65,-1.090950624191887,0.025015477431002957,0.5054931640625,0.5323062499999999,0.09172290940400861,0.004899658189626711,56.69299578666687
66,-1.0908211675697572,0.02569276864635349,0.5128173828125,0.5323062499999999,0.07496422258765906,0.004896569777754251,57.53252577781677
67,-1.0904360941629956,0.033697262716035854,0.51318359375,0.5323062499999999,0.07436406284959766,0.004893435611887005,58.39141821861267
68,-1.0872200731527522,0.036606624512615725,0.5189208984375,0.5323062499999999,0.09413089315920481,0.004890255755153394,59.244346618652344
69,-1.0946075656861867,0.028729596374291903,0.5220947265625,0.5323062499999999,0.07671734914627562,0.0048870302716021415,60.15847873687744
70,-1.0963932945354373,0.038476737568923586,0.51611328125,0.5323062499999999,0.05798069760680626,0.00488375922620099,61.04373383522034
71,-1.0887496162610257,0.029824868411687553,0.5174560546875,0.5323062499999999,0.06929194069675783,0.004880442684835387,61.91996669769287
72,-1.0888605900468051,0.024731493230935587,0.5152587890625,0.5323062499999999,0.061610115904701425,0.004877080714307163,62.798540353775024
73,-1.0912197056686863,0.02797971107321525,0.5142822265625,0.5323062499999999,0.07451399762062687,0.004873673382333181,63.66623067855835
74,-1.0937936137594093,0.030428524891014927,0.5233154296875,0.5323062499999999,0.0813593573720426,0.004870220757543976,64.51933789253235
75,-1.0952618181621165,0.03542392844570778,0.5048828125,0.5323062499999999,0.0994443861011614,0.0048667229094823735,65.3623378276825
76,-1.085510683323958,0.024390739819718628,0.51611328125,0.5323062499999999,0.09060030135712617,0.004863179908602084,66.17457890510559
77,-1.0896986019706558,0.020644526528200844,0.513916015625,0.5323062499999999,0.07992130208369595,0.004859591826266286,67.03308582305908
78,-1.095408708675492,0.0245865936883662,0.517333984375,0.5323062499999999,0.0500686305240875,0.004855958734746194,67.86904978752136
79,-1.0922638532459725,0.032408666543774486,0.5101318359375,0.5323062499999999,0.0658187267110711,0.004852280707219595,68.71402406692505
