time_s,amplitude_half,amplitude_one,amplitude_two
0,0,0,0
4.00182016905e-08,2.74153172439e-05,0.000109658262577,0.000438584950571
8.00364033811e-08,0.000109658262577,0.000438584950571,0.00175357037525
1.20054605072e-07,0.000246719817134,0.000986635785864,0.00394264934276
1.60072806762e-07,0.000438584950571,0.00175357037525,0.00700198146475
2.00091008453e-07,0.000685232622713,0.00273905231586,0.0109261996331
2.40109210143e-07,0.000986635785864,0.00394264934276,0.0157084194357
2.80127411834e-07,0.00134276138777,0.00536383351851,0.021340251234
3.20145613524e-07,0.00175357037525,0.00700198146475,0.0278118148813
3.60163815215e-07,0.00221901769846,0.00885637463566,0.0351117570559
4.00182016905e-07,0.00273905231586,0.0109261996331,0.0432272711787
4.40200218596e-07,0.0033136171998,0.0132105485634,0.0521441198803
4.80218420287e-07,0.00394264934276,0.0157084194357,0.0618466599781
5.20236621977e-07,0.00462607976428,0.0184187166012,0.0723178699197
5.60254823668e-07,0.00536383351851,0.021340251234,0.083539379645
6.00273025358e-07,0.00615582970243,0.0244717418524,0.0954915028125
6.40291227049e-07,0.00700198146475,0.0278118148813,0.108153271337
6.80309428739e-07,0.00790219601538,0.0313590052541,0.121502472174
7.2032763043e-07,0.00885637463566,0.0351117570559,0.135515686289
7.6034583212e-07,0.00986441268914,0.0390684242057,0.150168329743
8.00364033811e-07,0.0109261996331,0.0432272711787,0.165434696821
8.40382235501e-07,0.0120416190306,0.047586473767,0.181288005126
8.80400437192e-07,0.0132105485634,0.0521441198803,0.197700442569
9.20418638882e-07,0.0144328600452,0.0568982103844,0.214643216158
9.60436840573e-07,0.0157084194357,0.0618466599781,0.232086602511
1.00045504226e-06,0.0170370868555,0.0669872981078,0.25
1.04047324395e-06,0.0184187166012,0.0723178699197,0.26835198244
1.08049144564e-06,0.0198531571615,0.077836037249,0.287110354217
1.12050964734e-06,0.021340251234,0.083539379645,0.306242206774
1.16052784903e-06,0.0228798357419,0.0894253954331,0.325713976339
1.20054605072e-06,0.0244717418524,0.0954915028125,0.345491502813
1.24056425241e-06,0.0261157949952,0.101735040988,0.365540089692
1.2805824541e-06,0.0278118148813,0.108153271337,0.385824564945
1.32060065579e-06,0.0295596155229,0.114743378612,0.406309342707
1.36061885748e-06,0.0313590052541,0.121502472174,0.426958485719
1.40063705917e-06,0.0332097867514,0.128427587261,0.447735768366
1.44065526086e-06,0.0351117570559,0.135515686289,0.468604740235
1.48067346255e-06,0.037064707595,0.142763660184,0.489528790058
1.52069166424e-06,0.0390684242057,0.150168329743,0.510471209942
1.56070986593e-06,0.041122687158,0.157726447036,0.531395259765
1.60072806762e-06,0.0432272711787,0.165434696821,0.552264231634
1.64074626931e-06,0.0453819454765,0.173289698005,0.573041514281
1.680764471e-06,0.047586473767,0.181288005126,0.593690657293
1.72078267269e-06,0.0498406142989,0.189426109861,0.614175435055
1.76080087438e-06,0.0521441198803,0.197700442569,0.634459910308
1.80081907607e-06,0.0544967379058,0.206107373854,0.654508497187
1.84083727776e-06,0.0568982103844,0.214643216158,0.674286023661
1.88085547946e-06,0.0593482739675,0.223304225378,0.693757793226
1.92087368115e-06,0.0618466599781,0.232086602511,0.712889645783
1.96089188284e-06,0.0643930944399,0.240986495313,0.73164801756
2.00091008453e-06,0.0669872981078,0.25,0.75
2.04092828622e-06,0.069628986498,0.259123162949,0.767913397489
2.08094648791e-06,0.0723178699197,0.26835198244,0.785356783842
2.1209646896e-06,0.0750536535066,0.277682410408,0.802299557431
2.16098289129e-06,0.077836037249,0.287110354217,0.818711994874
2.20100109298e-06,0.0806647160273,0.296631678462,0.834565303179
2.24101929467e-06,0.083539379645,0.306242206774,0.849831670257
2.28103749636e-06,0.0864597128627,0.315937723658,0.864484313711
2.32105569805e-06,0.0894253954331,0.325713976339,0.878497527826
2.36107389974e-06,0.0924361021357,0.335566676631,0.891846728663
2.40109210143e-06,0.0954915028125,0.345491502813,0.904508497187
2.44111030312e-06,0.0985912624044,0.355484101528,0.916460620355
2.48112850481e-06,0.101735040988,0.365540089692,0.92768213008
2.5211467065e-06,0.104922493812,0.375655056418,0.938153340022
2.56116490819e-06,0.108153271337,0.385824564945,0.94785588012
2.60118310989e-06,0.111427019272,0.396044154591,0.956772728821
2.64120131158e-06,0.114743378612,0.406309342707,0.964888242944
2.68121951327e-06,0.118101985683,0.416615626642,0.972188185119
2.72123771496e-06,0.121502472174,0.426958485719,0.978659748766
2.76125591665e-06,0.124944465185,0.437333383218,0.984291580564
2.80127411834e-06,0.128427587261,0.447735768366,0.989073800367
2.84129232003e-06,0.13195145644,0.458161078334,0.992998018535
2.88131052172e-06,0.135515686289,0.468604740235,0.996057350657
2.92132872341e-06,0.139119885951,0.479062173135,0.998246429625
2.9613469251e-06,0.142763660184,0.489528790058,0.999561415049
3.00136512679e-06,0.146446609407,0.5,1
3.04138332848e-06,0.150168329743,0.510471209942,0.999561415049
3.08140153017e-06,0.153928413065,0.520937826865,0.998246429625
3.12141973186e-06,0.157726447036,0.531395259765,0.996057350657
3.16143793355e-06,0.161562015159,0.541838921666,0.992998018535
3.20145613524e-06,0.165434696821,0.552264231634,0.989073800367
3.24147433693e-06,0.169344067338,0.562666616782,0.984291580564
3.28149253862e-06,0.173289698005,0.573041514281,0.978659748766
3.32151074032e-06,0.177271156138,0.583384373358,0.972188185119
3.36152894201e-06,0.181288005126,0.593690657293,0.964888242944
3.4015471437e-06,0.185339804475,0.603955845409,0.956772728821
3.44156534539e-06,0.189426109861,0.614175435055,0.94785588012
3.48158354708e-06,0.193546473174,0.624344943582,0.938153340022
3.52160174877e-06,0.197700442569,0.634459910308,0.92768213008
3.56161995046e-06,0.201887562517,0.644515898472,0.916460620355
3.60163815215e-06,0.206107373854,0.654508497187,0.904508497187
3.64165635384e-06,0.210359413829,0.664433323369,0.891846728663
3.68167455553e-06,0.214643216158,0.674286023661,0.878497527826
3.72169275722e-06,0.218958311074,0.684062276342,0.864484313711
3.76171095891e-06,0.223304225378,0.693757793226,0.849831670257
3.8017291606e-06,0.227680482492,0.703368321538,0.834565303179
3.84174736229e-06,0.232086602511,0.712889645783,0.818711994874
3.88176556398e-06,0.236522102252,0.722317589592,0.802299557431
3.92178376567e-06,0.240986495313,0.73164801756,0.785356783842
3.96180196736e-06,0.245479292125,0.740876837051,0.767913397489
4.00182016905e-06,0.25,0.75,0.75
4.04183837074e-06,0.254548123192,0.759013504687,0.73164801756
4.08185657244e-06,0.259123162949,0.767913397489,0.712889645783
4.12187477413e-06,0.263724617565,0.776695774622,0.693757793226
4.16189297582e-06,0.26835198244,0.785356783842,0.674286023661
4.20191117751e-06,0.27300475013,0.793892626146,0.654508497187
4.2419293792e-06,0.277682410408,0.802299557431,0.634459910308
4.28194758089e-06,0.282384450314,0.810573890139,0.614175435055
4.32196578258e-06,0.287110354217,0.818711994874,0.593690657293
4.36198398427e-06,0.29185960387,0.826710301995,0.573041514281
4.40200218596e-06,0.296631678462,0.834565303179,0.552264231634
4.44202038765e-06,0.301426054683,0.842273552964,0.531395259765
4.48203858934e-06,0.306242206774,0.849831670257,0.510471209942
4.52205679103e-06,0.311079606591,0.857236339816,0.489528790058
4.56207499272e-06,0.315937723658,0.864484313711,0.468604740235
4.60209319441e-06,0.320816025227,0.871572412739,0.447735768366
4.6421113961e-06,0.325713976339,0.878497527826,0.426958485719
4.68212959779e-06,0.330631039877,0.885256621388,0.406309342707
4.72214779948e-06,0.335566676631,0.891846728663,0.385824564945
4.76216600117e-06,0.340520345351,0.898264959012,0.365540089692
4.80218420287e-06,0.345491502813,0.904508497187,0.345491502813
4.84220240456e-06,0.350479603872,0.910574604567,0.325713976339
4.88222060625e-06,0.355484101528,0.916460620355,0.306242206774
4.92223880794e-06,0.36050444698,0.922163962751,0.287110354217
4.96225700963e-06,0.365540089692,0.92768213008,0.26835198244
5.00227521132e-06,0.370590477449,0.933012701892,0.25
5.04229341301e-06,0.375655056418,0.938153340022,0.232086602511
5.0823116147e-06,0.380733271211,0.943101789616,0.214643216158
5.12232981639e-06,0.385824564945,0.94785588012,0.197700442569
5.16234801808e-06,0.390928379302,0.952413526233,0.181288005126
5.20236621977e-06,0.396044154591,0.956772728821,0.165434696821
5.24238442146e-06,0.40117132981,0.960931575794,0.150168329743
5.28240262315e-06,0.406309342707,0.964888242944,0.135515686289
5.32242082484e-06,0.41145762984,0.968640994746,0.121502472174
5.36243902653e-06,0.416615626642,0.972188185119,0.108153271337
5.40245722822e-06,0.42178276748,0.975528258148,0.0954915028125
5.44247542991e-06,0.426958485719,0.978659748766,0.083539379645
5.4824936316e-06,0.432142213783,0.981581283399,0.0723178699197
5.52251183329e-06,0.437333383218,0.984291580564,0.0618466599781
5.56253003499e-06,0.442531424754,0.986789451437,0.0521441198803
5.60254823668e-06,0.447735768366,0.989073800367,0.0432272711787
5.64256643837e-06,0.452945843341,0.991143625364,0.0351117570559
5.68258464006e-06,0.458161078334,0.992998018535,0.0278118148813
5.72260284175e-06,0.463380901436,0.994636166481,0.021340251234
5.76262104344e-06,0.468604740235,0.996057350657,0.0157084194357
5.80263924513e-06,0.473832021879,0.997260947684,0.0109261996331
5.84265744682e-06,0.479062173135,0.998246429625,0.00700198146475
5.88267564851e-06,0.484294620461,0.999013364214,0.00394264934276
5.9226938502e-06,0.489528790058,0.999561415049,0.00175357037525
5.96271205189e-06,0.494764107942,0.999890341737,0.000438584950571
6.00273025358e-06,0.5,1,3.20983310008e-31
6.04274845527e-06,0.505235892058,0.999890341737,0.000438584950571
6.08276665696e-06,0.510471209942,0.999561415049,0.00175357037525
6.12278485865e-06,0.515705379539,0.999013364214,0.00394264934276
6.16280306034e-06,0.520937826865,0.998246429625,0.00700198146475
6.20282126203e-06,0.526167978121,0.997260947684,0.0109261996331
6.24283946372e-06,0.531395259765,0.996057350657,0.0157084194357
6.28285766542e-06,0.536619098564,0.994636166481,0.021340251234
6.32287586711e-06,0.541838921666,0.992998018535,0.0278118148813
6.3628940688e-06,0.547054156659,0.991143625364,0.0351117570559
6.40291227049e-06,0.552264231634,0.989073800367,0.0432272711787
6.44293047218e-06,0.557468575246,0.986789451437,0.0521441198803
6.48294867387e-06,0.562666616782,0.984291580564,0.0618466599781
6.52296687556e-06,0.567857786217,0.981581283399,0.0723178699197
6.56298507725e-06,0.573041514281,0.978659748766,0.0835393796449
6.60300327894e-06,0.57821723252,0.975528258148,0.0954915028125
6.64302148063e-06,0.583384373358,0.972188185119,0.108153271337
6.68303968232e-06,0.58854237016,0.968640994746,0.121502472174
6.72305788401e-06,0.593690657293,0.964888242944,0.135515686289
6.7630760857e-06,0.59882867019,0.960931575794,0.150168329743
6.80309428739e-06,0.603955845409,0.956772728821,0.165434696821
6.84311248908e-06,0.609071620698,0.952413526233,0.181288005126
6.88313069077e-06,0.614175435055,0.94785588012,0.197700442569
6.92314889246e-06,0.619266728789,0.943101789616,0.214643216158
6.96316709415e-06,0.624344943582,0.938153340022,0.232086602511
7.00318529585e-06,0.629409522551,0.933012701892,0.25
7.04320349754e-06,0.634459910308,0.92768213008,0.26835198244
7.08322169923e-06,0.63949555302,0.922163962751,0.287110354217
7.12323990092e-06,0.644515898472,0.916460620355,0.306242206774
7.16325810261e-06,0.649520396128,0.910574604567,0.325713976339
7.2032763043e-06,0.654508497187,0.904508497187,0.345491502813
7.24329450599e-06,0.659479654649,0.898264959012,0.365540089692
7.28331270768e-06,0.664433323369,0.891846728663,0.385824564945
7.32333090937e-06,0.669368960123,0.885256621388,0.406309342707
7.36334911106e-06,0.674286023661,0.878497527826,0.426958485719
7.40336731275e-06,0.679183974773,0.871572412739,0.447735768366
7.44338551444e-06,0.684062276342,0.864484313711,0.468604740235
7.48340371613e-06,0.688920393409,0.857236339816,0.489528790058
7.52342191782e-06,0.693757793226,0.849831670257,0.510471209942
7.56344011951e-06,0.698573945317,0.842273552964,0.531395259765
7.6034583212e-06,0.703368321538,0.834565303179,0.552264231634
7.64347652289e-06,0.70814039613,0.826710301995,0.573041514281
7.68349472458e-06,0.712889645783,0.818711994874,0.593690657293
7.72351292627e-06,0.717615549686,0.810573890139,0.614175435055
7.76353112797e-06,0.722317589592,0.802299557431,0.634459910308
7.80354932966e-06,0.72699524987,0.793892626146,0.654508497187
7.84356753135e-06,0.73164801756,0.785356783842,0.674286023661
7.88358573304e-06,0.736275382435,0.776695774622,0.693757793226
7.92360393473e-06,0.740876837051,0.767913397489,0.712889645783
7.96362213642e-06,0.745451876808,0.759013504687,0.73164801756
8.00364033811e-06,0.75,0.75,0.75
8.0436585398e-06,0.754520707875,0.740876837051,0.767913397489
8.08367674149e-06,0.759013504687,0.73164801756,0.785356783842
8.12369494318e-06,0.763477897748,0.722317589592,0.802299557431
8.16371314487e-06,0.767913397489,0.712889645783,0.818711994874
8.20373134656e-06,0.772319517508,0.703368321538,0.834565303179
8.24374954825e-06,0.776695774622,0.693757793226,0.849831670257
8.28376774994e-06,0.781041688926,0.684062276342,0.864484313711
8.32378595163e-06,0.785356783842,0.674286023661,0.878497527826
8.36380415332e-06,0.789640586171,0.664433323369,0.891846728663
8.40382235501e-06,0.793892626146,0.654508497187,0.904508497187
8.4438405567e-06,0.798112437483,0.644515898472,0.916460620355
8.4838587584e-06,0.802299557431,0.634459910308,0.92768213008
