B_t,gradient_hz_t
0.0001,-939418319.652
0.000153104078679,-1313795951.52
0.000206208157359,-1570114789.57
0.000259312236038,-1712059729.93
0.000312416314717,-1756116546.84
0.000365520393397,-1722982906.08
0.000418624472076,-1632397149.24
0.000471728550755,-1500925813.18
0.000524832629435,-1341504381.19
0.000577936708114,-1163779866.95
0.000631040786793,-974713621.988
0.000684144865473,-779192572.455
0.000737248944152,-580554776.836
0.000790353022831,-381008502.576
0.000843457101511,-181953311.979
0.00089656118019,6789090534.16
0.000949665258869,6991074492.67
0.00100276933755,7170034120.91
0.00105587341623,-7018640366.42
0.00110897749491,-6898478173.95
0.00116208157359,-6788913783.44
0.00121518565227,-6694749277.83
0.00126828973095,-6622979097.47
0.00132139380962,-6583807232.25
0.0013744978883,-6592037660.16
0.00142760196698,-6668772469.1
0.00148070604566,-6842898230.97
0.00153381012434,-7150672022.38
0.00158691420302,-7629524465.77
0.0016400182817,-8300445617.3
0.00169312236038,-9138735680.33
0.00174622643906,-10053105058.9
0.00179933051774,-10907751911
0.00185243459642,-11584725093.4
0.0019055386751,-12029925426.9
0.00195864275378,-12249401998.8
0.00201174683246,-12280193345.8
0.00206485091114,-12166250982.5
0.00211795498981,-11947141052.6
0.00217105906849,-11655033055.1
0.00222416314717,-11315058084.4
0.00227726722585,-10946503304.5
0.00233037130453,-10563951176
0.00238347538321,-10178184230
0.00243657946189,-9796896246.55
0.00248968354057,-9425279074.28
0.00254278761925,-9066529478.8
0.00259589169793,-920255694.997
0.00264899577661,-510771477.123
0.00270209985529,-128504286.683
0.00272081573587,0
0.00275520393397,228003304.469
0.00280830801265,560398324.493
0.00286141209133,870408778.886
0.00291451617,1159764780.95
0.00296762024868,1430144709.55
0.00302072432736,1683141109.7
0.00307382840604,1920241379.25
0.00312693248472,-13365231339.7
0.0031800365634,-13217171049.2
0.00323314064208,-13063478576.4
0.00328624472076,-12902710011.1
0.00333934879944,-12733128445.9
0.00339245287812,-12552649229.5
0.0034455569568,-12358774543.3
0.00349866103548,-12148518516.6
0.00355176511416,-11918326797.8
0.00360486919284,-11663999442
0.00365797327152,-11380634366.1
0.00371107735019,-11062621811.1
0.00376418142887,-10703739041.2
0.00381728550755,-10297417363.6
0.00387038958623,-9837273045.33
0.00392349366491,-9317991520.91
0.00397659774359,-8736598419.47
0.00402970182227,-8094005291.46
0.00408280590095,-7396478986.36
0.00413590997963,-6656440855.05
0.00418901405831,-5891960996.39
0.00424211813699,-5124674994.69
0.00429522221567,-4376556246.74
0.00434832629435,-3666594622.5
0.00440143037303,-3008481041.78
0.00445453445171,-2409839153.15
0.00450763853038,-1872824302.42
0.00456074260906,-1395489796.11
0.00461384668774,-973311760.813
0.00466695076642,-600487466.364
0.0047200548451,-270864834.542
0.00477315892378,21481595.9906
0.00482626300246,281946703.243
0.00487936708114,515272861.717
0.00493247115982,725536831.074
0.0049855752385,916194296.566
0.00503867931718,1090149824.12
0.00509178339586,1249833598.06
0.00514488747454,1397275136.56
0.00519799155322,1534169494.87
0.0052510956319,1661934461.71
0.00530419971057,1781758819.09
0.00535730378925,1894642467.73
0.00541040786793,2001429489.32
0.00546351194661,2102835246.73
0.00551661602529,2199468538.76
0.00556972010397,2291849697.21
0.00562282418265,2380425376.7
0.00567592826133,2465580658.88
0.00572903234001,2547648979.54
0.00578213641869,2626920291.07
0.00583524049737,2703647793.89
0.00588834457605,2778053505.01
0.00594144865473,2850332880.26
0.00599455273341,2920658663.91
0.00604765681209,2989184106.34
0.00610076089076,3056045662.68
0.00615386496944,3121365264.37
0.00620696904812,3185252237.85
0.0062600731268,3247804930.77
0.00631317720548,3309112095.21
0.00636628128416,3369254068.04
0.00641938536284,3428303781.67
0.00647248944152,3486327632.32
0.0065255935202,3543386228.32
0.00657869759888,3599535037.05
0.00663180167756,3654824946
0.00668490575624,3709302750.82
0.00673800983492,3763011581.05
0.0067911139136,3815991272.67
0.00684421799228,3868278695
0.00689732207095,3919908038.31
0.00695042614963,3970911067.52
0.00700353022831,4021317346.75
0.00705663430699,4071154438.31
0.00710973838567,4120448079.78
