B_t,E0_hz,E1_hz,E2_hz,E3_hz,E4_hz,E5_hz,E6_hz,E7_hz,E8_hz,E9_hz,E10_hz,E11_hz,E12_hz,E13_hz,E14_hz,E15_hz
0.28,-4504533413.32,-4356170918.92,-4203062483.37,-4044735851.21,-3880625803.2,-3710046593.38,-3532152929.34,-3345883084.39,3393351436.21,3561979394.16,3724492739.14,3881736641.12,4034396780.13,4183038361.33,4328133673.75,4470082051.28
0.2825,-4539490825.63,-4390990276.52,-4237770624.39,-4079366475.15,-3915221616.94,-3744662346.64,-3566859823.48,-3380775378.47,3428226874.09,3596707500.85,3759144719.86,3916367251.12,4069048732.39,4217745361.2,4362922564.08,4504974363.61
0.285,-4574450283.63,-4425813515.03,-4272484165.41,-4114003557.6,-3949824277.95,-3779284357.21,-3601570937.84,-3415667676.28,3463106525.93,3631441860.91,3793803546.16,3951004319.99,4103706086.95,4252456246.03,4397713505.81,4539866679.18
0.2875,-4609411739.99,-4460640541.89,-4307202973.37,-4148646933.54,-3984433604.15,-3813912451.06,-3636286148.94,-3450559977.71,3497990268.4,3666182300.43,3828469035.98,3985647682.72,4138368710.65,4287170923.14,4432506451.42,4574758997.92
0.29,-4644375148.8,-4495471267.46,-4341926919.51,-4183296443.52,-4019049419.82,-3848546460.52,-3671005338.07,-3485452282.67,3532877982.97,3700928651.84,3863141013.63,4020297179.81,4173036474.69,4321889302.78,4467301354.89,4609651319.74
0.2925,-4679340465.54,-4530305604.88,-4376655879.22,-4217951933.39,-4053671555.31,-3883186224.01,-3705728391.04,-3520344591.07,3567769555.61,3735680753.65,3897819309.54,4054952657.13,4207709254.4,4356611298.01,4502098171.57,4644543644.56
0.295,-4714307647.06,-4565143470,-4411389731.87,-4252613254.09,-4088299846.84,-3917831585.75,-3740455198,-3555236902.82,3602664876.6,3770438450.16,3932503759.93,4089613965.6,4242386929.08,4391336824.58,4536896858.15,4679435972.32
0.2975,-4749276651.47,-4599984781.23,-4446128360.64,-4287280261.47,-4122934136.18,-3952482395.5,-3775185653.19,-3590129217.83,3637563840.34,3805201591.24,3967194206.63,4124280961.05,4277069381.87,4426065800.8,4571697372.63,4714328302.94
0.3,-4784247438.14,-4634829459.5,-4480871652.39,-4321952816.05,-4157574270.47,-3987138508.34,-3809919654.78,-3625021536.01,3672466345.13,3839970032.04,4001890496.81,4158953504,4311756499.59,4460798147.52,4606499674.25,4749220636.34
0.3025,-4819219967.63,-4669677428.1,-4515619497.54,-4356630782.87,-4192220101.97,-4021799784.43,-3844657104.7,-3659913857.3,3707372293.04,3874743632.81,4036592482.76,4193631459.47,4346448172.58,4495533787.94,4641303723.45,4784112972.47
0.305,-4854194201.64,-4704528612.66,-4550371789.86,-4391314031.28,-4226871487.86,-4056466088.76,-3879397908.44,-3694806181.6,3742281589.68,3909522258.62,4071300021.69,4228314696.81,4381144294.59,4530272647.61,4676109481.84,4819005311.25
0.3075,-4889170103.02,-4739382941.01,-4585128426.4,-4426002434.78,-4261528290.03,-4091137290.98,-3914141974.9,-3729698508.84,3777194144.09,3944305779.2,4106012975.53,4263003089.52,4415844762.61,4565014654.26,4710916912.11,4853897652.63
0.31,-4924147635.65,-4774240343.1,-4619889307.37,-4460695870.89,-4296190374.87,-4125813265.2,-3948889216.26,-3764590838.96,3812109868.57,3979094068.72,4140731210.71,4297696515.09,4450549476.8,4599759737.8,4745725978.08,4888789996.53
0.3125,-4959126764.47,-4809100750.98,-4654654335.98,-4495394220.91,-4330857613.15,-4160493889.77,-3983639547.79,-3799483171.88,3847028678.5,4013887005.63,4175454598,4332394854.83,4485258340.34,4634507830.17,4780536644.55,4923682342.91
0.315,-4994107455.4,-4843964098.65,-4689423418.36,-4530097369.89,-4365529879.77,-4195179047.15,-4018392887.78,-3834375507.54,3881950492.28,4048684472.43,4210183012.36,4367097993.77,4519971259.31,4669258865.32,4815348877.36,4958574691.7
0.3175,-5029089675.33,-4878830322.03,-4724196463.43,-4564805206.36,-4400207053.64,-4229868623.69,-4053149157.32,-3869267845.86,3916875231.12,4083486355.56,4244916332.71,4401805820.44,4554688142.59,4704012779.09,4850162643.29,4993467042.85
0.32,-5064073392.08,-4913699358.89,-4758973382.82,-4599517622.31,-4434889017.51,-4264562509.51,-4087908280.28,-3904160186.78,3951802818.99,4118292545.2,4279654441.85,4436518226.81,4589408901.78,4738769509.18,4884977910.08,5028359396.31
0.3225,-5099058574.36,-4948571148.79,-4793754090.76,-4634234512.99,-4469575657.83,-4299260598.32,-4122670183.09,-3939052530.25,3986733182.44,4153102935.12,4314397226.22,4471235108.13,4624133451.05,4773528995.08,4919794646.32,5063251752.01
0.325,-5134045191.74,-4983445632.97,-4828538503.97,-4668955776.8,-4504266864.57,-4333962787.29,-4157434794.73,-3973944876.19,4021666250.52,4187917422.56,4349144575.86,4505956362.8,4658861707.11,4808291177.97,4954612821.52,5098144109.92
0.3275,-5169033214.65,-5018322754.36,-4863326541.6,-4703681315.19,-4538962531.14,-4368668976.91,-4192202046.53,-4008837224.57,4056601954.68,4222735908.06,4383896384.18,4540681892.27,4693593589.05,4843056000.72,4989432406,5133036469.97
0.33,-5204022614.29,-5053202457.46,-4898118125.12,-4738411032.54,-4573662554.22,-4403379070.83,-4226971872.14,-4043729575.3,4091540228.67,4257558295.34,4418652547.89,4575411600.89,4728329018.32,4877823407.77,5024253370.9,5167928832.13
0.3325,-5239013362.67,-5088084688.33,-4932913178.25,-4773144836.05,-4608366833.64,-4438092975.8,-4261744207.42,-4078621928.36,4126481008.42,4292384491.2,4453412966.83,4610145395.87,4763067918.6,4912593345.13,5059075688.12,5202821196.35
0.335,-5274005432.53,-5122969394.52,-4967711626.86,-4807882635.63,-4643075272.26,-4472810601.47,-4296518990.31,-4113514283.67,4161424231.97,4327214405.34,4488177543.91,4644883187.11,4797810215.74,4947365760.27,5093899330.34,5237713562.57
0.3375,-5308998797.36,-5157856525,-5002513398.93,-4842624343.82,-4677787775.88,-4507531860.34,-4331296160.81,-4148406641.19,4196369839.4,4362047950.32,4522946184.93,4679624887.13,4832555837.67,4982140602.12,5128724270.97,5272605930.77
0.34,-5343993431.34,-5192746030.14,-5037318424.44,-4877369875.66,-4712504253.1,-4542256667.59,-4366075660.82,-4183299000.87,4231317772.71,4396885041.38,4557718798.53,4714370411,4867304714.35,5016917821.01,5163550484.11,5307498300.89
0.3425,-5378989309.33,-5227637861.67,-5072126635.32,-4912119148.65,-4747224615.22,-4576984941.05,-4400857434.15,-4218191362.67,4266267975.77,4431725596.38,4592495296.02,4749119676.19,4902056777.69,5051697368.58,5198377944.55,5342390672.89
0.345,-5413986406.86,-5262531972.58,-5106937965.39,-4946872082.64,-4781948776.19,-4611716601.04,-4435641426.37,-4253083726.52,4301220394.23,4466569535.71,4627275591.37,4783872602.54,4936811961.46,5086479197.8,5233206627.74,5377283046.73
0.3475,-5448984700.08,-5297428317.14,-5141752350.28,-4981628599.72,-4816676652.42,-4646451570.3,-4470427584.78,-4287976092.4,4336174975.48,4501416782.14,4662059601.03,4818629112.16,4971570201.28,5121263262.89,5268036509.79,5412175422.38
0.35,-5483984165.77,-5332326850.84,-5176569727.37,-5016388624.2,-4851408162.8,-4681189773.89,-4505215858.32,-4322868460.25,4371131668.53,4536267260.78,4696847243.87,4853389129.32,5006331434.48,5156049519.27,5302867567.38,5447067799.8
0.3525,-5518984781.32,-5367227530.3,-5211390035.74,-5051152082.47,-4886143228.51,-4715931139.12,-4540006197.55,-4357760830.03,4406090424.01,4571120898.99,4731638441.12,4888152580.44,5041095600.14,5190837923.55,5337699777.85,5481960178.94
0.355,-5553986524.65,-5402130313.33,-5246213216.09,-5085918902.98,-4920881773.01,-4750675595.44,-4574798554.53,-4392653201.71,4441051194.04,4605977626.27,4766433116.26,4922919393.94,5075862638.92,5225628433.47,5372533119.06,5516852559.78
0.3575,-5588989374.3,-5437035158.81,-5281039210.73,-5120689016.13,-4955623721.93,-4785423074.39,-4609592882.79,-4427545575.23,4476013932.23,4640837374.19,4801231194.93,4957689500.23,5110632493.12,5260421007.85,5407367569.48,5551744942.28
0.36,-5623993309.3,-5471942026.67,-5315867963.49,-5155462354.23,-4990369003,-4820173509.52,-4644389137.29,-4462437950.57,4510978593.6,4675700076.35,4836032604.87,4992462831.62,5145405106.52,5295215606.62,5442203108.1,5586637326.4
0.3625,-5658998309.24,-5506850877.89,-5350699419.68,-5190238851.44,-5025117545.96,-4854926836.28,-4679187274.34,-4497330327.68,4545945134.53,4710565668.23,4870837275.85,5027239322.25,5180180424.42,5330012190.69,5477039714.42,5621529712.12
0.365,-5694004354.21,-5541761674.43,-5385533526.03,-5225018443.67,-5059869282.53,-4889682992.01,-4713987251.54,-4532222706.52,4580913512.68,4745434087.21,4905645139.59,5062018908.04,5214958393.54,5364810721.99,5511877368.5,5656422099.39
0.3675,-5729011424.77,-5576674379.24,-5420370230.68,-5259801068.56,-5094624146.3,-4924441915.82,-4748789027.8,-4567115087.06,4615883687.01,4780305272.45,4940456129.72,5096801526.61,5249738961.98,5399611163.43,5546716050.83,5691314488.19
0.37,-5764019501.99,-5611588956.17,-5455209483.09,-5294586665.41,-5129382072.67,-4959203548.56,-4783592563.19,-4602007469.27,4650855617.67,4815179164.83,4975270181.65,5131587117.28,5284522079.19,5434413478.82,5581555742.44,5726206878.49
0.3725,-5799028567.39,-5646505370,-5490051234.04,-5329375175.12,-5164142998.84,-4993967832.76,-4818397818.98,-4636899853.11,4685829265.97,4850055706.91,5010087232.57,5166375620.93,5319307695.92,5469217632.9,5616396424.79,5761099270.26
0.375,-5834038602.94,-5681423586.38,-5524895435.54,-5364166540.14,-5198906863.68,-5028734712.54,-4853204757.56,-4671792238.55,4720804594.36,4884934842.85,5044907221.39,5201166980.01,5354095764.16,5504023591.28,5651238079.8,5795991663.46
0.3775,-5869049591.03,-5716343571.79,-5559742040.84,-5398960704.43,-5233673607.7,-5063504133.58,-4888013342.41,-4706684625.55,4755781566.38,4919816518.38,5079730088.64,5235961138.47,5388886237.15,5538831320.42,5686080689.81,5830884058.08
0.38,-5904061514.51,-5751265293.57,-5594591004.36,-5433757613.39,-5268443173.03,-5098276043.08,-4922823538.05,-4741577014.08,4790760146.6,4954700680.7,5114555776.45,5270758041.73,5423679069.29,5573640787.61,5720924237.62,5865776454.08
0.3825,-5939074356.59,-5786188719.83,-5629442281.66,-5468557213.84,-5303215503.31,-5133050389.66,-4957635310.02,-4776469404.12,4825740300.6,4989587278.48,5149384228.47,5305557636.58,5458474216.11,5608451960.94,5755768706.4,5900668851.44
0.385,-5974088100.93,-5821113819.46,-5664295829.41,-5503359453.95,-5337990543.68,-5167827123.36,-4992448624.84,-4811361795.63,4860721994.96,5024476261.8,5184215389.87,5340359871.2,5493271634.27,5643264809.27,5790614079.76,5935561250.13
0.3875,-6009102731.53,-5856040562.11,-5699151605.35,-5538164283.22,-5372768240.7,-5202606195.58,-5027263449.94,-4846254188.59,4895705197.16,5059367582.07,5219049207.22,5375164695.09,5528071281.49,5678079302.21,5825460341.66,5970453650.13
0.39,-6044118232.8,-5890968918.15,-5734009568.27,-5572971652.41,-5407548542.36,-5237387559,-5062079753.69,-4881146582.96,4930689875.62,5094261192.02,5253885628.5,5409972059,5562873116.54,5712895410.09,5860307476.45,6005346051.4
0.3925,-6079134589.49,-5925898858.66,-5768869677.94,-5607781513.54,-5442331397.94,-5272171167.59,-5096897505.32,-4916038978.72,4965675999.62,5129157045.64,5288724603.04,5444781914.95,5597677099.18,5747713103.98,5895155468.86,6040238453.94
0.395,-6114151786.72,-5960830355.41,-5803731895.15,-5642593819.8,-5477116758.08,-5306956976.54,-5131716674.92,-4950931375.84,5000663539.27,5164055098.15,5323566081.46,5479594216.14,5632483190.18,5782532355.6,5930004303.96,6075130857.7
0.3975,-6149169809.94,-5995763380.82,-5838596181.6,-5677408525.57,-5511904574.65,-5341744942.2,-5166537233.38,-4985823774.3,5035652465.53,5198955305.92,5358410015.65,5514408916.92,5667291351.22,5817353137.36,5964853967.16,6110023262.68
0.4,-6184188644.93,-6030697907.98,-5873462499.93,-5712225586.34,-5546694800.74,-5376535022.1,-5201359152.39,-5020716174.07,5070642750.13,5233857626.51,5393256358.73,5549225972.8,5702101544.94,5852175422.32,5999704444.21,6144915668.85
0.4025,-6219208277.82,-6065633910.58,-5908330813.67,-5747044958.68,-5581487390.63,-5411327174.83,-5236182404.4,-5055608575.12,5105634365.55,5268762018.56,5428105064.98,5584045340.34,5736913734.83,5886999184.13,6034555721.18,6179808076.18
0.405,-6254228695.03,-6100571362.94,-5943201087.2,-5781866600.24,-5616282299.76,-5446121360.1,-5271006962.61,-5090500977.43,5140627285.04,5303668441.76,5462956089.84,5618866977.19,5771727885.27,5921824397.1,6069407784.46,6214700484.66
0.4075,-6289249883.3,-6135510239.97,-5978073285.76,-5816690469.69,-5651079484.66,-5480917538.61,-5305832800.92,-5125393380.98,5175621482.53,5338576856.88,5497809389.86,5653690842.02,5806543961.49,5956651036.1,6104260620.76,6249592894.26
0.41,-6324271829.64,-6170450517.15,-6012947375.4,-5851516526.69,-5685878902.95,-5515715672.11,-5340659893.92,-5160285785.75,5210616932.65,5373487225.67,5532664922.67,5688516894.48,5841361929.52,5991479076.59,6139114217.07,6284485304.96
0.4125,-6359294521.39,-6205392170.51,-6047823322.96,-5886344731.87,-5720680513.28,-5550515723.28,-5375488216.86,-5195178191.71,5245613610.71,5408399510.84,5567522646.94,5723345095.2,5876181756.19,6026308494.59,6173968560.66,6319377716.75
0.415,-6394317946.15,-6240335176.64,-6082701096.04,-5921175046.79,-5755484275.33,-5585317655.77,-5410317745.66,-5230070598.84,5280611492.64,5443313676.05,5602382522.35,5758175405.73,5911003409.08,6061139266.64,6208823639.12,6354270129.61
0.4175,-6429342091.77,-6275279512.65,-6117580663.01,-5956007433.92,-5790290149.74,-5620121434.12,-5445148456.84,-5264963007.11,5315610555.01,5478229685.89,5637244509.55,5793007788.57,5945826856.54,6095971369.84,6243679440.27,6389162543.51
0.42,-6464366946.42,-6310225156.15,-6152461992.94,-5990841856.62,-5825098098.12,-5654927023.78,-5479980327.55,-5299855416.52,5350610774.98,5513147505.8,5672108570.16,5827842207.05,5980652067.65,6130804781.79,6278535952.23,6424054958.44
0.4225,-6499392498.48,-6345172085.28,-6187345055.62,-6025678279.11,-5859908082.99,-5689734391.02,-5514813335.48,-5334747827.03,5385612130.32,5548067102.1,5706974666.71,5862678625.38,6015479012.18,6165639480.57,6313393163.36,6458947374.38
0.425,-6534418736.6,-6380120278.62,-6222229821.53,-6060516666.42,-5894720067.78,-5724543502.97,-5549647458.94,-5369640238.63,5420614599.34,5582988441.93,5741842762.64,5897517008.63,6050307660.58,6200475444.79,6348251062.29,6493839791.31
0.4275,-6569445649.68,-6415069715.27,-6257116261.79,-6095356984.42,-5929534016.77,-5759354327.56,-5584482676.76,-5404532651.3,5455618160.91,5617911493.23,5776712822.24,5932357322.62,6085137983.98,6235312653.49,6383109637.86,6528732209.22
0.43,-6604473226.85,-6450020374.76,-6292004348.2,-6130199199.74,-5964349895.09,-5794166833.48,-5619318968.3,-5439425065.02,5490622794.42,5652836224.73,5811584810.66,5967199534.01,6119969954.16,6270151086.18,6417968879.2,6563624628.08
0.4325,-6639501457.47,-6484972237.05,-6326894053.17,-6165043279.78,-5999167668.69,-5828980990.2,-5654156313.44,-5474317479.77,5525628479.79,5687762605.91,5846458693.84,6002043610.18,6154803543.52,6304990722.83,6452828775.63,6598517047.89
0.435,-6674530331.14,-6519925282.58,-6361785349.73,-6199889192.69,-6033987304.33,-5863796767.9,-5688994692.57,-5509209895.53,5560635197.43,5722690606.97,5881334438.55,6036889519.28,6189638725.07,6339831543.83,6487689316.72,6633409468.62
0.4375,-6709559837.66,-6554879492.18,-6396678211.48,-6234736907.31,-6068808769.52,-5898614137.51,-5723834086.54,-5544102312.29,5595642928.22,5757620198.85,5916212012.32,6071737230.17,6224475472.42,6374673530,6522550492.24,6668301890.27
0.44,-6744589967.06,-6589834847.09,-6431572612.64,-6269586393.23,-6103632032.52,-5933433070.61,-5758674476.68,-5578994730.03,5630651653.54,5792551353.16,5951091383.41,6106586712.42,6259313759.76,6409516662.57,6557412292.2,6703194312.8
0.4425,-6779620709.58,-6624791328.96,-6466468527.97,-6304437620.67,-6138457062.33,-5968253539.47,-5793515844.8,-5613887148.73,5665661355.2,5827484042.18,5985972520.83,6141437936.25,6294153561.84,6444360923.17,6592274706.81,6738086736.22
0.445,-6814652055.63,-6659748919.84,-6501365932.77,-6339290560.54,-6173283828.65,-6003075517,-5828358173.1,-5648779568.37,5700672015.44,5862418238.86,6020855394.3,6176290872.57,6328994853.96,6479206293.81,6627137726.46,6772979160.51
0.4475,-6849683995.87,-6694707602.13,-6536264802.89,-6374145184.38,-6208112301.88,-6037898976.77,-5863201444.26,-5683671988.94,5735683616.96,5897353916.75,6055739974.2,6211145492.92,6363837611.96,6514052756.91,6662001341.77,6807871585.64
0.45,-6884716521.1,-6729667358.63,-6571165114.68,-6409001464.38,-6242942453.07,-6072723892.93,-5898045641.32,-5718564410.43,5770696142.85,5932291050.04,6090626231.6,6246001769.49,6398681812.18,6548900295.21,6696865543.55,6842764011.62
0.4525,-6919749622.36,-6764628172.48,-6606066845.02,-6443859373.3,-6277774253.92,-6107550240.24,-5932890747.78,-5753456832.81,5805709576.61,5967229613.51,6125514138.23,6280859675.03,6433527431.48,6583748891.87,6731730322.77,6877656438.41
0.455,-6954783290.83,-6799590027.17,-6640969971.26,-6478718884.52,-6312607676.78,-6142377994.04,-5967736747.49,-5788349256.07,5840723902.12,6002169582.5,6160403666.41,6315719182.94,6468374447.21,6618598530.34,6766595670.62,6912548866.02
0.4575,-6989817517.89,-6834552906.54,-6675874471.24,-6513579972,-6347442694.59,-6177207130.23,-6002583624.7,-5823241680.21,5875739103.66,6037110932.94,6195294789.12,6350580267.15,6503222837.2,6653449194.46,6801461578.44,6947441294.42
0.46,-7024852295.08,-6869516794.76,-6710780323.26,-6548442610.23,-6382279280.91,-6212037625.26,-6037431364.01,-5858134105.19,5910755165.85,6072053641.28,6230187479.9,6385442902.17,6538072579.74,6688300868.38,6836328037.76,6982333723.61
0.4625,-7059887614.14,-6904481676.33,-6745687506.06,-6583306774.27,-6417117409.87,-6246869456.11,-6072279950.39,-5893026531.02,5945772073.7,6106997684.53,6265081712.9,6420307063.05,6572923653.58,6723153536.57,6871195040.28,7017226153.57
0.465,-7094923466.92,-6939447536.05,-6780595998.86,-6618172439.71,-6451957056.16,-6281702600.27,-6107129369.16,-5927918957.67,5980789812.52,6141943040.19,6299977462.81,6455172725.38,6607776037.9,6758007183.84,6906062577.86,7052118584.29
0.4675,-7129959845.5,-6974414359.04,-6815505781.28,-6653039582.66,-6486798195.01,-6316537035.74,-6141979605.96,-5962811385.14,6015808368.02,6176889686.28,6334874704.89,6490039865.27,6642629712.33,6792861795.27,6940930642.53,7087011015.76
0.47,-7164996742.05,-7009382130.72,-6850416833.37,-6687908179.71,-6521640802.22,-6351372741,-6176830646.79,-5997703813.4,6050827726.17,6211837601.28,6369773414.91,6524908459.31,6677484656.9,6827717356.28,6975799226.45,7121903447.96
0.4725,-7200034148.95,-7044350836.8,-6885329135.57,-6722778207.97,-6556484854.08,-6386209695.02,-6211682477.93,-6032596242.46,6085847873.31,6246786764.18,6404673569.19,6559778484.6,6712340852.06,6862573852.57,7010668321.98,7156795880.89
0.475,-7235072058.7,-7079320463.26,-6920242668.76,-6757649645,-6591330327.4,-6421047877.21,-6246535085.99,-6067488672.28,6120868796.06,6281737154.41,6439575144.54,6594649918.72,6747198278.66,6897431270.1,7045537921.59,7191688314.53
0.4775,-7270110463.93,-7114290996.4,-6955157414.16,-6792522468.85,-6626177199.47,-6455887267.44,-6281388457.89,-6102381102.87,6155890481.34,6316688751.85,6474478118.25,6629522739.7,6782056917.94,6932289595.14,7080408017.92,7226580748.87
0.48,-7305149357.46,-7149262422.74,-6990073353.41,-6827396658.02,-6661025448.06,-6490727846.03,-6316242580.81,-6137273534.2,6190912916.39,6351641536.82,6509382468.11,6664396926.04,6816916751.51,6967148814.22,7115278603.73,7261473183.9
0.4825,-7340188732.21,-7184234729.09,-7024990468.48,-6862272191.42,-6695875051.43,-6525569593.7,-6351097442.25,-6172165966.28,6225936088.7,6386595490.07,6544288172.38,6699272456.66,6851777761.35,7002008914.14,7150149671.95,7296365619.62
0.485,-7375228581.25,-7219207902.54,-7059908741.74,-6897149048.44,-6730725988.28,-6560412491.59,-6385953029.97,-6207058399.08,6260959986.05,6421550592.75,6579195209.75,6734149310.94,6886639929.81,7036869881.96,7185021215.62,7331258056
0.4875,-7410268897.77,-7254181930.38,-7094828155.89,-6932027208.85,-6765578237.75,-6595256521.27,-6420809331.99,-6241950832.59,6295984596.5,6456506826.43,6614103559.39,6769027468.66,6921503239.58,7071731704.97,7219893227.93,7366150493.04
0.49,-7445309675.12,-7289156800.19,-7129748693.96,-6966906652.85,-6800431779.42,-6630101664.65,-6455666336.61,-6276843266.81,6331009908.35,6491464173.05,6649013200.86,6803906910,6956367673.7,7106594370.72,7254765702.19,7401042930.73
0.4925,-7480350906.73,-7324132499.78,-7164670339.33,-7001787361.02,-6835286593.27,-6664947904.08,-6490524032.36,-6311735701.72,6366035910.16,6526422614.96,6683924114.17,6838787615.56,6991233215.53,7141457867.03,7289638631.83,7435935369.07
0.495,-7515392586.2,-7359109017.17,-7199593075.71,-7036669314.36,-6870142659.73,-6699795222.24,-6525382408.05,-6346628137.32,6401062590.75,6561382134.85,6718836279.74,6873669566.31,7026099848.78,7176322181.9,7324512010.42,7470827808.03
0.4975,-7550434707.23,-7394086340.64,-7234516887.12,-7071552494.21,-6904999959.59,-6734643602.19,-6560241452.7,-6381520573.58,6436089939.16,6596342715.79,6753749678.37,6908552743.63,7060967557.46,7211187303.59,7359385831.64,7505720247.61
0.5,-7585477263.62,-7429064458.68,-7269441757.89,-7106436882.31,-6939858474.05,-6769493027.33,-6595101155.58,-6416413010.51,6471117944.68,6631304341.21,6788664291.27,6943437129.23,7095836325.9,7246053220.59,7394260089.3,7540612687.81
0.5025,-7620520249.31,-7464043360,-7304367672.65,-7141322460.74,-6974718184.69,-6804343481.42,-6629961506.2,-6451305448.09,6506146596.83,6666266994.85,6823580100.01,6978322705.2,7130706138.71,7280919921.59,7429134777.3,7575505128.61
0.505,-7655563658.35,-7499023033.51,-7339294616.34,-7176209211.95,-7009579073.45,-6839194948.54,-6664822494.26,-6486197886.31,6541175885.33,6701230660.83,6858497086.55,7013209453.98,7165576980.83,7315787395.5,7464009889.68,7610397570
0.5075,-7690607484.88,-7534003468.34,-7374222574.16,-7211097118.72,-7044441122.63,-6874047413.11,-6699684109.7,-6521090325.16,6576205800.14,6736195323.56,6893415233.19,7048097358.36,7200448837.46,7350655631.43,7498885420.57,7645290011.98
0.51,-7725651723.18,-7568984653.84,-7409151531.61,-7245986164.17,-7079304314.91,-6908900859.85,-6734546342.66,-6555982764.64,6611236331.42,6771160967.78,6928334522.6,7082986401.45,7235321694.11,7385524618.72,7533761364.23,7680182454.54
0.5125,-7760696367.59,-7603966579.51,-7444081474.48,-7280876331.74,-7114168633.27,-6943755273.8,-6769409183.5,-6590875204.73,6646267469.53,6806127578.54,6963254937.79,7117876566.71,7270195536.52,7420394346.88,7568637715,7715074897.66
0.515,-7795741412.6,-7638949235.1,-7479012388.79,-7315767605.21,-7149034061.06,-6978610640.31,-6804272622.77,-6625767645.42,6681299205.04,6841095141.2,6998176462.1,7152767837.88,7305070350.75,7455264805.61,7603514467.33,7749967341.35
0.5175,-7830786852.77,-7673932610.51,-7513944260.86,-7350659968.63,-7183900581.94,-7013466945.02,-6839136651.2,-6660660086.71,6716331528.71,6876063641.39,7033099079.19,7187660199.06,7339946123.09,7490135984.84,7638391615.78,7784859785.58
0.52,-7865832682.76,-7708916695.83,-7548877077.25,-7385553406.41,-7218768179.88,-7048324173.83,-6874001259.74,-6695552528.59,6751364431.49,6911033065.06,7068022773.05,7222553634.61,7374822840.1,7525007874.63,7673269155,7819752230.37
0.5225,-7900878897.34,-7743901481.36,-7583810824.76,-7420447903.2,-7253636839.19,-7083182312.97,-6908866439.5,-6730444971.04,6786397904.51,6946003398.4,7102947527.98,7257448129.21,7409700488.57,7559880465.27,7708147079.73,7854644675.68
0.525,-7935925491.35,-7778886957.53,-7618745490.44,-7455343443.98,-7288506544.46,-7118041348.89,-6943732181.79,-6765337414.07,6821431939.08,6980974627.91,7137873328.58,7292343667.83,7444579055.55,7594753747.19,7743025384.83,7889537121.53
0.5275,-7970972459.76,-7813873114.98,-7653681061.6,-7490240013.99,-7323377280.59,-7152901268.35,-6978598478.07,-6800229857.66,6856466526.7,7015946740.34,7172800159.75,7327240235.71,7479458528.35,7629627711.01,7777904065.21,7924429567.9
0.53,-8006019797.58,-7848859944.5,-7688617525.74,-7525137598.76,-7358249032.74,-7187762058.34,-7013465319.99,-6835122301.8,6891501659.02,7050919722.7,7207728006.66,7362137818.39,7514338894.46,7664502347.52,7812783115.91,7959322014.79
0.5325,-8041067499.94,-7883847437.06,-7723554870.64,-7560036184.08,-7393121786.39,-7222623706.13,-7048332699.38,-6870014746.48,6926537327.87,7085893562.25,7242656854.79,7397036401.64,7549220141.65,7699377647.68,7847662532.03,7994214462.18
0.535,-8076115562.05,-7918835583.77,-7758493084.26,-7594935756.01,-7427995527.29,-7257486199.21,-7083200608.19,-6904907191.71,6961573525.24,7120868246.5,7277586689.89,7431935971.54,7584102257.88,7734253602.59,7882542308.77,8029106910.07
0.5375,-8111163979.2,-7953824375.91,-7793432154.79,-7629836300.87,-7462870241.42,-7292349525.32,-7118069038.58,-6939799637.46,6996610243.28,7155843763.21,7312517497.95,7466836514.39,7618985231.35,7769130203.52,7917422441.41,8063999358.45
0.54,-8146212746.76,-7988813804.92,-7828372070.65,-7664737805.23,-7497745915.08,-7327213672.45,-7152937982.82,-6974692083.74,7031647474.29,7190820100.35,7347449265.27,7501738016.75,7653869050.45,7804007441.91,7952302925.3,8098891807.33
0.5425,-8181261860.19,-8023803862.38,-7863312820.44,-7699640255.88,-7532622534.77,-7362078628.8,-7187807433.36,-7009584530.53,7066685210.72,7225797246.15,7382381978.37,7536640465.46,7688753703.79,7838885309.32,7987183755.89,8133784256.68
0.545,-8216311315.02,-8058794540.03,-7898254392.99,-7734543639.9,-7567500087.3,-7396944382.81,-7222677382.79,-7044476977.84,7101723445.18,7260775189.05,7417315624.03,7571543847.54,7723639180.18,7873763797.48,8022064928.71,8168676706.5
0.5475,-8251361106.86,-8093785829.74,-7933196777.3,-7769447944.56,-7602378559.66,-7431810923.14,-7257547823.84,-7079369425.64,7136762170.4,7295753917.71,7452250189.28,7606448150.31,7758525468.65,7908642898.27,8056946439.33,8203569156.79
0.55,-8286411231.38,-8128777723.52,-7968139962.6,-7804353157.39,-7637257939.14,-7466678238.64,-7292418749.38,-7114261873.94,7171801379.27,7330733421.01,7487185661.38,7641353361.25,7793412558.39,7943522603.68,8091828283.45,8238461607.55
0.5525,-8321461684.35,-8163770213.54,-8003083938.27,-7839259266.12,-7672138213.23,-7501546318.39,-7327290152.42,-7149154322.73,7206841064.82,7365713688.02,7522122027.85,7676259468.13,7828300438.8,7978402905.87,8126710456.8,8273354058.76
0.555,-8356512461.59,-8198763292.07,-8038028693.91,-7874166258.72,-7707019369.65,-7536415151.67,-7362162026.11,-7184046772,7241881220.2,7400694708.03,7557059276.39,7711166458.9,7863189099.46,8013283797.11,8161592955.21,8308246510.41
0.5575,-8391563559,-8233756951.55,-8072974219.29,-7909074123.35,-7741901396.34,-7571284727.97,-7397034363.72,-7218939221.74,7276921838.69,7435676470.53,7591997394.97,7746074321.74,7898078530.15,8048165269.83,8196475774.55,8343138962.51
