B_t,E0_hz,E1_hz,E2_hz,E3_hz,E4_hz,E5_hz,E6_hz,E7_hz,E8_hz,E9_hz,E10_hz,E11_hz,E12_hz,E13_hz,E14_hz,E15_hz
0.06,-1454703786.06,-1345397330.11,-1228777285.87,-1102558738.29,-962922234.978,-802566122.136,-603647046.315,-275437112.577,449889848.759,644541009.698,801822244.606,939575968.898,1065104285.44,1182228003.57,1293233974.42,1399614320.95
0.0625,-1488432601.2,-1377643629.12,-1259443857.11,-1131548299.72,-990161296.223,-828098540.922,-628144753.216,-310324389.245,474564098.054,670190012.96,829118587.59,968564179.039,1095711447.79,1214357262.67,1326788374.31,1434503404.34
0.065,-1522226249.57,-1410032437.49,-1290347741.16,-1160894562.6,-1017914351.5,-854366704.583,-653719263.454,-345212112.384,500314461.117,696574436.276,856928878.92,997909243.574,1126556210.68,1246629410.28,1360408054.97,1469392726.92
0.0675,-1556080280.57,-1442553583.67,-1321471191.34,-1190569208.08,-1046137053.96,-881298242.572,-680233315.439,-380100227.107,527003758.377,723621942.828,885208771.329,1027582821.41,1157620792.42,1279034232.73,1394088519.18,1504282264.45
0.07,-1589990635.12,-1475197806.12,-1352798079.52,-1220546568.03,-1074789385.69,-908828479.881,-707568151.678,-414988687.173,554513301.847,751267886.912,913918247.355,1057559226.08,1188889035.29,1311562432.37,1427825667.52,1539171995.84
0.0725,-1623953604.27,-1507956657.82,-1384313728.91,-1250803358.09,-1103835237.12,-936899706.088,-735621388.032,-449877453.343,582740766.683,779454583.667,943021198.446,1087815158,1220346237.26,1344205531.01,1461615755.94,1574061902.66
0.075,-1657965792.83,-1540822421.9,-1416004765.18,-1281318436.53,-1133242016.69,-965460465.675,-764304908.5,-484766492.109,611598087.781,808130599.959,972485034.446,1118329462.69,1251979002.42,1376955784.81,1495455358.55,1608951968.76
0.0775,-1692024087.37,-1573788037.25,-1447858984.04,-1312072587.11,-1162980292.74,-994464889.159,-793542903.994,-519655774.68,641009499.978,837250085.99,1002280325.3,1149082913.2,1283775107.9,1409806109.11,1529341334.96,1643842179.9
0.08,-1726125627.99,-1606847032.6,-1479865233.43,-1343048324.19,-1193023467.61,-1023872075.65,-823270110.361,-554545276.183,670909777.236,866772158.237,1032380475.1,1180058014.81,1315723385.52,1442750012.05,1563270801.52,1678732523.52
0.0825,-1760267783.41,-1639993468.11,-1512013308.59,-1374229718.07,-1223347483.15,-1053645531.31,-853430262.242,-589434975.015,701242687.429,896660338.231,1062761427.5,1211238830.13,1347813616.54,1475781535.71,1597241105.91,1713622988.43
0.085,-1794448128.85,-1673221883.57,-1544293858.69,-1405602238.79,-1253930555.74,-1083752664.11,-883974757.292,-624324852.326,731959657.318,926882047.608,1093401400.71,1242610822.6,1380036437.89,1508895203.9,1631249804.67,1748513564.69
0.0875,-1828664426.44,-1706527252.31,-1576698303.62,-1437152616.44,-1284752938.83,-1114164332.9,-914861513.977,-659214891.594,763018630.969,957408157.395,1124280649.92,1274160716.63,1412383258.71,1542085975.82,1665294643.26,1783404243.41
0.09,-1862914607.75,-1739904940.2,-1609218759.69,-1468868716.4,-1315796710.59,-1144854447.22,-946054001.396,-694105078.275,794383100.091,988212588.014,1155381255.08,1305876372.71,1444846185.89,1575349204.75,1699373538.36,1818295016.62
0.0925,-1897196758.22,-1773350669.02,-1641847973.45,-1500739427.82,-1347045584.55,-1175799613.62,-977520418.579,-728995399.514,826021283.758,1019271955.77,1186686931.36,1337746675.77,1477417957.6,1608680601.27,1733484562.08,1853185877.16
0.095,-1931509103.34,-1806860483.79,-1674579262.44,-1532754564.09,-1378484740.76,-1206978823.99,-1009233001.79,-763885843.91,857905436.063,1050565261.35,1218182860.44,1369761435.49,1510091883.96,1642076200.37,1767625927.87,1888076818.57
0.0975,-1965849996.14,-1840430723.53,-1707406462.22,-1564904773.83,-1410100675.52,-1238373181.49,-1041167440.39,-798776401.314,890011262.268,1082073615.78,1249855540.14,1401911297.28,1542861793.94,1675532332.08,1801795977.92,1922967835.03
0.1,-2000217906.08,-1874057995.07,-1740323878.98,-1597181461.3,-1441881067.58,-1269965659.67,-1073302384.11,-833667062.664,922317426.361,1113779999.8,1281692650.65,1434187662.56,1575721987.83,1709045595.11,1835993171.91,1957858921.23
0.1025,-2034611409.07,-1907739149.5,-1773326246.98,-1629576715.21,-1473814659.06,-1301740891.11,-1105619027.17,-868557819.839,954805135.357,1145669052.43,1313682935.48,1466582617.58,1608667194.6,1742612833.26,1870216076.84,1992750072.39
0.105,-2069029178.43,-1941471261.06,-1806408690.41,-1662083245.01,-1505891149.46,-1333684981.78,-1138100756.67,-903448665.545,987457787.883,1177726885.54,1345816095.42,1499088869.58,1641692533.7,1776231114.15,1904463357.96,2027641284.13
0.1075,-2103469976.76,-1975251608.08,-1839566689.03,-1694694323.74,-1538101101.24,-1365785348.04,-1170732854.83,-938339593.209,1020260676.55,1209940920.82,1378082694.14,1531699689.67,1674793480.63,1809897710.12,1938733770.54,2062532552.45
0.11,-2137932648.68,-2009077655.87,-1872796047.37,-1727403736.78,-1570435855.62,-1398030573.41,-1203502246.21,-973230596.893,1053200735.33,1242299746.68,1410474074.04,1564408861.51,1707965836.04,1843610081.03,1973026152.46,2097423873.73
0.1125,-2172416114.15,-2042947041.19,-1906092866.86,-1760205735.89,-1602887457.61,-1430410282.62,-1236397282.7,-1008121671.22,1086266324.67,1274792992.3,1442982281.2,1597210635.32,1741205697.89,1877365858.68,2007339417.57,2132315244.62
0.115,-2206919362.53,-2076857558.27,-1939453520.77,-1793094997.82,-1635448588.95,-1462915030.74,-1269407560.16,-1043012811.3,1119447048.2,1307411216.84,1475599998.37,1630099686.48,1774509436.24,1911162832.77,2041672549.59,2167206662.05
0.1175,-2241441447.08,-2110807146.14,-1972874631.5,-1826066587.11,-1668112508.24,-1495536205.45,-1302523761.6,-1077904012.7,1152733596.03,1340145811.71,1508320485.13,1663071078.32,1807873670.65,1944998938.17,2076024596.61,2202098123.21
0.12,-2275981480.08,-2144793877.11,-2006353050.13,-1859115922.6,-1700872997.42,-1528265940.81,-1335737522.77,-1112795271.37,1186117610.36,1372988914.42,1541137524.33,1696120228.56,1841295249.56,1978872243.41,2110394666.17,2236989625.51
0.1225,-2310538628.29,-2178815946.34,-2039885837.83,-1892238747.17,-1733724313.8,-1561097041.06,-1369041316.55,-1147686583.6,1219591570,1405933332.36,1574045374.1,1729242879.11,1874771231.73,2012780940.16,2144781920.65,2271881166.55
0.125,-2345112108.92,-2212871662.39,-2073470249.05,-1925431100.45,-1766661147.04,-1594022913.19,-1402428353.37,-1182577946.01,1253148690.81,1438972475.44,1607038724.92,1762435068.71,1908298869.41,2046723333.76,2179185573.23,2306772744.12
0.1275,-2379701185.84,-2246959438.53,-2107103716.19,-1958689294.17,-1799678580.58,-1627037507.14,-1435892495.12,-1217469355.48,1286782839.67,1472100296.31,1640112661,1795693108.28,1941875593.01,2080697834.54,2213604884.05,2341664356.19
0.13,-2414305166.21,-2281077784.93,-2140783835.79,-1992009889.81,-1832772056.97,-1660135262.82,-1469428180.52,-1252360809.16,1320488459.91,1505311237.34,1673262625.57,1829013558.59,1975498997.2,2114702949.94,2248039156.82,2376556000.84
0.1325,-2448923397.37,-2315225301.44,-2174508355.85,-2025389678.41,-1865937346.62,-1693311062.87,-1503030360.34,-1287252304.41,1354260506.52,1538600183.52,1706484389.71,1862393209.99,2009166828.29,2148737277.28,2282487735.66,2411447676.33
0.135,-2483555263.97,-2349400671.03,-2208275164.31,-2058825662.15,-1899170519.7,-1726560190.76,-1536694440.95,-1322143838.81,1388094389.78,1571962420.43,1739774024.23,1895829064.1,2042876972.66,2182799497.2,2316950002.25,2446339381.02
0.1375,-2518200185.35,-2383602653.81,-2242082278.59,-2092315037.74,-1932467920.79,-1759878293.26,-1570416234.98,-1357035410.12,1421985925.93,1605393596.84,1773127874.31,1929318317.06,2076627446.27,2216888367.66,2351425373.19,2481231113.38
0.14,-2552857613.18,-2417830081.54,-2275927835.97,-2125855181.26,-1965826145.96,-1793261347.08,-1604191918.18,-1391927016.27,1455931294.09,1638889691.3,1806542536.57,1962858344.46,2110416385.07,2251002718.39,2385913297.57,2516122872.01
0.1425,-2587527029.23,-2452081852.55,-2309810084.85,-2159443634.34,-1999242022.05,-1826705628.88,-1638017991.57,-1426818655.33,1489926998.37,1672446982.2,1840014838.37,1996446687.48,2144242036.22,2285141445.87,2420413254.74,2551014655.57
0.145,-2622207943.34,-2486356927.18,-2343727376.71,-2193078091.59,-2032712587.92,-1860207688.52,-1671891248.11,-1461710325.53,1523969834.62,1706062020.99,1873541819.08,2030081040.31,2178102750.05,2319303508.68,2454924752.33,2585906462.83
0.1475,-2656899891.57,-2520654323.46,-2377678158.77,-2226756389.16,-2066235077.44,-1893764324.97,-1705808743.36,-1496602025.2,1558056861.08,1739731608.16,1907120713.04,2063759238.73,2211996972.73,2353487923.26,2489447324.3,2620798292.64
0.15,-2691602434.47,-2554973113.27,-2411660967.27,-2260476494.25,-2099806904.06,-1927372564.75,-1739767769.49,-1531493752.81,1592185372.42,1773452771.62,1940748934.13,2097479249.58,2245923239.49,2387693759.96,2523980529.25,2655690143.92
0.1525,-2726315155.51,-2589312418.7,-2445674421.24,-2294236495.5,-2133425646.77,-1961029642.42,-1773765832.33,-1566385506.91,1626352876.82,1807222747.23,1974424061.78,2131239161.19,2279880168.44,2421920139.45,2558523948.8,2690582015.66
0.155,-2761037659.57,-2623671408.73,-2479717216.85,-2328034594.26,-2167089037.36,-1994732983.07,-1807800631.02,-1601277286.19,1660557075.56,1841038961.32,2008143828.18,2165037174.62,2313866454.91,2456166229.42,2593077186.15,2725473906.89
0.1575,-2795769571.66,-2658049296.21,-2513788122.17,-2361869096.57,-2200794948.78,-2028480186.53,-1841870039.81,-1636169089.37,1694795844.95,1874899014.87,2041906106.64,2198871595.62,2347880866.16,2490431241.45,2627639864.67,2760365816.75
0.16,-2830510535.57,-2692445335,-2547885972.35,-2395738405.73,-2234541384.54,-2062269013.01,-1875972091.96,-1671060915.3,1729067220.14,1908800669.15,2075708901.03,2232740827.26,2381922236.58,2524714428.26,2662211626.66,2795257744.37
0.1625,-2865260212.82,-2726858817.37,-2582009665.16,-2429641015.58,-2268326469.03,-2096097370.17,-1910104965.3,-1705952762.89,1763369380.75,1942741832.87,2109550336.09,2266643363.13,2415989463.26,2559015081.03,2696792132.2,2830149688.98
0.165,-2900018281.47,-2761289071.56,-2616158156.94,-2463575504.26,-2302148438.68,-2129963301.41,-1944266969.34,-1740844631.1,1797700637.97,1976720550.35,2143428648.56,2300577781.18,2450081501.87,2593332526.98,2731381058.03,2865041649.83
0.1675,-2934784435.19,-2795735459.59,-2650330458.76,-2497540528.51,-2336005633.84,-2163864975.2,-1978456533.73,-1775736518.98,1832059423,2010734990.97,2177342179.1,2334542737.93,2484197362.86,2627666127.16,2765978096.56,2899933626.22
0.17,-2969558382.35,-2830197375.15,-2684525632.94,-2531534818.36,-2369896491.39,-2197800675.38,-2012672197.86,-1810628425.62,1866444276.71,2044783439.41,2211289364.89,2368536963.24,2518336108,2662015274.37,2800582954.95,2934825617.49
0.1725,-3004339845.06,-2864674241.68,-2718742789.85,-2565557172.31,-2403819537.93,-2231768792.37,-2046912601.54,-1845520350.18,1900853840.3,2078864286.9,2245268732.77,2402559255.43,2552496847.09,2696379391.17,2835195354.22,2969717623.02
0.175,-3039128558.47,-2899165510.56,-2752981084.84,-2599606452.82,-2437773383.52,-2265767815.14,-2081176476.6,-1880412291.86,1935286846.91,2112976023.15,2279278893.1,2436608476.82,2586678734.99,2730757928.19,2869815028.45,3004609642.22
0.1775,-3073924269.98,-2933670659.52,-2787239715.53,-2633681582.2,-2471756715.96,-2299796323.89,-2115462639.33,-1915304249.9,1969742114.04,2147117229.09,2313318533.9,2470683549.55,2620880968.83,2765150362.36,2904441724.03,3039501674.52
0.18,-3108726738.52,-2968189191.01,-2821517919.19,-2667781538.72,-2505768295.5,-2333852983.36,-2149769983.59,-1950196223.61,2004218536.74,2181286570.1,2347386415.67,2504783451.77,2655102785.44,2799556195.43,2939075198.95,3074393719.42
0.1825,-3143535733.94,-3002720630.82,-2855814970.36,-2701905353.14,-2539806949.99,-2367936536.7,-2184097474.64,-1985088212.32,2038715081.34,2215482789.98,2381481366.48,2538907214.1,2689343458.93,2833974952.51,2973715222.18,3109285776.39
0.185,-3178351036.37,-3037264526.71,-2890130178.63,-2736052105.39,-2573871570.37,-2402045799.88,-2218444143.52,-2019980215.38,2073230779.91,2249704705.3,2415602277.5,2573053916.37,2723602298.49,2868406180.72,3008361572.98,3144177844.98
0.1875,-3213172435.68,-3071820447.17,-2924462886.55,-2770220921.54,-2607961106.59,-2436179656.55,-2252809081.93,-2054872232.22,2107764725.15,2283951200.29,2449748098.86,2607222684.51,2757878646.29,2902849447.95,3043014040.45,3179069924.72
0.19,-3247999730.95,-3106387980.25,-2958812467.73,-2804410970.96,-2642074563.73,-2470337053.34,-2287191437.59,-2089764262.26,2142316065.69,2318221222.11,2483917835.85,2641412687.81,2792171875.6,2937304341.68,3077672422.86,3213962015.21
0.1925,-3282832729.93,-3140966732.48,-2993178325.04,-2838621463.74,-2676210998.52,-2504516995.52,-2321590410.06,-2124656304.98,2176884001.96,2352513776.54,2518110545.38,2675623136.25,2826481388.92,2971770467.91,3112336527.28,3248854116.02
0.195,-3317671248.64,-3175556327.86,-3027559888.92,-2872851648.21,-2710369516.04,-2538718543.03,-2356005246.82,-2159548359.87,2211467782.29,2386827924.01,2552325332.72,2709853278.09,2860806616.41,3006247450.09,3147006169.01,3283746226.78
0.1975,-3352515110.87,-3210156406.89,-3061956615.86,-2907100808.73,-2744549266.73,-2572940806.81,-2390435239.83,-2194440426.45,2246066699.41,2421162775.92,2586561348.46,2744102397.57,2895147014.22,3040734928.25,3181681171.21,3318638347.12
0.2,-3387364147.84,-3244766625.66,-3096367986.9,-2941368263.53,-2778749443.56,-2607182945.42,-2424879722.27,-2229332504.26,2280680087.25,2455517491.28,2620817785.74,2778369812.87,2929502063.12,3075232558.03,3216361364.46,3353530476.69
0.2025,-3422218197.75,-3279386655.09,-3130793506.28,-2975653362.78,-2812969279.43,-2641444161.95,-2459338065.63,-2264224592.89,2315307318.01,2489891273.58,2655093877.61,2812654874.08,2963871267.08,3109740009.89,3251046586.4,3388422615.16
0.205,-3457077105.48,-3314016180.07,-3165232700.2,-3009955486.77,-2847208044.79,-2675723701.1,-2493809676.98,-2299116691.91,2349947799.43,2524283367.93,2689388894.68,2846956961.4,2998254152.04,3144256968.3,3285736681.31,3423314762.22
0.2075,-3491940722.21,-3348654898.77,-3199685115.58,-3044274044.16,-2881465045.35,-2710020846.56,-2528293996.54,-2334008800.95,2384600972.37,2558693058.4,2723702142.79,2881275483.45,3032650264.68,3178783131.04,3320431499.85,3458206917.57
0.21,-3526808905.11,-3383302521.94,-3234150319.01,-3078608470.45,-2915739620.04,-2744334918.55,-2562790495.39,-2368900919.63,2419266308.53,2593119665.55,2758032961,2915609875.64,3067059171.34,3213318208.48,3355130898.68,3493099080.91
0.2125,-3561681517.08,-3417958772.27,-3268627895.63,-3112958226.44,-2950031139.03,-2778665271.51,-2597298673.4,-2403793047.61,2453943308.35,2627562544.18,2792380719.63,2949959598.73,3101480456.96,3247861922.94,3389834740.21,3527991251.97
0.215,-3596558426.4,-3452623383.79,-3303117448.23,-3147322796.85,-2984339001.95,-2813011292.02,-2631818057.29,-2438685184.54,2488631499.1,2662021081.21,2826744818.42,2984324137.39,3135913724.1,3282414008.11,3424542892.26,3562883430.5
0.2175,-3631439506.55,-3487296101.28,-3337618596.25,-3181701689.05,-3018662636.19,-2847372396.85,-2666348198.87,-2473577330.11,2523330433.12,2696494693.7,2861124684.89,3018702998.92,3170358592.01,3316974208.43,3459255227.84,3597775616.23
