angle_deg,energy_kcal_mol,rel_energy_kcal_mol,achieved_deg
0.0,22.7223,1.4088,-5.00
10.0,24.0541,2.7406,5.00
20.0,26.1158,4.8023,15.00
30.0,28.7937,7.4802,25.00
40.0,31.8474,10.5339,35.00
50.0,21.6600,0.3466,45.00
60.0,22.0895,0.7760,55.00
70.0,22.4219,1.1085,65.00
80.0,22.1820,0.8686,85.00
90.0,21.7578,0.4443,95.00
100.0,21.4309,0.1175,105.00
110.0,21.3334,0.0199,113.35
120.0,21.3375,0.0241,115.00
130.0,21.5529,0.2395,125.00
140.0,22.1236,0.8101,135.00
150.0,23.0356,1.7222,145.00
160.0,24.1808,2.8673,155.00
170.0,25.3866,4.0731,165.00
180.0,26.5339,5.2204,175.00
190.0,27.4875,6.1741,-175.00
200.0,26.3506,5.0371,-155.00
210.0,24.9525,3.6391,-145.00
220.0,23.7363,2.4229,-135.00
230.0,22.7530,1.4396,-125.00
240.0,21.9068,0.5933,-115.00
250.0,21.3956,0.0821,-105.00
260.0,21.3135,0.0000,-99.07
270.0,21.3499,0.0364,-95.00
280.0,21.6898,0.3764,-85.00
290.0,22.1899,0.8765,-75.00
300.0,22.5805,1.2670,-65.00
310.0,22.4900,1.1766,-45.00
320.0,22.1376,0.8242,-35.00
330.0,21.9124,0.5989,-25.00
340.0,21.9050,0.5915,-23.05
350.0,22.0511,0.7376,-15.00
