step,time_ps,pe_kj_mol,ke_kj_mol,te_kj_mol,temp_k,rmsd_A,rg_A,n_imhb
47500,95.0,-6290.44,233.63,-6056.81,272.8,2.645,7.528,0
48000,96.0,-6266.58,310.26,-5956.32,362.3,2.105,7.551,0
48500,97.0,-6304.04,287.65,-6016.38,335.9,2.098,7.673,0
49000,98.0,-6319.58,243.22,-6076.36,284.0,2.112,7.706,0
49500,99.0,-6341.94,235.93,-6106.01,275.5,2.315,7.921,0
50000,100.0,-6284.41,214.28,-6070.13,250.2,2.49,7.755,0
50500,101.0,-6301.6,204.79,-6096.81,239.1,2.584,7.85,0
51000,102.0,-6336.45,270.89,-6065.56,316.3,2.461,7.884,0
51500,103.0,-6258.38,240.98,-6017.4,281.4,2.724,7.9,0
52000,104.0,-6307.1,249.49,-6057.61,291.3,2.735,7.879,0
52500,105.0,-6304.99,261.53,-6043.46,305.4,3.182,7.373,0
53000,106.0,-6314.61,263.74,-6050.86,308.0,2.798,7.79,0
53500,107.0,-6284.86,220.43,-6064.43,257.4,2.878,7.718,0
54000,108.0,-6277.66,226.34,-6051.32,264.3,2.835,7.88,0
54500,109.0,-6309.37,258.18,-6051.19,301.5,2.854,7.931,0
55000,110.0,-6275.51,224.12,-6051.39,261.7,2.713,7.769,0
55500,111.0,-6310.23,238.27,-6071.96,278.2,3.013,7.637,0
56000,112.0,-6285.91,253.61,-6032.3,296.1,2.821,7.562,0
56500,113.0,-6276.06,279.29,-5996.77,326.1,2.145,7.679,0
57000,114.0,-6282.14,282.16,-5999.98,329.5,2.699,7.642,0
57500,115.0,-6242.25,285.8,-5956.46,333.7,2.97,7.658,0
58000,116.0,-6292.42,225.09,-6067.33,262.8,2.917,7.736,0
58500,117.0,-6291.78,264.8,-6026.98,309.2,2.734,7.78,0
59000,118.0,-6255.35,268.02,-5987.33,313.0,2.78,7.902,0
59500,119.0,-6312.36,258.67,-6053.68,302.1,2.68,7.682,0
60000,120.0,-6252.19,302.76,-5949.43,353.5,2.357,7.757,0
60500,121.0,-6247.13,253.63,-5993.5,296.2,2.204,7.539,0
61000,122.0,-6275.97,289.78,-5986.19,338.4,2.259,7.939,0
61500,123.0,-6336.25,260.67,-6075.57,304.4,2.564,7.836,0
62000,124.0,-6262.97,218.59,-6044.38,255.2,3.085,7.4,0
62500,125.0,-6283.83,233.54,-6050.3,272.7,3.418,7.382,0
63000,126.0,-6327.38,224.06,-6103.32,261.6,3.203,7.436,0
63500,127.0,-6297.69,261.99,-6035.7,305.9,3.204,7.403,0
64000,128.0,-6230.26,247.45,-5982.81,288.9,3.091,7.555,0
64500,129.0,-6220.53,272.79,-5947.74,318.5,3.059,7.982,0
65000,130.0,-6295.45,277.2,-6018.25,323.7,3.045,7.577,0
65500,131.0,-6275.81,289.65,-5986.16,338.2,2.48,7.508,0
66000,132.0,-6283.97,253.01,-6030.96,295.4,2.665,7.751,0
66500,133.0,-6234.34,209.38,-6024.96,244.5,3.09,7.582,0
67000,134.0,-6306.4,349.08,-5957.31,407.6,2.901,7.761,0
67500,135.0,-6278.72,282.54,-5996.17,329.9,2.308,7.724,0
68000,136.0,-6274.67,246.36,-6028.31,287.7,2.791,7.526,0
68500,137.0,-6256.94,276.72,-5980.22,323.1,2.953,7.789,0
69000,138.0,-6303.27,259.26,-6044.01,302.7,2.857,7.96,0
69500,139.0,-6256.03,264.21,-5991.82,308.5,2.871,7.73,0
70000,140.0,-6226.35,234.78,-5991.56,274.2,2.771,7.934,0
70500,141.0,-6257.48,233.4,-6024.09,272.5,2.879,7.499,0
71000,142.0,-6294.38,230.08,-6064.3,268.7,3.269,7.596,0
71500,143.0,-6274.72,220.91,-6053.81,258.0,3.283,7.319,0
72000,144.0,-6285.39,246.99,-6038.4,288.4,3.199,7.689,0
72500,145.0,-6284.08,213.08,-6071.0,248.8,2.596,7.769,0
73000,146.0,-6272.44,269.89,-6002.55,315.1,3.096,7.839,0
73500,147.0,-6279.1,260.42,-6018.69,304.1,3.376,7.604,0
74000,148.0,-6272.87,275.89,-5996.98,322.2,3.175,7.459,0
74500,149.0,-6288.87,279.14,-6009.73,326.0,2.747,7.861,0
75000,150.0,-6232.23,246.63,-5985.6,288.0,2.939,7.646,0
75500,151.0,-6221.08,245.52,-5975.56,286.7,2.553,7.764,0
76000,152.0,-6275.51,236.24,-6039.27,275.9,2.543,7.833,0
76500,153.0,-6321.34,239.43,-6081.91,279.6,2.677,8.008,0
77000,154.0,-6319.49,258.4,-6061.09,301.7,2.329,7.836,0
77500,155.0,-6338.58,239.22,-6099.36,279.3,2.288,7.891,0
78000,156.0,-6290.83,213.3,-6077.54,249.1,2.56,7.618,0
78500,157.0,-6267.23,227.61,-6039.62,265.8,2.399,7.748,0
79000,158.0,-6274.44,275.75,-5998.69,322.0,2.623,7.659,0
79500,159.0,-6260.76,259.76,-6001.0,303.3,2.916,7.637,0
80000,160.0,-6299.63,206.63,-6093.0,241.3,3.22,7.37,0
80500,161.0,-6298.66,234.09,-6064.57,273.3,2.855,7.173,0
81000,162.0,-6289.04,294.75,-5994.29,344.2,3.023,7.313,0
81500,163.0,-6255.43,288.08,-5967.34,336.4,2.541,7.774,0
82000,164.0,-6265.22,302.03,-5963.19,352.7,2.238,7.655,0
82500,165.0,-6300.1,302.87,-5997.23,353.7,2.895,7.531,0
83000,166.0,-6279.97,266.94,-6013.02,311.7,2.812,7.797,0
83500,167.0,-6286.94,248.55,-6038.38,290.2,2.668,7.942,0
84000,168.0,-6202.06,265.85,-5936.21,310.4,2.893,7.928,0
84500,169.0,-6264.96,253.6,-6011.37,296.1,3.042,7.646,0
85000,170.0,-6265.17,269.98,-5995.19,315.3,3.177,7.842,0
85500,171.0,-6253.55,273.46,-5980.09,319.3,2.759,7.652,0
86000,172.0,-6287.14,329.1,-5958.04,384.3,2.241,7.743,0
86500,173.0,-6310.01,270.74,-6039.26,316.1,2.641,7.729,0
87000,174.0,-6248.37,288.95,-5959.42,337.4,2.928,7.692,0
87500,175.0,-6239.31,236.1,-6003.21,275.7,2.775,7.808,0
88000,176.0,-6291.5,256.26,-6035.24,299.2,2.702,7.846,0
88500,177.0,-6297.91,284.49,-6013.43,332.2,2.861,7.803,0
89000,178.0,-6298.42,271.46,-6026.96,317.0,2.796,7.983,0
89500,179.0,-6318.85,255.96,-6062.9,298.9,2.7,7.894,0
90000,180.0,-6302.86,255.57,-6047.29,298.4,2.785,7.773,0
90500,181.0,-6308.21,296.23,-6011.98,345.9,2.917,7.748,0
91000,182.0,-6294.93,272.22,-6022.71,317.9,2.911,7.733,0
91500,183.0,-6279.3,237.64,-6041.67,277.5,2.88,7.8,0
92000,184.0,-6310.97,295.93,-6015.05,345.6,3.403,7.512,0
92500,185.0,-6228.62,271.96,-5956.66,317.6,3.835,7.187,0
93000,186.0,-6251.58,301.73,-5949.85,352.3,3.679,7.319,0
93500,187.0,-6295.72,255.91,-6039.81,298.8,3.297,7.616,0
94000,188.0,-6278.75,244.95,-6033.8,286.0,2.676,7.583,0
94500,189.0,-6289.71,265.49,-6024.22,310.0,2.577,7.957,0
95000,190.0,-6318.54,268.45,-6050.08,313.5,2.74,7.665,0
95500,191.0,-6270.66,268.42,-6002.23,313.4,2.631,8.021,0
96000,192.0,-6272.62,273.06,-5999.56,318.9,2.402,7.692,0
96500,193.0,-6280.47,304.78,-5975.69,355.9,2.824,7.995,0
97000,194.0,-6240.57,246.35,-5994.22,287.7,2.557,7.641,0
97500,195.0,-6319.23,257.8,-6061.43,301.0,2.687,7.902,0
98000,196.0,-6287.39,237.94,-6049.45,277.8,2.91,7.727,0
98500,197.0,-6255.9,237.52,-6018.38,277.4,3.315,7.183,0
99000,198.0,-6264.19,271.15,-5993.04,316.6,3.461,7.51,0
99500,199.0,-6285.64,218.96,-6066.68,255.7,3.444,7.54,0
100000,200.0,-6262.4,253.89,-6008.5,296.5,3.229,7.668,0
100500,201.0,-6243.25,268.21,-5975.03,313.2,3.391,7.229,0
101000,202.0,-6290.08,256.91,-6033.18,300.0,3.891,7.237,0
101500,203.0,-6256.89,273.81,-5983.08,319.7,3.979,6.438,0
102000,204.0,-6258.69,238.37,-6020.32,278.3,4.445,6.395,0
102500,205.0,-6261.72,271.63,-5990.09,317.2,4.568,6.063,0
103000,206.0,-6271.88,266.04,-6005.84,310.7,4.808,5.835,0
103500,207.0,-6295.09,261.27,-6033.82,305.1,4.524,5.939,0
104000,208.0,-6291.11,218.59,-6072.51,255.3,4.407,5.966,0
104500,209.0,-6315.16,266.81,-6048.35,311.6,4.155,6.305,0
105000,210.0,-6306.33,235.07,-6071.26,274.5,4.315,6.39,0
