angle_deg,energy_kcal_mol,rel_energy_kcal_mol,achieved_deg
0.0,89.6137,36.4101,-5.00
10.0,91.3091,38.1055,5.00
20.0,92.6392,39.4356,15.00
30.0,93.6106,40.4070,35.00
40.0,92.4914,39.2877,45.00
50.0,58.9980,5.7944,55.00
60.0,58.6436,5.4399,62.54
70.0,58.6787,5.4751,65.00
80.0,59.4178,6.2142,75.00
90.0,61.0072,7.8036,85.00
100.0,63.6903,10.4867,95.00
110.0,67.8140,14.6103,105.00
120.0,73.5271,20.3234,115.00
130.0,65.1938,11.9902,135.00
140.0,64.8761,11.6725,143.34
150.0,64.8989,11.6952,145.00
160.0,66.2392,13.0356,155.00
170.0,67.9715,14.7679,165.00
180.0,74.1203,20.9167,175.00
190.0,83.0537,29.8500,-175.00
200.0,94.7909,41.5873,-165.00
210.0,109.2032,55.9996,-155.00
220.0,126.0249,72.8213,-145.00
230.0,59.6609,6.4572,-125.00
240.0,56.2353,3.0317,-115.00
250.0,53.9052,0.7016,-105.00
260.0,53.2036,0.0000,-96.44
270.0,53.2248,0.0212,-95.00
280.0,54.5235,1.3198,-85.00
290.0,57.4971,4.2935,-75.00
300.0,56.9349,3.7312,-65.00
310.0,57.5847,4.3810,-55.00
320.0,57.2406,4.0370,-45.00
330.0,57.9455,4.7419,-35.00
340.0,59.2829,6.0793,-25.00
350.0,60.7918,7.5882,-15.00
