frame,time_ps,ca_rmsd_A,pocket_ca_rmsd_A,lig_rmsd_A
0,0.0,0.3713469274482199,0.38273892098929196,1.2878965103314461
1,0.25,0.37945675657657996,0.3865385664706346,1.1903750029174656
2,0.5,0.31479664751184083,0.3207118452444738,1.0596141059882924
3,0.75,0.3321974265311452,0.3348956258393196,1.0324267223392125
4,1.0,0.3444010026014609,0.3427836028435224,1.0383303706098477
5,1.25,0.38940384877541107,0.39342077387698926,1.069951068683449
6,1.5,0.369770233669388,0.3854373166359402,1.1141214491158762
7,1.75,0.3651278544310874,0.36835265238085046,0.9201163828065999
8,2.0,0.3391173665356348,0.34542873164009796,0.9457185009194837
9,2.25,0.34573600212088235,0.3588760915259782,1.1522108119963366
10,2.5,0.33743218124011853,0.3487346681535102,1.2469133888356028
11,2.75,0.3303015105320038,0.3421105608328479,1.2826187057857055
12,3.0,0.3524374913938508,0.35832774989227834,1.169896578301228
13,3.25,0.35837131111899045,0.3661703820277519,1.0998228830972574
14,3.5,0.33630409506015535,0.3418370635212089,0.98550409920839
15,3.75,0.34958261295525805,0.353823089205099,0.9754532974795633
16,4.0,0.34246239713337046,0.346258934822911,1.107153257704794
17,4.25,0.3349324464604299,0.3409704849518025,1.1793477941756998
18,4.5,0.33554807298924433,0.34282303443892226,1.2121090449028469
19,4.75,0.3406468543221988,0.3462075879088221,1.191272258942172
20,5.0,0.37678874163620807,0.38678946378909507,1.2446224223303302
21,5.25,0.35381225620068935,0.3605337739135573,1.325758194112928
22,5.5,0.36107486348990525,0.3716886167691172,1.463831998167126
23,5.75,0.35881090695042117,0.3580503160487326,1.3781092770347212
24,6.0,0.33332938283630253,0.3413351705763709,1.228594572825235
25,6.25,0.34896750012820343,0.3542399939973153,1.0832056700235126
26,6.5,0.3792582414603702,0.3843544489127552,0.9688477129621331
27,6.75,0.3481918113540947,0.35640669549763376,0.9228015620364589
28,7.0,0.3445189487226366,0.35347336426499265,1.0997537470471215
29,7.25,0.3581265556744789,0.3676532020655709,1.1247955254390976
30,7.5,0.34174893824744124,0.3491273822190735,1.0663717019740018
31,7.75,0.3477553746796411,0.35892432854059725,1.112140979398514
32,8.0,0.3277290269501414,0.3398651326175559,1.0552993074004826
33,8.25,0.34325709604623006,0.35018925319253336,1.0532537892630915
34,8.5,0.33824167090542834,0.3455144832657121,1.0408269914486221
35,8.75,0.34441872766061016,0.35273571512633467,0.9656183912036985
36,9.0,0.3494147018738795,0.360654860701669,1.0709967992964453
37,9.25,0.363539416325498,0.37126537372645946,1.128407780738027
38,9.5,0.3344638497863302,0.3397342400898638,1.0200879711891844
39,9.75,0.34132777734474795,0.3490592972171295,0.9800820481957201
40,10.0,0.32761070732260567,0.33200586192706205,1.0463838163974228
41,10.25,0.32813620914268604,0.33759566157379084,1.0733123743825734
42,10.5,0.3527923960993337,0.35992296310477256,1.2382820148289089
43,10.75,0.36345736152544567,0.36436559820187503,1.4244741266053926
44,11.0,0.3405170863188751,0.34299222093413284,1.4291471210259916
45,11.25,0.3356324375338741,0.34085846344928006,1.4004736062340075
46,11.5,0.3222084325074797,0.3315280756239236,1.1658441862475184
47,11.75,0.3564547868678162,0.36385196710785656,1.1132493978897364
48,12.0,0.33754469047950125,0.34230571212796057,0.9690849956897948
49,12.25,0.34900910395595824,0.35018104108424564,0.9796449264698452
50,12.5,0.3482778124604396,0.3550622880751523,1.2170895895852327
51,12.75,0.36227385776040977,0.3732231771762627,1.1761090548985034
52,13.0,0.34826378903780353,0.35069410787778843,1.1712952950344857
53,13.25,0.3430470799900465,0.344683755971379,1.2670640820471424
54,13.5,0.3460193917252562,0.34953013272072625,1.3412349280394733
55,13.75,0.35609215417266415,0.36023380941071975,1.2731116433163128
56,14.0,0.3204608682092916,0.32426320103238054,1.2061997828500233
57,14.25,0.3391567923568564,0.3438221903823796,1.351754358844378
58,14.5,0.32420069614051156,0.33594436639826686,1.5148252677391314
59,14.75,0.3637508887780116,0.36527879133235575,1.6287786875439194
60,15.0,0.3517889062728936,0.35982578439584245,1.5676464368868417
61,15.25,0.3383920780774868,0.3407363291789274,1.4828220714974822
62,15.5,0.35040776088610043,0.35606817003370356,1.266854516103896
63,15.75,0.3561847318883486,0.3681689311479574,1.0651687025749579
64,16.0,0.3484809955874656,0.3608117174961595,1.0395842397312967
65,16.25,0.34644732062977546,0.3486560241337931,1.0647665719208756
66,16.5,0.327046089828929,0.33017649460190085,1.0735194922275024
67,16.75,0.36897757536752285,0.36976795851862376,1.0518981039645228
68,17.0,0.3684853694046172,0.3736374279899348,1.3921981560315513
69,17.25,0.3385817723604036,0.3497758795952921,1.4721181948834479
70,17.5,0.3421414236993651,0.346547637820439,1.5095433647680678
71,17.75,0.3527951121678515,0.35293380771427985,1.4171844229632138
72,18.0,0.3457972617045814,0.35092142392642567,1.238346098816882
73,18.25,0.3400822519269605,0.3476211627339218,1.04867314237909
74,18.5,0.33799675427562065,0.3447675130085335,1.1247684485985658
75,18.75,0.3595674518441146,0.36563510063244076,1.310875851162755
76,19.0,0.3512370377064113,0.3560922681038715,1.1147016892870754
77,19.25,0.32627138496614416,0.3376459371112385,1.1189824602425438
78,19.5,0.3403984685494669,0.34488920149178554,1.2568718238087315
79,19.75,0.3628520794842379,0.3656965748317418,1.3178776234119007
80,20.0,0.34331162501932444,0.3494351257884307,1.3628222164020014
81,20.25,0.36467425185564506,0.3726671224533803,1.2414135830589288
82,20.5,0.3484672626214522,0.34573508570195916,1.0667137950083805
83,20.75,0.33677922744386074,0.3405047542275614,1.0111849392384524
84,21.0,0.3112789257871976,0.3138090993488609,1.286119324865028
85,21.25,0.3370419618450954,0.3442428420129055,1.515810502396891
86,21.5,0.3427020284662634,0.34678445894764925,1.568046456689154
87,21.75,0.35317763547105574,0.3644273655037104,1.5631012927735415
88,22.0,0.32239466999981375,0.32661940837959524,1.4628454260448314
89,22.25,0.34114168086604757,0.35216030046202457,1.4692187532103096
90,22.5,0.34156408774074337,0.3523661368538241,1.369619187388355
91,22.75,0.33886627929818325,0.35013379994489613,1.423804778817527
92,23.0,0.33768657769548616,0.343762487376355,1.2306285804293415
93,23.25,0.3262750938064964,0.33121196365863076,1.0643464952591801
94,23.5,0.3245667735053369,0.3276500704619311,1.0961876999119033
95,23.75,0.3480215302904517,0.34499317075513236,1.200365396278973
96,24.0,0.35451067763626287,0.3659254611754859,1.336910117799108
97,24.25,0.3455545534199424,0.3483662906640144,1.3669979585683594
98,24.5,0.3325902258755496,0.33528500803000055,1.4464999861353156
99,24.75,0.31290752792989784,0.31650217312479434,1.349699999781233
100,25.0,0.3176133152121039,0.329084854457217,1.299400311544849
101,25.25,0.3443856576888647,0.35587297911410976,1.310499192142644
102,25.5,0.30840180661461253,0.3114582436423487,1.2482234670404215
103,25.75,0.3433160110049787,0.3527712814540395,0.9837428457594326
104,26.0,0.3319142982615485,0.3399513254585892,1.010073866049549
105,26.25,0.3522965483681605,0.3564421344731024,1.2564647456128182
106,26.5,0.3385117045312053,0.3478425307172813,1.4099752177487024
107,26.75,0.32301559534636787,0.3299722167058044,1.6190346662388408
108,27.0,0.3274529720529016,0.33276027353105453,1.5643157293063643
109,27.25,0.337321014197189,0.3419529579370327,1.3944628903786749
110,27.5,0.36681635052813,0.3669837131952401,1.1793330858785953
111,27.75,0.35769153432084844,0.362601273607369,1.2403073428419702
112,28.0,0.3369022054367327,0.3355981264415482,1.303952045311249
113,28.25,0.32467668142484696,0.3334649734179852,1.266522931257181
114,28.5,0.3497123703798156,0.3502932764301855,1.2011396114534658
115,28.75,0.35158475427112107,0.3535227138406404,1.1796444071873795
116,29.0,0.3427633882064729,0.3475322992923162,1.3321567604949995
117,29.25,0.3674890051489867,0.3673169714470015,1.443467371686515
118,29.5,0.36497946249906565,0.36944918431791696,1.357693354572252
119,29.75,0.3857938121599455,0.3926085068383124,1.1743542204099902
120,30.0,0.35707311318592205,0.3554642508200418,1.1380688001580046
121,30.25,0.35081323347051085,0.34631711514502295,1.1791070995003916
122,30.5,0.3564350316517471,0.36372843048284154,1.225219152318363
123,30.75,0.3380481342488762,0.338120804150977,1.249126068343509
124,31.0,0.3501082477364074,0.3547430987577421,1.6024047224124611
125,31.25,0.36389624461061604,0.36597595485407947,1.6646196438953182
126,31.5,0.351254996623908,0.3568946167850075,1.5613868272876608
127,31.75,0.32936770228575885,0.33251601511366424,1.3978237197812515
128,32.0,0.3263202973049202,0.3312210348094596,1.2480654189591578
129,32.25,0.34352015129799124,0.35385489456861835,1.336137694943216
130,32.5,0.3460862900482861,0.353235805411173,1.4273970966941196
131,32.75,0.3499034498823434,0.35261108019078213,1.4815408349178292
132,33.0,0.31500438698050937,0.3098785132828614,1.4636873847421472
133,33.25,0.32265989579893495,0.3240897150893966,1.3467106590487872
134,33.5,0.37509171081862946,0.3854982558170207,1.3297189532175338
135,33.75,0.33724151014905557,0.34413192593720376,1.1303756160705107
136,34.0,0.3429544023088557,0.3359866846623456,1.1303714450652667
137,34.25,0.3314483112395979,0.33042445971590534,1.2584747587021021
138,34.5,0.3531504598393163,0.3552305181617931,1.2951914518197942
139,34.75,0.3557507756314449,0.3610491930836465,1.4058115873204857
140,35.0,0.36770068160289104,0.3650076557885735,1.3791666900262523
141,35.25,0.3614446545588186,0.3597860337057393,1.1108639846515054
142,35.5,0.3467529088163628,0.34488456897795017,1.0157399332769212
143,35.75,0.38012632060492263,0.38262863303476535,1.2603389163212029
144,36.0,0.3383431451238028,0.3405478269638688,1.3661287144173346
145,36.25,0.3488182739665272,0.35329787993713,1.276963394177681
146,36.5,0.36293859561842867,0.3681728643003791,1.3283432334210243
147,36.75,0.3677996012916332,0.37444355227540504,1.2302606399679692
148,37.0,0.35395394283218,0.35656457400146013,1.0410396027048798
149,37.25,0.34602547764751035,0.34407454794450254,1.1289699661506973
150,37.5,0.3567686701072534,0.3594435837485646,1.3679851539148873
151,37.75,0.3604638773669902,0.3688318498646592,1.473619347108411
152,38.0,0.35791854752909547,0.3669062764529528,1.3304638415539554
153,38.25,0.390276029483838,0.4014137770118486,1.3708740961075268
154,38.5,0.3736766385524022,0.3735327722796532,1.3662927653042973
155,38.75,0.3727105366513741,0.3721436904922571,1.4689482831363614
156,39.0,0.3683152637384328,0.36470363876374723,1.456705217216949
157,39.25,0.3346340559422473,0.33663612621939726,1.5252594653438543
158,39.5,0.3467599018626698,0.35276630342468906,1.460662425787994
159,39.75,0.36059866237438104,0.3690000156133837,1.3894404865458303
160,40.0,0.3459845235000203,0.3529397652920855,1.1905261456092233
161,40.25,0.3442768462078552,0.34449727173814365,0.8229700811690428
162,40.5,0.3441197952052332,0.35338491942928896,0.6319242891017375
163,40.75,0.33819309174913825,0.34354797923930613,0.8401907567328711
164,41.0,0.34187075568579134,0.3449279257961717,0.9820106476026703
165,41.25,0.3806805305584685,0.38341556985272396,1.366158355919796
166,41.5,0.3717573328104001,0.3760035500368397,1.4730478165275014
