n_channels,q_a,q_b,q_cat,t_jacket,conv,selectivity,ee,kg_h,sty,pmi,e_factor,ci,cost,kwh_kg,dT_channel,duty_kW
1,0.5,1.0,0.075,10.0,0.429358372565256,0.9982121293499869,0.8699077502813802,0.0032515744005375278,414.0033109412912,5.541503831811842,4.747923605789463,105.2622793375635,3570.2003756404197,0.07572563166639561,-9.954554589722193,0.000674609944586054
1,0.5,1.0,0.15,10.0,0.6446741041194239,0.9971582048031898,0.8698993746478266,0.004908142017392663,624.9240507720558,3.771688540062675,2.856839840204281,70.32276763941418,2374.6720076282068,0.062438935400322894,-9.947238179474539,0.0008618894433534849
1,0.5,1.0,0.3,10.0,0.8271837537374473,0.9957694440561404,0.8699089405253198,0.006335852569096711,806.7058040585808,3.0775218942286555,2.1096038657476424,55.383509239107944,1854.2250152995891,0.06043964094469688,-9.955594314518748,0.0010956756258184873
1,0.5,1.0,0.075,15.0,0.6627085859524371,0.9976790291461873,0.864161091138337,0.005103847276306098,649.8420182481776,3.530397957566032,2.6081280456773843,67.06034420484922,2274.5211932297466,0.04740290041668638,-4.9478525170881085,0.0006609532929336919
1,0.5,1.0,0.15,15.0,0.8643981992605392,0.9963994342655412,0.8641759477445943,0.006690102075225897,851.810252049239,2.7670703364230707,1.7909107759018912,51.59296022469646,1742.1654110702016,0.0479762341275922,-4.9607644191453915,0.000908390269713676
1,0.5,1.0,0.3,15.0,0.965388441288238,0.9944337882634601,0.8642006813605515,0.007496594585652245,954.4960677299952,2.601011002691632,1.6064414884279488,46.80925373923537,1567.127684021195,0.0530668802403861,-4.9822607854598004,0.0011433992574786263
1,0.5,1.0,0.075,20.0,0.8717762700792417,0.9970630234094293,0.8584122847482166,0.006777789715329984,862.9749891457418,2.658479055383728,1.680730686917148,50.49940887360461,1712.7772023306627,0.03799015289248058,0.03787593139810497,0.0007107882608502068
1,0.5,1.0,0.15,20.0,0.9763367039883826,0.9951780132876991,0.8584408855230525,0.007605033431695645,968.3029304267857,2.4341750981458223,1.4378348838235764,45.387216855156375,1532.575017734805,0.04437093262981346,0.013119543981076731,0.0009611898704153123
1,0.5,1.0,0.3,20.0,0.9980912189642901,0.9920590887164912,0.8584537121906188,0.007762049024074634,988.2947765624801,2.5120589859099196,1.512348227855702,45.20805290460408,1513.534081839781,0.05058365985501165,0.002016836575535308,0.001126886666612766
1,1.0,1.0,0.075,10.0,0.27861679522547456,0.9973731954227351,0.8698827593920551,0.004149763598875482,528.364311539077,6.800839885830527,6.209774817482503,156.77937509226075,3213.9022806745147,0.07540333139771054,-9.9327243478495,0.0008514563162993963
1,1.0,1.0,0.15,10.0,0.4628085420258211,0.9955754906233841,0.8698509183792132,0.006921677784159763,881.2953870707069,4.148596582423233,3.3311665169863995,94.41293830178098,1933.5506248477743,0.05719218081410473,-9.904911107302269,0.0011114269294094739
1,1.0,1.0,0.3,10.0,0.6709222598966451,0.9931340788508898,0.8698401214521563,0.010090437737992078,1284.754435169954,2.943578026170991,2.020296514910079,65.33583698989882,1335.5537557795087,0.05103817621668102,-9.895480149522768,0.0014816274841115964
1,1.0,1.0,0.075,15.0,0.4712629955850284,0.9964171021268813,0.8641109647946146,0.007173731383435465,913.3878480697721,3.934058343077336,3.107441192277934,90.69153070806064,1859.1433594307698,0.04345134946859728,-4.9042887489731015,0.0008477500520311102
1,1.0,1.0,0.15,15.0,0.703587729780292,0.9942687633963,0.8641039265524258,0.010760679704260288,1370.0922927693275,2.668534849952952,1.7333338065665682,60.73222635705605,1243.7406885814332,0.040829047071266826,-4.898172096952294,0.0012507058045389996
1,1.0,1.0,0.3,15.0,0.8845771095872877,0.9912208312497045,0.8641386632883138,0.013592036209267903,1730.5917995112113,2.185249534558135,1.205226014466826,48.507146409951666,991.4923045040126,0.043690384578851556,-4.928360722562104,0.001734080809949673
