molecule_id,environment,GFN1_eV,GFN2_eV,GFN2_minus_GFN1_eV,absolute_method_difference_eV
P01,gas,-10.799749321768953,-9.82525700275898,0.9744923190099737,0.9744923190099737
P01,acetonitrile,-8.808612175068824,-7.792389515083509,1.0162226599853144,1.0162226599853144
P01,dmf,-8.847959666597722,-7.801070008929815,1.046889657667907,1.046889657667907
P02,gas,-10.627506106268381,-9.618869200781349,1.008636905487032,1.008636905487032
P02,acetonitrile,-8.726547210017564,-7.678703168297875,1.0478440417196895,1.0478440417196895
P02,dmf,-8.753237413535153,-7.679640321855033,1.0735970916801199,1.0735970916801199
P03,gas,-10.598465688845282,-9.598251045094647,1.0002146437506347,1.0002146437506347
P03,acetonitrile,-8.739993208576054,-7.697997408518397,1.0419958000576575,1.0419958000576575
P03,dmf,-8.767465841436525,-7.702139619992982,1.0653262214435433,1.0653262214435433
P04,gas,-10.633147564579172,-9.662723646784492,0.9704239177946796,0.9704239177946796
P04,acetonitrile,-8.778651034704387,-7.7579565426343375,1.0206944920700494,1.0206944920700494
P04,dmf,-8.810298276072302,-7.759801896969733,1.0504963791025697,1.0504963791025697
P05,gas,-11.201415307346755,-10.329158703053931,0.8722566042928239,0.8722566042928239
P05,acetonitrile,-9.150023632510848,-8.259251700595252,0.8907719319155962,0.8907719319155962
P05,dmf,-9.202164947848434,-8.26451754686237,0.937647400986064,0.937647400986064
P06,gas,-10.9422639432623,-10.137365661312677,0.8048982819496242,0.8048982819496242
P06,acetonitrile,-8.992002901019807,-8.09280181964871,0.899201081371098,0.899201081371098
P06,dmf,-9.03903529078028,-8.100504182202496,0.9385311085777843,0.9385311085777843
P07,gas,-10.922501382213484,-10.342518250466878,0.5799831317466069,0.5799831317466069
P07,acetonitrile,-8.969170821669056,-8.300022172492332,0.6691486491767247,0.6691486491767247
P07,dmf,-9.009121810016094,-8.302154432391548,0.7069673776245455,0.7069673776245455
P08,gas,-11.517115436523216,-10.732471017826802,0.7846444186964145,0.7846444186964145
P08,acetonitrile,-9.412300772887225,-8.615072262658918,0.7972285102283063,0.7972285102283063
P08,dmf,-9.487514733699586,-8.63651050628789,0.8510042274116962,0.8510042274116962
P09,gas,-11.275481024586165,-10.503576169160194,0.7719048554259711,0.7719048554259711
P09,acetonitrile,-9.239473478450615,-8.50366052626198,0.7358129521886347,0.7358129521886347
P09,dmf,-9.293187761929454,-8.50888105849601,0.7843067034334439,0.7843067034334439
P10,gas,-11.114243766857173,-10.228364274430279,0.8858794924268949,0.8858794924268949
P10,acetonitrile,-9.322565416756378,-8.398371471310059,0.9241939454463193,0.9241939454463193
P10,dmf,-9.361593353194076,-8.397456938523748,0.9641364146703282,0.9641364146703282
P11,gas,-11.060305350400773,-10.121047544936712,0.9392578054640612,0.9392578054640612
P11,acetonitrile,-9.121239681124068,-8.182265576402848,0.9389741047212201,0.9389741047212201
P11,dmf,-9.137572292896719,-8.162849703027383,0.9747225898693355,0.9747225898693355
P12,gas,-10.580747701561355,-9.606139843087082,0.9746078584742737,0.9746078584742737
P12,acetonitrile,-8.82822991303836,-7.810965203683613,1.0172647093547473,1.0172647093547473
P12,dmf,-8.85814778675429,-7.818112791814415,1.0400349949398757,1.0400349949398757
