quantity,time_start_h,time_end_h,rho,difference,standard_error,df,ci_low,ci_high,assumption
Cl2_production,0,24,independent,0.33819,0.00354,3.0,0.32692414007929566,0.3494558599207043,fixed_zero_origin_endpoint_interval
Cl2_production,0,24,-1,0.33819,0.00354,3.0,0.32692414007929566,0.3494558599207043,fixed_zero_origin_endpoint_interval
Cl2_production,0,24,-0.5,0.33819,0.00354,3.0,0.32692414007929566,0.3494558599207043,fixed_zero_origin_endpoint_interval
Cl2_production,0,24,0,0.33819,0.00354,3.0,0.32692414007929566,0.3494558599207043,fixed_zero_origin_endpoint_interval
Cl2_production,0,24,0.5,0.33819,0.00354,3.0,0.32692414007929566,0.3494558599207043,fixed_zero_origin_endpoint_interval
Cl2_production,0,24,1,0.33819,0.00354,3.0,0.32692414007929566,0.3494558599207043,fixed_zero_origin_endpoint_interval
Cl2_production,1,24,independent,0.32437,0.0035442801987930145,3.0145178349275383,0.3131211873097208,0.33561881269027916,independent_groups_assumption_unverified
Cl2_production,1,24,-1,0.32437,0.0037141325,3.0,0.31254997274804086,0.3361900272519591,paired_same4_assumption_unknown_rho
Cl2_production,1,24,-0.5,0.32437,0.0036301998812126378,3.0,0.3128170838005935,0.3359229161994065,paired_same4_assumption_unknown_rho
Cl2_production,1,24,0,0.32437,0.0035442801987930145,3.0,0.313090518576461,0.335649481423539,paired_same4_assumption_unknown_rho
Cl2_production,1,24,0.5,0.32437,0.0034562252642957535,3.0,0.31337074867741377,0.3353692513225862,paired_same4_assumption_unknown_rho
Cl2_production,1,24,1,0.32437,0.0033658675,3.0,0.3136583074105505,0.3350816925894495,paired_same4_assumption_unknown_rho
Cl2_production,6,24,independent,0.25534999999999997,0.0037159790096285526,3.6050841964656106,0.24457140703070016,0.2661285929692998,independent_groups_assumption_unverified
Cl2_production,6,24,-1,0.25534999999999997,0.00467,3.0,0.24048797575432504,0.27021202424567486,paired_same4_assumption_unknown_rho
Cl2_production,6,24,-0.5,0.25534999999999997,0.0042200355448740005,3.0,0.24191996347204978,0.26878003652795013,paired_same4_assumption_unknown_rho
Cl2_production,6,24,0,0.25534999999999997,0.0037159790096285526,3.0,0.24352409633029576,0.2671759036697042,paired_same4_assumption_unknown_rho
Cl2_production,6,24,0.5,0.25534999999999997,0.003131820556800788,3.0,0.24538314924019775,0.2653168507598022,paired_same4_assumption_unknown_rho
Cl2_production,6,24,1,0.25534999999999997,0.00241,3.0,0.24768030440426622,0.2630196955957337,paired_same4_assumption_unknown_rho
Cl2_production,12,24,independent,0.17457,0.004692334173947972,5.8873844648325875,0.1630348233267697,0.18610517667323032,independent_groups_assumption_unverified
Cl2_production,12,24,-1,0.17457,0.006619999999999999,3.0,0.15350220545902185,0.19563779454097815,paired_same4_assumption_unknown_rho
Cl2_production,12,24,-0.5,0.17457,0.005737699887585617,3.0,0.1563100781919264,0.1928299218080736,paired_same4_assumption_unknown_rho
Cl2_production,12,24,0,0.17457,0.004692334173947972,3.0,0.15963689844496282,0.1895031015550372,paired_same4_assumption_unknown_rho
Cl2_production,12,24,0.5,0.17457,0.003333886620747622,3.0,0.16396008484156693,0.18517991515843307,paired_same4_assumption_unknown_rho
Cl2_production,12,24,1,0.17457,0.0004599999999999998,3.0,0.17310607469956948,0.17603392530043052,paired_same4_assumption_unknown_rho
FE,0,24,independent,-0.0629600000000039,0.020601098271694155,4.439583134370437,-0.11799204060523272,-0.007927959394775086,independent_groups_assumption_unverified
FE,0,24,-1,-0.0629600000000039,0.02768,3.0,-0.15105011373025695,0.025130113730249135,paired_same4_assumption_unknown_rho
FE,0,24,-0.5,-0.0629600000000039,0.024398643917234415,3.0,-0.14060737418833938,0.014687374188331576,paired_same4_assumption_unknown_rho
FE,0,24,0,-0.0629600000000039,0.020601098271694155,3.0,-0.12852188907954354,0.0026018890795357352,paired_same4_assumption_unknown_rho
FE,0,24,0.5,-0.0629600000000039,0.015922206976421327,3.0,-0.11363156876407843,-0.012288431235929376,paired_same4_assumption_unknown_rho
FE,0,24,1,-0.0629600000000039,0.009089999999999999,3.0,-0.0918884369150328,-0.034031563084975,paired_same4_assumption_unknown_rho
FE,1,24,independent,0.0024000000000086175,0.013634428847590205,5.9703358290005335,-0.03100246824612135,0.035802468246138586,independent_groups_assumption_unverified
FE,1,24,-1,0.0024000000000086175,0.01927,3.0,-0.05892574030280843,0.06372574030282566,paired_same4_assumption_unknown_rho
FE,1,24,-0.5,0.0024000000000086175,0.016691772673985226,3.0,-0.05072067027495122,0.05552067027496845,paired_same4_assumption_unknown_rho
FE,1,24,0,0.0024000000000086175,0.013634428847590205,3.0,-0.04099083771065843,0.045790837710675665,paired_same4_assumption_unknown_rho
FE,1,24,0.5,0.0024000000000086175,0.009652980109789929,3.0,-0.02832009088536946,0.0331200908853867,paired_same4_assumption_unknown_rho
FE,1,24,1,0.0024000000000086175,0.0006799999999999881,3.0,0.00023593651241573393,0.004564063487601501,paired_same4_assumption_unknown_rho
FE,6,24,independent,0.0006699999999995043,0.013130980542213897,5.999972161591522,-0.0314603880425858,0.03280038804258481,independent_groups_assumption_unverified
FE,6,24,-1,0.0006699999999995043,0.01857,3.0,-0.058428027889118946,0.059768027889117954,paired_same4_assumption_unknown_rho
