curve_id,current_mA_cm2,linear_potential_V_NHE,pchip_potential_V_NHE,method_difference_mV,bracket_width_mA_cm2,calibration_status
before_crosspanel_iR_corrected,10,1.2643219932381289,1.2643271136702137,0.005120432084781967,0.7926800000000007,crosspanel_iR_pairing_unverified
before_crosspanel_iR_corrected,50,1.2942604390580523,1.2942623352910736,0.0018962330212701772,1.8548800000000014,crosspanel_iR_pairing_unverified
before_crosspanel_iR_corrected,100,1.3142308255503148,1.3142308372186402,1.1668325416991365e-05,2.8769900000000064,crosspanel_iR_pairing_unverified
before_crosspanel_iR_corrected,300,1.3535504545182617,1.353552764836015,0.0023103177533290165,5.516169999999988,crosspanel_iR_pairing_unverified
before_crosspanel_iR_corrected,500,1.3756141995076554,1.3756375467815474,0.023347273891971554,7.401319999999998,crosspanel_iR_pairing_unverified
before_crosspanel_iR_corrected,800,1.3972244725365501,1.39724840879605,0.023936259499812707,9.357709999999997,crosspanel_iR_pairing_unverified
before_crosspanel_iR_corrected,1000,1.4089598278199187,1.4089926895186762,0.03286169875749145,10.350209999999947,crosspanel_iR_pairing_unverified
before_crosspanel_uncorrected,10,1.2645229096230508,1.264526944259356,0.004034636305272343,0.7926800000000007,crosspanel_iR_pairing_unverified
before_crosspanel_uncorrected,50,1.2957451479340982,1.2957473995590234,0.0022516249251758325,1.8548800000000014,crosspanel_iR_pairing_unverified
before_crosspanel_uncorrected,100,1.317000907198148,1.3170009150536024,7.855454287053476e-06,2.8769900000000064,crosspanel_iR_pairing_unverified
before_crosspanel_uncorrected,300,1.3653435064546597,1.3653447844820836,0.001278027423889938,5.516169999999988,crosspanel_iR_pairing_unverified
before_crosspanel_uncorrected,500,1.3963644768770975,1.3963652663375923,0.0007894604947544792,7.401319999999998,crosspanel_iR_pairing_unverified
before_crosspanel_uncorrected,800,1.4322689450731,1.4322695105693375,0.0005654962373924377,9.357709999999997,crosspanel_iR_pairing_unverified
before_crosspanel_uncorrected,1000,1.4525468449432428,1.4525473948644831,0.0005499212403226039,10.350209999999947,crosspanel_iR_pairing_unverified
after100h_iR_unverified,10,1.2126329787234043,1.2125892674366823,-0.043711286721981324,1.8048000000000002,sharedpanel_iR_unverified
after100h_iR_unverified,50,1.233101598173516,1.2331164579321343,0.014859758618257501,2.803199999999997,sharedpanel_iR_unverified
after100h_iR_unverified,100,1.2565357142857143,1.256570945236448,0.035230950733655675,2.6880000000000024,sharedpanel_iR_unverified
after100h_iR_unverified,300,1.3169583333333332,1.31696530865708,0.0069753237468273,3.840000000000032,sharedpanel_iR_unverified
after100h_iR_unverified,500,1.3468007246376812,1.3468083970742035,0.007672436522332404,8.831999999999994,sharedpanel_iR_unverified
after100h_iR_unverified,800,1.3732407407407408,1.373243018197018,0.002277456277344214,13.823999999999955,sharedpanel_iR_unverified
after100h_iR_unverified,1000,1.3857604166666666,1.385762367040184,0.0019503735173564962,18.432000000000016,sharedpanel_iR_unverified
after200h_iR_unverified,10,1.2375663811871909,1.2375813997686285,0.015018581437598044,1.3871400000000005,sharedpanel_iR_unverified
after200h_iR_unverified,50,1.2613518420530458,1.2613460008342838,-0.0058412187620149325,2.4190400000000025,sharedpanel_iR_unverified
after200h_iR_unverified,100,1.2820157634995928,1.2820156591120717,-0.00010438752107155835,2.71323000000001,sharedpanel_iR_unverified
after200h_iR_unverified,300,1.3240796556704868,1.3240796283159941,-2.7354492670994546e-05,7.040930000000003,sharedpanel_iR_unverified
after200h_iR_unverified,500,1.346489863334478,1.3464922109671966,0.0023476327186688906,10.949360000000013,sharedpanel_iR_unverified
after200h_iR_unverified,800,1.3690546326788688,1.3690549452114094,0.0003125325405139989,15.902569999999969,sharedpanel_iR_unverified
after200h_iR_unverified,1000,1.3805516468311898,1.380558578412824,0.0069315816342285785,19.282789999999977,sharedpanel_iR_unverified
