trace_id,startup_exclusion_h,window_h,y_unit,first_window_start_h,first_window_end_h,last_window_start_h,last_window_end_h,first_unique_times,last_unique_times,first_median,last_median,change,relative_change_percent
nature2023_constant_current,1,6,V vs NHE (anode potential),1.0064,7.0064,114.0,120.0,937,240,1.688,1.702,0.014000000000000012,0.829383886255925
nature2023_constant_current,1,12,V vs NHE (anode potential),1.0064,13.0064,108.0,120.0,1875,480,1.689,1.702,0.0129999999999999,0.7696862048549379
nature2023_constant_current,5,1,V vs NHE (anode potential),5.0064,6.0064,119.0,120.0,156,40,1.689,1.70125,0.012249999999999872,0.7252812314979201
nature2023_constant_current,5,3,V vs NHE (anode potential),5.0064,8.0064,117.0,120.0,468,120,1.689,1.702,0.0129999999999999,0.7696862048549379
nature2023_constant_current,5,6,V vs NHE (anode potential),5.0064,11.0064,114.0,120.0,937,240,1.69,1.702,0.01200000000000001,0.7100591715976338
nature2023_constant_current,5,12,V vs NHE (anode potential),5.0064,17.0064,108.0,120.0,1875,480,1.692,1.702,0.010000000000000009,0.5910165484633575
nature2023_constant_current,10,1,V vs NHE (anode potential),10.0064,11.0064,119.0,120.0,156,40,1.692,1.70125,0.00924999999999998,0.546690307328604
nature2023_constant_current,10,3,V vs NHE (anode potential),10.0064,13.0064,117.0,120.0,469,120,1.693,1.702,0.008999999999999897,0.531600708800939
nature2023_constant_current,10,6,V vs NHE (anode potential),10.0064,16.0064,114.0,120.0,937,240,1.694,1.702,0.008000000000000007,0.4722550177095636
nature2023_constant_current,10,12,V vs NHE (anode potential),10.0064,22.0064,108.0,120.0,1875,480,1.698,1.702,0.0040000000000000036,0.23557126030624284
nature2023_constant_current,20,1,V vs NHE (anode potential),20.0064,21.0064,119.0,120.0,156,40,1.701,1.70125,0.00024999999999986144,0.014697236919450995
nature2023_constant_current,20,3,V vs NHE (anode potential),20.0064,23.0064,117.0,120.0,468,120,1.701,1.702,0.0009999999999998899,0.05878894767783009
nature2023_constant_current,20,6,V vs NHE (anode potential),20.0064,26.0064,114.0,120.0,821,240,1.702,1.702,0.0,0.0
nature2023_constant_current,20,12,V vs NHE (anode potential),20.0064,32.0064,108.0,120.0,1061,480,1.703,1.702,-0.001000000000000112,-0.05871990604815689
nature2023_constant_current,30,1,V vs NHE (anode potential),30.0064,31.0064,119.0,120.0,40,40,1.705,1.70125,-0.003750000000000142,-0.21994134897361536
nature2023_constant_current,30,3,V vs NHE (anode potential),30.0064,33.0064,117.0,120.0,120,120,1.705,1.702,-0.0030000000000001137,-0.1759530791788923
nature2023_constant_current,30,6,V vs NHE (anode potential),30.0064,36.0064,114.0,120.0,240,240,1.706,1.702,-0.0040000000000000036,-0.23446658851113739
nature2023_constant_current,30,12,V vs NHE (anode potential),30.0064,42.0064,108.0,120.0,480,480,1.706,1.702,-0.0040000000000000036,-0.23446658851113739
natsynth2026_constant_current,0,1,V vs NHE (anode potential),0.55836,1.55836,199.0566,200.0566,676,7,1.406,1.423,0.017000000000000126,1.2091038406827972
natsynth2026_constant_current,0,3,V vs NHE (anode potential),0.55836,3.55836,197.0566,200.0566,2025,21,1.41,1.424,0.014000000000000012,0.9929078014184407
natsynth2026_constant_current,0,6,V vs NHE (anode potential),0.55836,6.55836,194.0566,200.0566,4051,42,1.411,1.424,0.0129999999999999,0.9213323883770305
natsynth2026_constant_current,0,12,V vs NHE (anode potential),0.55836,12.55836,188.0566,200.0566,8102,83,1.416,1.423,0.007000000000000117,0.49435028248588403
