site,orbital,x_angstrom,y_angstrom,z_angstrom,grad_x,grad_y,grad_z,tangent_x,tangent_y,tangent_z,soc_axis_x,soc_axis_y,soc_axis_z
0,0,4,0,0,0.942260922119,0.334879612171,0,-0.327120501652,0.920428877507,0.21401602475,0.0716696033667,-0.201658936829,0.976830149591
0,1,1.87904222807,4.1987141252,0,0.0792357184034,0.996855907807,0,-0.979242999775,0.0778357453379,0.187148989151,0.186560575475,-0.0148288846038,0.982331540703
1,0,3.10284516282,2.5243517773,0.586956521739,0.519583950035,0.854419404546,0,-0.834622634757,0.507545267638,0.21401602475,0.182859444431,-0.111199291511,0.976830149591
1,1,-1.19216359406,4.44283085037,0.586956521739,-0.567639704254,0.823277089535,0,-0.808731051789,-0.557610385244,0.187148989151,0.154075475097,0.106233196853,0.982331540703
2,0,0.813824052211,3.91633635073,1.17391304348,-0.136166649096,0.990685946036,0,-0.967731900864,-0.133011688206,0.21401602475,0.212022667947,0.0291418449431,0.976830149591
2,1,-3.72859174863,2.69399398144,1.17391304348,-0.959884773688,0.280394759655,0,-0.275440616257,-0.942925088634,0.187148989151,0.0524755958326,0.179641465097,0.982331540703
3,0,-1.84026015092,3.55154087361,1.76086956522,-0.730835964278,0.682553143219,0,-0.666738488994,-0.713902604312,0.21401602475,0.146077310392,0.156410607819,0.976830149591
3,1,-4.59245784162,-0.263307753377,1.76086956522,-0.921547209196,-0.388266327698,0,0.38140625989,-0.90526488984,0.187148989151,-0.0726636507499,0.172466628656,0.982331540703
4,0,-3.66884520602,1.59360435938,2.34782608696,-0.997668769191,0.0682424133647,0,-0.0666612468555,-0.974552933051,0.21401602475,0.0146049700277,0.213517104,0.976830149591
4,1,-3.39625105102,-3.10249557589,2.34782608696,-0.469824376492,-0.882759908046,0,0.867162900542,-0.46152330362,0.187148989151,-0.165207624454,0.0879271571389,0.982331540703
5,0,-3.85166914939,-1.07918708463,2.9347826087,-0.81696989301,-0.576680322115,0,0.563318725318,-0.798040822801,0.21401602475,-0.123418830091,0.174844648843,0.976830149591
5,1,-0.676562731072,-4.54997394179,2.9347826087,0.192651062209,-0.981267327607,0,0.96392984577,0.189247214758,0.187148989151,-0.183643188448,-0.0360544515512,0.982331540703
6,0,-2.30672128846,-3.26787957204,3.52173913043,-0.269796771157,-0.962917287348,0,0.940606637844,-0.263545620329,0.21401602475,-0.206079730001,0.0577408324535,0.976830149591
6,1,2.3466163523,-3.95643674221,3.52173913043,0.768707584736,-0.639600382403,0,0.62829962908,0.755125706064,0.187148989151,-0.119700565027,-0.143862847436,0.982331540703
7,0,0.272969653459,-3.99067507676,4.10869565217,0.398401089846,-0.917211301505,0,0.895959652856,0.389170196192,0.21401602475,-0.196297916604,-0.0852642175051,0.976830149591
7,1,4.31715632993,-1.588131362,4.10869565217,0.99993924325,-0.0110231487298,0,0.0108283866752,0.982271857431,0.187148989151,-0.00206297114205,-0.187137618586,0.982331540703
8,0,2.73021257287,-2.92334385711,4.69565217391,0.887885218402,-0.460065037731,0,0.449405399629,0.867313050712,0.21401602475,-0.0984612905018,-0.190021664877,0.976830149591
8,1,4.35111746543,1.49257388496,4.69565217391,0.78262073728,0.622498820545,0,-0.611500225472,0.768793034638,0.187148989151,0.116500025012,-0.14646667987,0.982331540703
9,0,3.96274378415,-0.544666596385,5.28260869565,0.979084087682,0.203456013053,0,-0.198741967665,0.956398855833,0.21401602475,0.0435428471251,-0.209539684342,0.976830149591
9,1,2.4332655603,3.90374419155,5.28260869565,0.214236241244,0.976781875824,0,-0.959523645009,0.210451016936,0.187148989151,0.182803740681,-0.0400940959883,0.982331540703
10,0,3.41767761819,2.07833580014,5.86956521739,0.631087944326,0.775711290704,0,-0.757738176138,0.616465731061,0.21401602475,0.16601464679,-0.135062933112,0.976830149591
10,1,-0.576094328617,4.56378300586,5.86956521739,-0.450249794857,0.892902638719,0,-0.87712642479,-0.442294574683,0.187148989151,0.167105826246,0.0842637939728,0.982331540703
