id,substrate,partner,product,mapped_reaction,fixed_parent_site,blocked_fixed_parent_site,product_identity_status,stereochemistry,MW_g_mol
JACS_A1_B1_C1,c1ccc(-c2ccncc2)cc1,O=Cc1ccccc1,OC(c1ccccc1)c1cc(-c2ccccc2)ccn1,[n:1]1[cH:2][cH:3][c:4](-[c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[cH:5][cH:6]1.[CH:100](=[O:101])[c:102]1[cH:103][cH:104][cH:105][cH:106][cH:107]1>>[n:1]1[c:2]([CH:100]([OH:101])[c:102]2[cH:103][cH:104][cH:105][cH:106][cH:107]2)[cH:3][c:4](-[c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[cH:5][cH:6]1,2,4,source_structure_visually_audited_heavy_atom_map_reconstructed,unassigned; no enantioselectivity inferred,261.324
NC_A1_B1_C1,c1ccc(-c2ccccn2)cc1,COc1ccc(C(C)=O)cc1,COc1ccc(C(C)(O)c2ccnc(-c3ccccc3)c2)cc1,[n:1]1[c:2](-[c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[cH:3][cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[c:2](-[c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[cH:3][c:4]([C:100]([OH:101])([CH3:102])[c:103]2[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]2)[cH:5][cH:6]1,4,2,source_structure_visually_audited_heavy_atom_map_reconstructed,unassigned; no enantioselectivity inferred,305.377
