time_s,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24
0,0.501364081219,0.499129613728,0.500847752237,0.5,0.50040450468,0.499099712105,0.494814691973,0.497283812828,0.5,0.501390156483,0.497116370394,0.503139801159,0.501911719248,0.500283144081,0.499545726416,0.500238676066,0.502447635879,0.504251219444,0.5,0.5,0.5,0.499436078809,0.495006461717,0.493149327442,0.500654264367
0.0005,0.502680228148,0.498335835131,0.501639369356,0.5,0.500771717533,0.498291631712,0.489875772838,0.494739212147,0.5,0.502608288504,0.494408874364,0.505856097531,0.503695120456,0.500487337558,0.499190687553,0.500462512209,0.504613491987,0.508212752481,0.5,0.5,0.5,0.498920580983,0.490265048594,0.48737112317,0.501231639419
0.001,0.503961268802,0.497585710609,0.502390529997,0.5,0.501115583096,0.49754319928,0.48509200684,0.492308510978,0.5,0.503703251463,0.491816034177,0.508250555888,0.505383248728,0.500645857024,0.49890409428,0.500672968167,0.506563477261,0.511978759515,0.5,0.5,0.5,0.498444761813,0.485693164303,0.482425046254,0.501760039586
0.0015,0.505218901133,0.49684931797,0.503115314192,0.5,0.501448662329,0.496825475868,0.480381536492,0.489940105099,0.5,0.504717287589,0.489282886588,0.510409198564,0.507005589957,0.500786260613,0.498661039004,0.500871386932,0.508354050295,0.515632284526,0.5,0.5,0.5,0.498000845016,0.481216667639,0.478110536267,0.502264137366
0.002,0.506463915162,0.496099092958,0.503826514401,0.5,0.50178237981,0.496112349514,0.475668432455,0.487586675855,0.5,0.505687432965,0.486758875945,0.512406092015,0.508588843476,0.500931491539,0.498441318915,0.501058990021,0.510034592093,0.519248857639,0.5,0.5,0.5,0.497581884237,0.476767136151,0.474257968534,0.502766056448
0.0025,0.507706493048,0.495309048967,0.504535998988,0.5,0.502127334638,0.495379677189,0.470879169504,0.485203327593,0.5,0.506646913581,0.484195708688,0.514306705777,0.510157780668,0.501100938733,0.498228374189,0.501236898416,0.511649618414,0.522899991927,0.5,0.5,0.5,0.497181587952,0.472278987172,0.470720620412,0.503286099471
0.003,0.508956502092,0.494454000191,0.505255062586,0.5,0.502493602686,0.494604449869,0.465939156893,0.482745768613,0.5,0.507626441984,0.481545247871,0.51617090667,0.51173606189,0.50131137972,0.498008385749,0.501406151521,0.51324078435,0.526656513878,0.5,0.5,0.5,0.496794154883,0.467686660528,0.467367610558,0.50384344911
0.0035,0.510223761719,0.493508831105,0.505994741908,0.5,0.502891006523,0.493764002782,0.460769205675,0.480168515758,0.5,0.508655405966,0.478757395196,0.51805568148,0.513346985406,0.501577779368,0.497769535885,0.501567723091,0.51484874949,0.530591848349,0.5,0.5,0.5,0.49641412967,0.462921815164,0.464077569086,0.50445682166
0.004,0.511518266092,0.492447851326,0.506766076918,0.5,0.503329331177,0.492835289456,0.455281828469,0.477423105246,0.5,0.509762941899,0.475777911416,0.5200176614,0.515014141751,0.501913923826,0.497501433113,0.501722533009,0.516514957757,0.534785353902,0.499978458781,0.5,0.499949311092,0.496036287335,0.457910501775,0.460732825167,0.505145055107
0.0045,0.512850339359,0.491244283332,0.507580292815,0.5,0.503818460487,0.491794245779,0.449377325383,0.474456317653,0.5,0.510978872441,0.472546153616,0.522115476906,0.516761934233,0.502332865157,0.497194707303,0.501871453854,0.518283353563,0.539325740876,0.499911228976,0.5,0.49984118006,0.495655556533,0.45257032389,0.457213986105,0.505927607551
0.005,0.514230690166,0.489869954862,0.508448867463,0.5,0.50436840015,0.490615294502,0.442939760108,0.471208492217,0.5,0.51233445292,0.468992785317,0.524411877622,0.51861589734,0.502847138207,0.49684079204,0.502015310933,0.520201986267,0.544314455806,0.499794680426,0.5,0.49966973244,0.495266995301,0.446807722501,0.453394970943,0.506824922285
0.0055,0.51567031551,0.488295313671,0.509383431018,0.5,0.504989139783,0.489271091493,0.435833260337,0.467612149553,0.499970090446,0.513862798296,0.465037689704,0.526975363993,0.520602694137,0.503468685883,0.496431927759,0.502154873283,0.522324314119,0.549868597858,0.499625365828,0.5,0.499429367142,0.49486583821,0.440515772086,0.449138938576,0.507858575482
