bias_v,frequency_hz,z_real_ohm,z_imag_ohm,i_real_a,i_imag_a
-0.25,0.0304321988711,171379.032022,-1088.76875768,5.83478404206e-08,3.70683070025e-10
-0.25,0.0316227766017,171376.087743,-1131.24647551,5.83486554288e-08,3.85157064057e-10
-0.25,0.032859932476,171372.909366,-1175.37172434,5.83495352936e-08,4.00193905597e-10
-0.25,0.0341454887383,171369.478345,-1221.20722202,5.83504851623e-08,4.15815199864e-10
-0.25,0.0354813389234,171365.774678,-1268.81792953,5.83515105886e-08,4.32043346983e-10
-0.25,0.0368694506452,171361.776789,-1318.27111336,5.83526175639e-08,4.48901566993e-10
-0.25,0.0383118684956,171357.461411,-1369.63640727,5.83538125516e-08,4.6641392511e-10
-0.25,0.0398107170553,171352.803456,-1422.98587316,5.83551025238e-08,4.84605357153e-10
-0.25,0.0413682040239,171347.775872,-1478.39406039,5.83564950008e-08,5.03501695048e-10
-0.25,0.0429866234708,171342.349496,-1535.93806336,5.83579980932e-08,5.23129692317e-10
-0.25,0.0446683592151,171336.492892,-1595.69757647,5.83596205478e-08,5.43517049404e-10
-0.25,0.0464158883361,171330.172177,-1657.75494607,5.83613717962e-08,5.6469243873e-10
-0.25,0.0482317848224,171323.350838,-1722.19521851,5.83632620076e-08,5.8668552929e-10
-0.25,0.0501187233627,171315.989535,-1789.10618355,5.8365302145e-08,6.09527010619e-10
-0.25,0.052079483286,171308.045884,-1858.57841212,5.83675040258e-08,6.33248615919e-10
-0.25,0.0541169526546,171299.474238,-1930.70528751,5.83698803865e-08,6.57883144098e-10
-0.25,0.056234132519,171290.225437,-2005.58302863,5.83724449525e-08,6.83464480462e-10
-0.25,0.0584341413374,171280.246557,-2083.31070421,5.83752125119e-08,7.10027615741e-10
-0.25,0.0607202195691,171269.48063,-2163.99023629,5.83781989955e-08,7.37608663109e-10
-0.25,0.063095734448,171257.86635,-2247.72639149,5.8381421562e-08,7.66244872804e-10
-0.25,0.0655641849418,171245.337765,-2334.62675814,5.83848986884e-08,7.95974643911e-10
-0.25,0.0681292069058,171231.823944,-2424.80170718,5.83886502674e-08,8.26837532807e-10
-0.25,0.0707945784384,171217.248623,-2518.3643347,5.83926977107e-08,8.58874257726e-10
-0.25,0.073564225446,171201.529835,-2615.43038346,5.83970640589e-08,8.9212669882e-10
-0.25,0.0764422274253,171184.579514,-2716.11814069,5.8401774099e-08,9.26637893022e-10
-0.25,0.0794328234724,171166.303084,-2820.54830907,5.84068544887e-08,9.62452022963e-10
-0.25,0.0825404185268,171146.599016,-2928.84384754,5.8412333888e-08,9.9961439907e-10
-0.25,0.0857695898591,171125.358373,-3041.12977825,5.84182430994e-08,1.03817143392e-09
-0.25,0.0891250938134,171102.464328,-3157.53295561,5.84246152154e-08,1.07817060781e-09
-0.25,0.0926118728129,171077.791659,-3278.18179305,5.84314857742e-08,1.11966042435e-09
