step,time_ps,T_K,PE_kJmol,d_NC_A,theta_deg,hills,W_last_kcal,V_kJmol,sps
187500,375.00,309.70,-21067.21,1.4488,93.941,375,0.1147,8.0122,428.9
190000,380.00,295.39,-21032.74,1.3387,57.721,380,0.1958,5.2272,429.0
192500,385.00,307.25,-21138.48,1.4870,62.209,385,0.0895,9.3209,428.8
195000,390.00,299.49,-21079.35,1.5476,50.859,390,0.2872,3.2627,428.7
197500,395.00,302.52,-21064.60,1.3974,41.626,395,0.3098,2.8789,428.7
200000,400.00,291.85,-21064.45,1.5203,44.203,400,0.2944,3.1371,428.7
202500,405.00,292.58,-21065.48,1.5036,50.750,405,0.1665,6.0665,428.6
205000,410.00,303.31,-20879.52,1.3752,47.307,410,0.1966,5.2055,428.6
207500,415.00,295.46,-20970.58,1.5336,52.352,415,0.1995,5.1294,428.7
210000,420.00,288.31,-20910.49,1.5407,78.823,420,0.1405,6.9500,428.8
212500,425.00,307.01,-20978.83,1.3671,66.918,425,0.0825,9.7500,428.9
215000,430.00,298.97,-21016.42,1.3615,60.989,430,0.1024,8.6091,428.8
217500,435.00,293.51,-20931.40,1.3564,40.485,435,0.3327,2.5179,428.9
220000,440.00,313.65,-21030.34,1.5333,58.324,440,0.1412,6.9247,428.9
222500,445.00,307.49,-20883.26,1.4446,50.802,445,0.0912,9.2217,428.9
225000,450.00,302.23,-21097.10,1.3752,46.500,450,0.1662,6.0751,429.2
227500,455.00,309.71,-20940.49,1.4233,38.874,455,0.2062,4.9581,429.8
230000,460.00,305.56,-21232.45,1.3257,61.746,460,0.1793,5.6819,430.4
232500,465.00,294.75,-21070.27,1.3598,56.829,465,0.1137,8.0601,431.1
235000,470.00,309.16,-20859.94,1.5732,54.824,470,0.2426,4.1234,431.7
237500,475.00,298.91,-20955.35,1.3491,55.255,475,0.1434,6.8432,432.0
240000,480.00,302.93,-21208.35,1.5130,67.258,480,0.0846,9.6190,432.1
242500,485.00,291.53,-21072.46,1.4571,56.493,485,0.0699,10.6254,432.0
245000,490.00,286.75,-21341.40,1.4051,76.032,490,0.0527,12.1202,432.0
247500,495.00,295.45,-21042.02,1.3240,83.374,493,0.1399,6.9756,432.0
250000,500.00,296.11,-21082.24,1.5688,52.325,498,0.2172,4.6911,431.9
252500,505.00,308.40,-21004.37,1.4816,69.977,503,0.0604,11.3969,431.8
255000,510.00,293.56,-20927.84,1.4058,62.586,507,0.0538,12.0191,431.8
257500,515.00,303.38,-20974.68,1.5295,60.837,511,0.0995,8.7601,431.7
260000,520.00,293.25,-21013.80,1.4746,52.982,512,0.0839,9.5773,431.7
262500,525.00,287.88,-21098.48,1.5255,77.168,512,0.0987,8.7074,431.7
265000,530.00,313.87,-21180.24,1.4098,68.357,512,0.0485,12.5161,431.6
267500,535.00,295.65,-20897.46,1.3593,99.925,512,0.1739,5.6672,431.5
270000,540.00,298.35,-21010.15,1.3527,71.909,512,0.0834,9.6122,431.7
272500,545.00,305.29,-21015.74,1.4156,88.595,512,0.0717,10.4235,431.8
275000,550.00,300.92,-21121.60,1.4059,93.310,512,0.0873,9.3665,432.3
277500,555.00,300.96,-21349.94,1.3995,95.578,512,0.0992,8.6795,432.8
280000,560.00,307.33,-20871.94,1.3780,77.875,512,0.0577,11.5874,433.4
282500,565.00,310.66,-20973.04,1.3199,97.784,512,0.2482,3.7588,433.4
285000,570.00,300.92,-20914.49,1.4000,101.364,512,0.1536,6.3333,433.4
287500,575.00,299.77,-20972.37,1.3411,95.916,512,0.1711,5.7527,433.4
290000,580.00,308.94,-20932.18,1.3988,94.714,512,0.0949,8.9162,433.4
292500,585.00,298.59,-21052.85,1.4053,107.439,512,0.3070,2.6163,433.3
295000,590.00,300.45,-21276.95,1.3607,106.430,512,0.3063,2.6287,433.2
297500,595.00,296.45,-21176.60,1.4467,101.948,512,0.2043,4.8013,433.2
