step,time_ps,T_K,PE_kJmol,d_NC_A,theta_deg,hills,W_last_kcal,V_kJmol,sps
385000,770.00,372.88,-697.72,1.4494,99.468,385,0.2745,3.4923,787.9
390000,780.00,246.90,-695.04,1.3437,87.257,390,0.1675,6.0351,787.7
395000,790.00,173.43,-686.25,1.5138,84.932,395,0.1331,7.2363,787.5
400000,800.00,300.69,-689.61,1.3473,56.786,400,0.1468,6.7227,787.3
405000,810.00,276.23,-664.77,1.5637,71.629,405,0.1667,6.0597,787.1
410000,820.00,269.06,-674.91,1.3644,40.800,410,0.3194,2.7245,787.0
415000,830.00,319.93,-666.86,1.3410,92.775,415,0.2089,4.8924,786.8
420000,840.00,307.27,-676.03,1.5401,78.092,420,0.1387,7.0181,786.5
425000,850.00,316.19,-668.89,1.5149,50.586,425,0.1483,6.6685,786.5
430000,860.00,172.04,-690.95,1.3959,98.979,430,0.2094,4.8788,786.3
435000,870.00,278.93,-681.72,1.4557,66.449,435,0.0573,11.6765,786.2
440000,880.00,333.66,-684.92,1.5799,73.399,440,0.1990,5.1410,786.5
445000,890.00,293.14,-696.41,1.4655,48.402,445,0.1102,8.2237,787.5
450000,900.00,351.77,-679.25,1.3374,64.220,450,0.1186,7.8374,788.7
455000,910.00,273.99,-673.98,1.3659,81.337,455,0.0853,9.5764,789.8
460000,920.00,237.72,-692.63,1.3579,84.577,460,0.1028,8.5924,791.0
465000,930.00,296.16,-681.37,1.3938,70.184,465,0.0526,12.1331,791.2
470000,940.00,230.22,-681.32,1.3417,78.785,470,0.1097,8.2504,791.3
475000,950.00,331.42,-654.54,1.4985,45.290,475,0.1503,6.6010,791.3
480000,960.00,258.87,-678.25,1.3363,61.522,480,0.1280,7.4382,791.4
485000,970.00,297.81,-668.79,1.5142,73.230,484,0.0826,9.7407,791.2
490000,980.00,305.25,-683.25,1.4036,67.005,488,0.0491,12.4465,791.0
495000,990.00,371.81,-678.41,1.5603,79.239,493,0.1606,6.2551,790.9
500000,1000.00,325.45,-683.88,1.4575,74.802,498,0.0535,12.0416,790.7
505000,1010.00,355.83,-686.45,1.5226,62.548,502,0.0867,9.4896,790.4
510000,1020.00,363.42,-683.79,1.3848,42.131,507,0.2017,5.0724,790.1
515000,1030.00,325.05,-664.90,1.3579,78.339,511,0.0779,10.0541,789.8
520000,1040.00,294.69,-687.54,1.4319,97.774,512,0.1433,6.7048,789.7
525000,1050.00,337.43,-683.64,1.6065,67.505,512,0.2509,3.7004,790.5
530000,1060.00,307.86,-686.52,1.4534,61.207,512,0.0557,11.7716,791.4
535000,1070.00,309.01,-678.50,1.4140,43.072,512,0.1450,6.6427,792.2
540000,1080.00,384.68,-683.65,1.3356,72.621,512,0.1049,8.3784,793.1
545000,1090.00,346.13,-681.07,1.5407,62.846,512,0.1039,8.4325,793.2
550000,1100.00,272.53,-680.54,1.5136,63.408,512,0.0773,10.0178,793.0
555000,1110.00,268.02,-689.32,1.4088,62.055,512,0.0528,12.0572,792.8
560000,1120.00,368.98,-669.69,1.4870,72.839,512,0.0635,11.0726,792.7
565000,1130.00,291.93,-685.24,1.4258,86.777,512,0.0675,10.7418,792.4
570000,1140.00,386.33,-681.48,1.6143,67.802,512,0.2760,3.1884,792.2
575000,1150.00,282.16,-673.59,1.3990,76.336,512,0.0502,12.3350,792.0
580000,1160.00,322.04,-685.26,1.4551,104.404,512,0.3368,2.1207,791.7
585000,1170.00,282.18,-694.09,1.4623,73.990,512,0.0543,11.9117,791.4
590000,1180.00,375.31,-684.02,1.3637,72.917,512,0.0659,10.8757,791.1
595000,1190.00,305.22,-668.19,1.5353,62.600,512,0.0973,8.7801,790.8
600000,1200.00,280.64,-696.96,1.5302,81.076,512,0.1086,8.1920,790.6
605000,1210.00,254.06,-683.19,1.5305,69.610,512,0.0934,9.0024,790.2
610000,1220.00,313.68,-676.45,1.5174,66.948,512,0.0805,9.7987,789.9
615000,1230.00,376.27,-667.42,1.3796,99.855,512,0.1940,5.0800,789.7
620000,1240.00,432.19,-675.24,1.3976,73.704,512,0.0496,12.3954,789.5
625000,1250.00,272.06,-669.40,1.3895,106.186,512,0.3482,1.9421,789.4
630000,1260.00,322.51,-667.53,1.4503,60.865,512,0.0557,11.7712,789.0
635000,1270.00,294.64,-681.87,1.5121,73.343,512,0.0782,9.9532,788.8
640000,1280.00,343.85,-682.21,1.4867,66.125,512,0.0622,11.1819,788.4
645000,1290.00,315.05,-656.82,1.4293,74.824,512,0.0482,12.5466,788.2
650000,1300.00,292.26,-675.93,1.3680,84.221,512,0.0820,9.7002,788.0
655000,1310.00,322.43,-684.60,1.4662,68.977,512,0.0555,11.7971,787.7
660000,1320.00,320.78,-682.99,1.4146,71.667,512,0.0476,12.6175,787.5
665000,1330.00,251.40,-666.96,1.3737,88.159,512,0.0902,9.1899,787.3
670000,1340.00,249.34,-695.74,1.4806,75.133,512,0.0605,11.3358,787.2
675000,1350.00,247.71,-692.23,1.3414,81.836,512,0.1097,8.1364,787.1
680000,1360.00,368.12,-676.55,1.4476,71.886,512,0.0511,12.2357,787.6
685000,1370.00,218.69,-688.28,1.3400,86.168,512,0.1326,7.1234,788.3
690000,1380.00,366.11,-682.85,1.3958,56.870,512,0.0681,10.6967,789.0
695000,1390.00,432.14,-675.40,1.4465,71.964,512,0.0509,12.2591,789.7
700000,1400.00,396.34,-668.14,1.4815,65.826,512,0.0601,11.3702,790.0
705000,1410.00,262.22,-676.17,1.4321,104.026,512,0.2963,2.8078,789.9
710000,1420.00,344.38,-696.40,1.4297,69.756,512,0.0482,12.5540,789.8
715000,1430.00,239.09,-680.77,1.4250,67.922,512,0.0476,12.6155,789.7
720000,1440.00,277.56,-669.68,1.4839,79.204,512,0.0646,10.9799,789.5
725000,1450.00,364.23,-673.92,1.4873,77.922,512,0.0647,10.9731,789.2
730000,1460.00,300.64,-675.46,1.3552,82.098,512,0.0891,9.2528,789.0
735000,1470.00,392.09,-682.26,1.4797,58.883,512,0.0658,10.8775,788.8
740000,1480.00,268.08,-684.40,1.4727,73.547,512,0.0576,11.5912,788.6
745000,1490.00,279.25,-682.10,1.4357,36.642,512,0.2613,3.4828,788.4
750000,1500.00,328.02,-652.93,1.4679,44.096,512,0.1309,7.1924,788.3
755000,1510.00,444.69,-665.27,1.4751,84.296,512,0.0741,10.2401,788.2
760000,1520.00,251.92,-678.33,1.4356,90.258,512,0.0814,9.7428,788.7
765000,1530.00,248.93,-678.56,1.4827,67.814,512,0.0609,11.2948,789.3
770000,1540.00,313.25,-663.39,1.5681,60.311,512,0.1519,6.3921,790.0
775000,1550.00,272.19,-676.77,1.5640,86.691,512,0.2247,4.2920,790.6
780000,1560.00,395.34,-688.71,1.4261,69.916,512,0.0479,12.5898,790.8
785000,1570.00,267.64,-647.39,1.4000,71.183,512,0.0485,12.5128,790.7
790000,1580.00,282.39,-656.12,1.4937,63.062,512,0.0659,10.8762,790.6
795000,1590.00,282.78,-671.85,1.5042,65.236,512,0.0709,10.4789,790.5
800000,1600.00,206.43,-689.04,1.4437,71.303,512,0.0504,12.3152,790.3
