episode,kind,return,steps,peak_dT,yield,alpha,elapsed_s
1,cav_imp,262.87902017114686,320,42.20369731209399,0.7635213531493064,1.0,12.034570217132568
2,cool_foul,285.87744942398376,320,34.980784665464796,0.8398562840067818,1.0,25.3970844745636
3,foul,281.1325749983988,320,39.039483541344,0.8198123769439827,1.0,39.095221757888794
4,cav,286.7543302552603,320,36.2309556561583,0.8393466835298451,0.9957045912742615,53.126885175704956
5,none,292.414981796083,320,11.669185100833374,0.9167780108797889,0.9770508408546448,62.456414461135864
6,cool_foul,290.5948823741387,320,12.168521384449889,0.9168438599768766,0.9605510830879211,71.97406888008118
7,cool,290.4302265159533,320,33.9577842632105,0.92064077057075,0.944761335849762,84.96434020996094
8,cool,292.0629912115416,320,42.74522924442215,0.9121361576822168,0.9294177293777466,103.31736993789673
9,cool_foul,292.87423269512936,320,10.694817905155219,0.9347614240238472,0.9144286513328552,112.86171627044678
10,cav_imp,282.5485520550475,320,10.261778227791353,0.9055088857487756,0.8997528553009033,121.77651333808899
11,foul,295.5900834281987,320,10.882506517586876,0.9231051955215498,0.8853539228439331,129.9606897830963
12,imp,293.0522425840099,320,12.162556584856702,0.9146475550997314,0.8712201714515686,138.2936851978302
13,cool,295.5960517705522,320,30.046377633229667,0.9267660096393584,0.8573415279388428,150.92568063735962
14,cav,294.25124448995456,320,10.286120973074446,0.9221785713592033,0.8436999320983887,160.71844005584717
15,cav_imp,293.34522603719853,320,11.30021252172429,0.9024136519808781,0.8302916288375854,170.09692287445068
16,foul,292.4429210269069,320,9.611781625189167,0.9275564507506829,0.8171023726463318,179.98434042930603
17,cav,288.7089797557715,320,13.160123550342178,0.9285814473218278,0.8041309714317322,189.3749611377716
18,none,294.7354391579397,320,16.879815087597024,0.9230067337368837,0.7913845777511597,198.87262845039368
19,all,288.70877007512155,320,11.16147291274359,0.9078250913609686,0.7788456082344055,208.08816766738892
20,cool_foul,288.34898797344437,320,14.030672876801248,0.9259640385125574,0.7665132284164429,217.99237751960754
21,cool,291.46520712712504,320,34.21209310067536,0.9189221551204559,0.7543962001800537,230.94820475578308
22,all,292.94685191822816,320,11.811928513111525,0.9017924674230312,0.7424649000167847,239.93494200706482
23,cav_imp,288.3522828825556,320,10.994044369516246,0.9050280076887485,0.7307159900665283,249.53994798660278
24,foul,292.06366828463683,320,10.945738789546397,0.9181695419189501,0.719157874584198,259.8150293827057
25,cav_imp,291.35969525066855,320,9.764502616276559,0.9093379890754434,0.707780659198761,270.185916185379
26,cav_imp,291.7095343432725,320,12.200560712473532,0.9088993436160272,0.6966380476951599,280.6996817588806
27,cav_imp,286.7233825037642,320,12.275195465649688,0.8986603376123607,0.6856651902198792,290.9024124145508
28,cool_foul,296.12104113691066,320,11.783847336714473,0.919040916544477,0.6748594045639038,301.1368715763092
29,cool,270.0840218716487,320,48.50439782201954,0.9201392684133091,0.6642453670501709,323.92330288887024
30,cav_imp,287.59502898815555,320,13.652005763109344,0.885445108214251,0.6537982225418091,334.31272554397583
31,foul,292.9788967050476,320,11.184279518397148,0.9183813666718197,0.6435070633888245,345.0213041305542
32,cool,297.52196814127706,320,30.32048760510736,0.9275301523270543,0.6333886981010437,358.22340416908264
33,all,289.43088601257676,320,9.754411063109728,0.9109791172467275,0.6234332323074341,367.9967315196991
34,imp,285.8220670212436,320,10.496405972682055,0.8937477812555167,0.6136761903762817,378.219845533371
35,imp,288.61346162387184,320,12.182867281564313,0.9011941028471218,0.6040400266647339,388.3177101612091
36,none,294.74266143170297,320,11.222440697819707,0.9190244214068679,0.5945755839347839,399.89575600624084
37,cool_foul,288.31797765242356,320,10.299179708287681,0.9161725529948314,0.585237979888916,411.1525926589966
38,foul,290.2671949840452,320,12.14618591491427,0.9197044854739772,0.5760682225227356,422.00007605552673
39,cool_foul,289.3848951615351,320,13.851380124988282,0.9173451009183334,0.5670778155326843,432.770795583725
40,none,289.87389215668054,320,10.454773543813644,0.9196180696873748,0.5581939816474915,443.5509901046753
41,cav,286.4969462840393,320,10.131821084393835,0.9197519783822756,0.5494457483291626,454.4587640762329
42,foul,291.7976450068396,320,11.541793253252479,0.9135957640798129,0.5408146381378174,465.4784290790558
43,all,286.01451618666175,320,11.678910936463126,0.9027092026365536,0.5323325395584106,476.3293123245239
44,none,292.75654961453523,320,12.52260781809332,0.9258791016620714,0.5240106582641602,487.76624298095703
45,cav,291.0042364305131,320,9.912947789077236,0.9186342146980349,0.5158326625823975,498.8806071281433
