time_s,FID,Hahn,CPMG1,CPMG4,CPMG16,CPMG64,UDD1,UDD4,UDD16,UDD64
0,1,1,1,1,1,1,1,1,1,1
1e-08,0.999999492737,0.9999995,0.9999995,0.9999995,0.9999995,0.9999995,0.9999995,0.9999995,0.9999995,0.9999995
1.13505568075e-08,0.999999423115,0.999999432472,0.999999432472,0.999999432472,0.999999432472,0.999999432472,0.999999432472,0.999999432472,0.999999432472,0.999999432472
1.2883513984e-08,0.999999343769,0.999999355825,0.999999355825,0.999999355824,0.999999355824,0.999999355824,0.999999355825,0.999999355824,0.999999355824,0.999999355824
1.46235057356e-08,0.999999253294,0.999999268825,0.999999268825,0.999999268825,0.999999268825,0.999999268825,0.999999268825,0.999999268825,0.999999268825,0.999999268825
1.65984932576e-08,0.999999150066,0.999999170076,0.999999170076,0.999999170076,0.999999170076,0.999999170076,0.999999170076,0.999999170076,0.999999170076,0.999999170076
1.8840214064e-08,0.99999903221,0.99999905799,0.99999905799,0.99999905799,0.99999905799,0.99999905799,0.99999905799,0.99999905799,0.99999905799,0.99999905799
2.13846919998e-08,0.999998897553,0.999998930766,0.999998930766,0.999998930766,0.999998930766,0.999998930766,0.999998930766,0.999998930766,0.999998930766,0.999998930766
2.42728161355e-08,0.99999874357,0.99999878636,0.99999878636,0.99999878636,0.99999878636,0.99999878636,0.99999878636,0.99999878636,0.99999878636,0.99999878636
2.75509978424e-08,0.999998567322,0.999998622451,0.999998622451,0.999998622451,0.999998622451,0.999998622451,0.999998622451,0.999998622451,0.999998622451,0.999998622451
3.12719166113e-08,0.99999836538,0.999998436405,0.999998436405,0.999998436405,0.999998436405,0.999998436405,0.999998436405,0.999998436405,0.999998436405,0.999998436405
3.54953665976e-08,0.999998133727,0.999998225233,0.999998225233,0.999998225233,0.999998225233,0.999998225233,0.999998225233,0.999998225233,0.999998225233,0.999998225233
4.02892174968e-08,0.999997867649,0.999997985541,0.999997985541,0.999997985541,0.999997985541,0.999997985541,0.999997985541,0.999997985541,0.999997985541,0.999997985541
4.57305051927e-08,0.999997561591,0.999997713477,0.999997713477,0.999997713477,0.999997713477,0.999997713477,0.999997713477,0.999997713477,0.999997713477,0.999997713477
5.19066697026e-08,0.999997208987,0.99999740467,0.99999740467,0.99999740467,0.99999740467,0.99999740467,0.99999740467,0.99999740467,0.99999740467,0.99999740467
5.89169603147e-08,0.999996802049,0.999997054156,0.999997054156,0.999997054156,0.999997054156,0.999997054156,0.999997054156,0.999997054156,0.999997054156,0.999997054156
