time_s,readout_probability
0,1
2e-07,0.995728870672
4e-07,0.982999684903
6e-07,0.962033419577
8e-07,0.933193660823
1e-06,0.896979924247
1.2e-06,0.854018540658
1.4e-06,0.80505132393
1.6e-06,0.75092227697
1.8e-06,0.692562618593
2e-06,0.630974429407
2.2e-06,0.567213220852
2.4e-06,0.502369731206
2.6e-06,0.437551248602
2.8e-06,0.373862756495
3e-06,0.312388193034
3.2e-06,0.254172113111
3.4e-06,0.200202039581
3.6e-06,0.151391786939
3.8e-06,0.108566034334
4e-06,0.0724464131538
4.2e-06,0.0436393557
4.4e-06,0.0226259248461
4.6e-06,0.00975380988248
4.8e-06,0.00523163221089
5e-06,0.00912565790075
5.2e-06,0.0213589648501
5.4e-06,0.0417130629598
5.6e-06,0.0698319186913
5.8e-06,0.105228292454
6e-06,0.147292259551
6.2e-06,0.195301753211
6.4e-06,0.248434941209
6.6e-06,0.305784224888
6.8e-06,0.366371630046
7e-06,0.429165342183
7.2e-06,0.493097123445
7.4e-06,0.557080334962
7.6e-06,0.620028276617
7.8e-06,0.680872547108
8e-06,0.738581121653
8.2e-06,0.79217584368
8.4e-06,0.840749031433
8.6e-06,0.883478911155
8.8e-06,0.919643605646
9e-06,0.948633430461
9.2e-06,0.969961279171
9.4e-06,0.983270913216
9.6e-06,0.988343009804
9.8e-06,0.985098862023
1e-05,0.973601667597
1.02e-05,0.954055385625
1.04e-05,0.926801183152
1.06e-05,0.892311534845
1.08e-05,0.851182078666
1.1e-05,0.804121367825
1.12e-05,0.751938693915
1.14e-05,0.695530187806
1.16e-05,0.635863433238
1.18e-05,0.573960852916
1.2e-05,0.510882148108
1.22e-05,0.447706089998
1.24e-05,0.385511974064
1.26e-05,0.32536105719
1.28e-05,0.268278300616
1.3e-05,0.215234739677
1.32e-05,0.167130793086
1.34e-05,0.1247808099
1.36e-05,0.0888991310363
1.38e-05,0.0600879144897
1.4e-05,0.0388269396105
1.42e-05,0.0254655670226
1.44e-05,0.020216988171
1.46e-05,0.0231548537462
1.48e-05,0.0342123249925
1.5e-05,0.0531835477746
1.52e-05,0.0797275075373
1.54e-05,0.113374184782
1.56e-05,0.153532895717
1.58e-05,0.199502671067
1.6e-05,0.250484497123
1.62e-05,0.305595216103
1.64e-05,0.363882857211
1.66e-05,0.424343144988
1.68e-05,0.485936907953
1.7e-05,0.547608088829
1.72e-05,0.608302039463
1.74e-05,0.666983770456
