nucleus,x_angstrom,y_angstrom,z_angstrom,beta_x_t,beta_y_t,beta_z_t
0,-3.34880251524,1.01576458194,-8.00686230457,4.45450832845e-06,-1.35114918524e-06,6.42221931938e-06
1,5.80965638152,-2.65816938072,-2.83931276419,-8.35795963511e-06,3.82412847308e-06,-4.17077669989e-06
2,-3.90387062344,-3.2949188184,10.5023105267,-1.59712754316e-06,-1.34799692534e-06,2.52556456582e-06
3,-3.7442404262,-4.9907236247,9.39542797692,-1.63159943736e-06,-2.17477002842e-06,2.12764028597e-06
4,-4.37612807579,5.94242772691,-1.4142638766,2.18658395744e-06,-2.96920403399e-06,-5.94284722792e-06
5,-2.26710916335,3.11900111397,-1.10336032053,2.04018866319e-05,-2.80681266525e-05,-3.38018322363e-05
6,3.1597587379,8.98254805223,-3.51102451746,-8.72123319863e-07,-2.47926828532e-06,-1.72987936593e-06
7,-8.28256654918,1.17825101822,-7.87528899765,2.75725437909e-06,-3.92238053309e-07,7.61604044144e-07
8,-3.6152897154,9.54918867852,5.89236731874,-7.9182705023e-07,2.09147993623e-06,-4.31391651619e-07
9,-5.98919239279,4.62990203132,-3.51028154144,4.39845263148e-06,-3.400192119e-06,-2.27779561434e-06
10,5.24535404362,9.07869808176,2.11683694459,6.71101690568e-07,1.16154783455e-06,-2.0343073986e-06
11,-3.3291684717,5.82257024886,2.39441322598,-3.68270979337e-06,6.44089857884e-06,-5.16185448698e-06
12,5.51912421215,-2.06222734419,6.46944914828,5.89096661023e-06,-2.2011666997e-06,2.69445544242e-06
13,10.1713820377,-4.52775872033,-0.221439554489,-1.11321737348e-07,4.95545212217e-08,-2.04057715397e-06
14,2.37180087468,10.763711801,-4.64269089387,-3.80873156145e-07,-1.72847937161e-06,-9.03611758685e-07
15,-4.16818092114,-4.02405774671,-5.94751202616,5.31699285665e-06,5.13314721669e-06,2.65803647365e-06
16,10.5862359803,-4.85665158456,2.10459653761,8.11876997773e-07,-3.72465125002e-07,-1.54016363831e-06
17,1.06196615772,-10.8968150147,-4.37402050771,-1.7258718704e-07,1.77091391984e-06,-1.01066801497e-06
18,-4.5835309005,8.80568312509,3.57780974925,-1.06084913148e-06,2.03805788553e-06,-1.57298498236e-06
19,-4.57601233871,9.03059605197,-1.2447483639,4.3663161152e-07,-8.61676808388e-07,-2.53968530802e-06
20,-5.95900030828,0.475167581432,3.85758633522,-1.06737558984e-05,8.51119736976e-07,-9.24565277936e-07
21,-9.14820152296,-4.92379012502,-1.45312391756,8.85668294457e-07,4.76688755855e-07,-2.30320599361e-06
22,3.20061842941,2.77861399796,-9.24796746767,-2.29930246152e-06,-1.99613735471e-06,3.96394591328e-06
23,-4.77736434773,0.437115754552,7.57918561922,-5.27764930083e-06,4.82890457683e-07,4.46375328192e-06
24,1.8910715287,-8.02080936165,-7.89801643791,-6.5240986327e-07,2.76713760401e-06,8.27726543865e-07
25,-0.23775519106,7.94537521652,-2.99216554386,1.36224126772e-07,-4.55237926003e-06,-2.89013326929e-06
26,1.64365463808,-0.302492222093,4.29702252876,2.86915963185e-05,-5.28029704337e-06,4.62236365342e-05
27,4.15031203868,-2.89975776714,-8.27327519055,-3.38503616987e-06,2.36507154984e-06,3.65615640744e-06
28,6.6152167131,8.1814076596,3.98519963643,1.237806886e-06,1.53086484955e-06,-1.23536556642e-06
29,6.75867849666,1.03194732506,7.89219911586,3.63695144546e-06,5.55307123631e-07,1.76887715544e-06
