B_t,total_echo_time_s,normalized_quadrature
0.0001,0,1
0.0001,2.30789003895e-07,0.99998845917
0.0001,4.6157800779e-07,0.999976898249
0.0001,6.92367011685e-07,0.999965265413
0.0001,9.23156015579e-07,0.999953474865
0.0001,1.15394501947e-06,0.999941407682
0.0001,1.38473402337e-06,0.999928913001
0.0001,1.61552302726e-06,0.999915809514
0.0001,1.84631203116e-06,0.999901887267
0.0001,2.07710103505e-06,0.999886909745
0.0001,2.30789003895e-06,0.999870616214
0.0001,2.53867904284e-06,0.999852724316
0.0001,2.76946804674e-06,0.999832932862
0.0001,3.00025705063e-06,0.999810924819
0.0001,3.23104605453e-06,0.999786370458
0.0001,3.46183505842e-06,0.999758930618
0.0001,3.69262406232e-06,0.999728260061
0.0001,3.92341306621e-06,0.999694010894
0.0001,4.15420207011e-06,0.999655836001
0.0001,4.384991074e-06,0.999613392471
0.0001,4.6157800779e-06,0.999566344971
0.0001,4.84656908179e-06,0.999514369041
0.0001,5.07735808569e-06,0.999457154264
0.0001,5.30814708958e-06,0.999394407288
0.0001,5.53893609348e-06,0.999325854662
0.0001,5.76972509737e-06,0.999251245458
0.0001,6.00051410127e-06,0.999170353641
0.0001,6.23130310516e-06,0.999082980178
0.0001,6.46209210906e-06,0.998988954837
0.0001,6.69288111295e-06,0.998888137683
0.0001,6.92367011685e-06,0.998780420221
0.0001,7.15445912074e-06,0.998665726199
0.0001,7.38524812464e-06,0.998544012032
0.0001,7.61603712853e-06,0.998415266864
0.0001,7.84682613243e-06,0.998279512238
0.0001,8.07761513632e-06,0.998136801388
0.0001,8.30840414022e-06,0.997987218151
0.0001,8.53919314411e-06,0.997830875495
0.0001,8.76998214801e-06,0.997667913691
0.0001,9.0007711519e-06,0.997498498118
0.0001,9.23156015579e-06,0.997322816734
0.0001,9.46234915969e-06,0.99714107723
0.0001,9.69313816358e-06,0.99695350388
0.0001,9.92392716748e-06,0.996760334121
0.0001,1.01547161714e-05,0.996561814889
0.0001,1.03855051753e-05,0.996358198742
0.0001,1.06162941792e-05,0.996149739801
0.0001,1.08470831831e-05,0.995936689548
0.0001,1.1077872187e-05,0.995719292513
0.0001,1.13086611908e-05,0.99549778189
0.0001,1.15394501947e-05,0.995272375122
0.0001,1.17702391986e-05,0.995043269499
0.0001,1.20010282025e-05,0.994810637799
0.0001,1.22318172064e-05,0.994574624017
0.0001,1.24626062103e-05,0.994335339228
0.0001,1.26933952142e-05,0.994092857617
0.0001,1.29241842181e-05,0.993847212708
0.0001,1.3154973222e-05,0.993598393848
0.0001,1.33857622259e-05,0.993346342955
0.0001,1.36165512298e-05,0.993090951589
0.0001,1.38473402337e-05,0.992832058354
0.0001,1.40781292376e-05,0.992569446678
0.0001,1.43089182415e-05,0.992302842983
0.0001,1.45397072454e-05,0.99203191527
0.0001,1.47704962493e-05,0.991756272144
0.0001,1.50012852532e-05,0.991475462286
0.0001,1.52320742571e-05,0.991188974388
0.0001,1.5462863261e-05,0.990896237561
