omega_t,CPMG1,CPMG4,CPMG16,CPMG64,UDD1,UDD4,UDD16,UDD64
0.01,6.24997395839e-10,6.1034727096e-17,2.38416608989e-19,9.31314720549e-22,6.24997395839e-10,2.64930646297e-28,4.43782407435e-31,1.08333559372e-34
0.0101157945426,6.5445255212e-10,6.53998776567e-17,2.55467964101e-19,9.97921019149e-22,6.5445255212e-10,2.97326268521e-28,3.00926553811e-34,4.94963995708e-32
0.0102329299228,6.85295882604e-10,7.00772197551e-17,2.7373878621e-19,1.06929201724e-21,6.85295882604e-10,3.33670071204e-28,4.93158436385e-32,1.97648560543e-31
0.0103514216668,7.17592809619e-10,7.50890809036e-17,2.93316347423e-19,1.14576787655e-21,7.17592809619e-10,3.74387889495e-28,0,1.97323559865e-31
0.0104712854805,7.51411838691e-10,8.04593856849e-17,3.14294057965e-19,1.22771115032e-21,7.51411838691e-10,4.19912094667e-28,1.20370621524e-35,1.23270349797e-30
0.0105925372518,7.86824703892e-10,8.62137695639e-17,3.36772073151e-19,1.31551587929e-21,7.86824703892e-10,4.71150257131e-28,4.93158436385e-32,4.97371408138e-32
0.0107151930524,8.23906520045e-10,9.23797014562e-17,3.6085770302e-19,1.40960050856e-21,8.23906520045e-10,5.28682515135e-28,4.81482486097e-35,4.96047331301e-32
0.0108392691402,8.6273594191e-10,9.89866149339e-17,3.86665915395e-19,1.51041390037e-21,8.6273594191e-10,5.93022249381e-28,1.97215226305e-31,4.44167593424e-31
0.0109647819614,9.03395331196e-10,1.06066048484e-16,4.14319891642e-19,1.61843766527e-21,9.03395331196e-10,6.65806801246e-28,4.93158436385e-32,1.97516152859e-31
0.0110917481526,9.45970931093e-10,1.13651796302e-16,4.43951646922e-19,1.73418520563e-21,9.45970931093e-10,7.46865148152e-28,1.92592994439e-34,3.00926553811e-34
0.011220184543,9.90553049307e-10,1.21780069129e-16,4.75702659959e-19,1.85821345321e-21,9.90553049307e-10,8.38097689435e-28,1.97227263367e-31,4.96047331301e-32
0.0113501081567,1.03723624955e-09,1.30489668281e-16,5.09724460075e-19,1.99110948889e-21,1.03723624955e-09,9.40217861769e-28,1.97227263367e-31,4.98936226218e-32
0.011481536215,1.08611955218e-09,1.39822169121e-16,5.46179460618e-19,2.13351325807e-21,1.08611955218e-09,1.05483685e-27,4.93158436385e-32,1.23289609096e-30
0.0116144861384,1.13730664418e-09,1.49822121132e-16,5.85241710924e-19,2.28609896936e-21,1.13730664418e-09,1.18352739258e-27,1.20370621524e-35,4.81482486097e-35
