time_s,FID_real,FID_imag,FID_abs,Hahn_real,Hahn_imag,Hahn_abs,CPMG1_real,CPMG1_imag,CPMG1_abs,CPMG4_real,CPMG4_imag,CPMG4_abs,CPMG16_real,CPMG16_imag,CPMG16_abs,CPMG64_real,CPMG64_imag,CPMG64_abs,UDD1_real,UDD1_imag,UDD1_abs,UDD4_real,UDD4_imag,UDD4_abs,UDD16_real,UDD16_imag,UDD16_abs,UDD64_real,UDD64_imag,UDD64_abs
0,1,-2.60293873204e-47,1,1,1.88178254559e-46,1,1,1.88178254559e-46,1,1,-4.31662237817e-46,1,1,-1.237998389e-44,1,1,-5.48966601273e-44,1,1,1.88178254559e-46,1,1,2.31106593741e-45,1,1,4.472719964e-46,1,1,2.12132315349e-43,1
1e-08,0.999999397531,0.000241932071134,0.999999426796,0.9999995,1.60877549634e-17,0.9999995,0.9999995,1.60877549634e-17,0.9999995,0.9999995,-1.41763902144e-14,0.9999995,0.999999500001,1.57580908286e-14,0.999999500001,0.999999500003,1.16800301809e-15,0.999999500003,0.9999995,1.65810928412e-17,0.9999995,0.9999995,1.02136210435e-15,0.9999995,0.999999500001,5.84314985713e-15,0.999999500001,0.999999500004,4.10432599515e-14,0.999999500004
1.13505568075e-08,0.999999300456,0.000274606346865,0.99999933816,0.999999432472,4.27294433806e-17,0.999999432472,0.999999432472,4.27294433806e-17,0.999999432472,0.999999432473,2.90025022356e-15,0.999999432473,0.999999432473,-1.15583447332e-14,0.999999432473,0.999999432476,-4.50765088842e-15,0.999999432476,0.999999432472,9.30979793164e-18,0.999999432472,0.999999432473,-2.01924859266e-14,0.999999432473,0.999999432473,-1.86699611513e-14,0.999999432473,0.999999432476,7.41860363798e-15,0.999999432476
1.2883513984e-08,0.999999185741,0.000311693460864,0.999999234317,0.999999355824,-6.99399116976e-17,0.999999355824,0.999999355824,-6.99399116976e-17,0.999999355824,0.999999355825,-7.49922762272e-15,0.999999355825,0.999999355826,5.61929770696e-15,0.999999355826,0.999999355829,1.69225959233e-14,0.999999355829,0.999999355824,-4.23369167187e-17,0.999999355824,0.999999355825,1.16711999076e-16,0.999999355825,0.999999355826,-4.42907857823e-15,0.999999355826,0.999999355828,-3.70450312385e-14,0.999999355828
1.46235057356e-08,0.999999049698,0.000353789389162,0.999999112281,0.999999268824,1.1088740454e-16,0.999999268824,0.999999268824,1.1088740454e-16,0.999999268824,0.999999268825,5.47856809082e-15,0.999999268825,0.999999268826,1.3345963943e-15,0.999999268826,0.999999268829,7.76968447253e-15,0.999999268829,0.999999268824,1.62692698245e-16,0.999999268824,0.999999268825,-1.34549312772e-14,0.999999268825,0.999999268826,6.33423935137e-15,0.999999268826,0.999999268829,4.27306517288e-14,0.999999268829
1.65984932576e-08,0.999998887763,0.000401570596607,0.999998968393,0.999999170074,1.97352839348e-16,0.999999170074,0.999999170074,1.97352839348e-16,0.999999170074,0.999999170076,-4.6283887642e-15,0.999999170076,0.999999170077,1.62927560406e-14,0.999999170077,0.999999170081,1.33029188825e-15,0.999999170081,0.999999170074,1.91327876842e-16,0.999999170074,0.999999170076,-6.99858508433e-15,0.999999170076,0.999999170077,7.32785294685e-15,0.999999170077,0.999999170079,3.8306265056e-14,0.999999170079
1.8840214064e-08,0.999998694273,0.000455804906996,0.999998798152,0.999999057987,-1.51090996639e-17,0.999999057987,0.999999057987,-1.51090996639e-17,0.999999057987,0.99999905799,-1.91231040047e-14,0.99999905799,0.999999057991,7.65309541124e-16,0.999999057991,0.999999057994,-7.24371247426e-15,0.999999057994,0.999999057987,-1.16022645817e-17,0.999999057987,0.99999905799,-7.59577807671e-15,0.99999905799,0.999999057991,1.81335263719e-14,0.999999057991,0.999999057994,6.34495254531e-14,0.999999057994
2.13846919998e-08,0.999998462172,0.00051736384106,0.999998596005,0.999998930762,-4.83403857027e-17,0.999998930762,0.999998930762,-4.83403857027e-17,0.999998930762,0.999998930766,-5.5965348776e-15,0.999998930766,0.999998930767,-2.64815829249e-16,0.999998930767,0.999998930769,7.0345123716e-15,0.999998930769,0.999998930762,8.19205405098e-17,0.999998930762,0.999998930766,-5.30333205417e-15,0.999998930766,0.999998930767,-7.33612966588e-16,0.999998930767,0.99999893077,6.23319074998e-15,0.99999893077
2.42728161355e-08,0.999998182649,0.000587236620415,0.999998355073,0.999998786353,-7.33872120681e-17,0.999998786353,0.999998786353,-7.33872120681e-17,0.999998786353,0.99999878636,-9.2155022233e-15,0.99999878636,0.999998786361,-1.9722352359e-15,0.999998786361,0.999998786363,7.43851283486e-16,0.999998786363,0.999998786353,-8.72245040095e-17,0.999998786353,0.99999878636,-1.52792403628e-14,0.99999878636,0.999998786361,4.75114553701e-14,0.999998786361,0.999998786364,-3.32433292152e-15,0.999998786364
2.75509978424e-08,0.999997844663,0.000666546062625,0.999998066805,0.99999862244,8.261361765e-17,0.99999862244,0.99999862244,8.261361765e-17,0.99999862244,0.999998622451,4.83675103499e-15,0.999998622451,0.999998622452,3.25795161537e-15,0.999998622452,0.999998622456,6.35747617412e-15,0.999998622456,0.99999862244,-2.21523440779e-18,0.99999862244,0.999998622451,-1.85090471991e-14,0.999998622451,0.999998622452,9.81159949366e-17,0.999998622452,0.999998622455,1.62583098834e-14,0.999998622455
3.12719166113e-08,0.999997434347,0.000756566622386,0.999997720544,0.999998436386,-2.82161601258e-17,0.999998436386,0.999998436386,-2.82161601258e-17,0.999998436386,0.999998436406,-9.03134017437e-15,0.999998436406,0.999998436406,-1.54140971431e-15,0.999998436406,0.999998436409,2.46692122333e-15,0.999998436409,0.999998436386,2.81586461331e-17,0.999998436386,0.999998436406,7.82353242198e-15,0.999998436406,0.999998436406,9.63206008537e-15,0.999998436406,0.999998436409,3.12392087339e-14,0.999998436409
3.54953665976e-08,0.999996934239,0.000858744868635,0.999997302962,0.999998225202,6.0599911976e-17,0.999998225202,0.999998225202,6.0599911976e-17,0.999998225202,0.999998225234,-1.17850567162e-14,0.999998225234,0.999998225234,-4.56419209552e-15,0.999998225234,0.999998225238,-1.04528006755e-14,0.999998225238,0.999998225202,6.09437108487e-17,0.999998225202,0.999998225234,8.25523290828e-15,0.999998225234,0.999998225234,-1.48645552634e-14,0.999998225234,0.999998225237,-5.28488860284e-14,0.999998225237
4.02892174968e-08,0.999996322304,0.000974722726163,0.999996797348,0.999997985488,-2.72814665681e-17,0.999997985488,0.999997985488,-2.72814665681e-17,0.999997985488,0.999997985541,-8.90168387592e-15,0.999997985541,0.999997985542,9.99009800889e-15,0.999997985542,0.999997985544,-1.85072825518e-15,0.999997985544,0.999997985488,2.46037243211e-17,0.999997985488,0.999997985541,8.54904183034e-16,0.999997985541,0.999997985542,-2.30791579781e-14,0.999997985542,0.999997985545,-2.33192815413e-14,0.999997985545
4.57305051927e-08,0.99999557067,0.00110636385461,0.999996182693,0.99999771339,-1.23416082742e-17,0.99999771339,0.99999771339,-1.23416082742e-17,0.99999771339,0.999997713478,-1.02551534991e-14,0.999997713478,0.999997713478,-3.38369287025e-15,0.999997713478,0.999997713481,3.17660951294e-15,0.999997713481,0.99999771339,-1.8946403178e-16,0.99999771339,0.999997713478,-3.96399567457e-15,0.999997713478,0.999997713478,-2.11267684208e-17,0.999997713478,0.999997713481,2.91872226237e-14,0.999997713481
5.19066697026e-08,0.999994644026,0.00125578358805,0.999995432527,0.999997404524,-8.23613106852e-17,0.999997404524,0.999997404524,-8.23613106852e-17,0.999997404524,0.99999740467,7.77169765047e-15,0.99999740467,0.999997404671,1.6251868632e-14,0.999997404671,0.999997404673,4.37044658342e-15,0.999997404673,0.999997404524,-6.57146718622e-17,0.999997404524,0.99999740467,1.5250637802e-14,0.99999740467,0.999997404671,-1.82332844147e-14,0.999997404671,0.999997404674,-3.93242270656e-14,0.999997404674
5.89169603147e-08,0.999993497552,0.00142538291506,0.999994513416,0.999997053915,-2.65945145171e-16,0.999997053915,0.999997053915,-2.65945145171e-16,0.999997053915,0.999997054157,7.55312932252e-15,0.999997054157,0.999997054157,5.47386039332e-16,0.999997054157,0.99999705416,5.94026108655e-15,0.99999705416,0.999997053915,-3.44169101924e-16,0.999997053915,0.999997054157,2.35110471559e-14,0.999997054157,0.999997054157,-2.63047037622e-14,0.999997054157,0.99999705416,-7.11645003291e-14,0.99999705416
6.68740304976e-08,0.999992074271,0.00161788704345,0.99999338306,0.999996655903,5.94877836547e-17,0.999996655903,0.999996655903,5.94877836547e-17,0.999996655903,0.999996656304,-4.88868582503e-15,0.999996656304,0.999996656305,5.28433249356e-15,0.999996656305,0.999996656308,3.7137747991e-15,0.999996656308,0.999996655903,9.98686052649e-17,0.999996655903,0.999996656304,-2.43492562656e-14,0.999996656304,0.999996656305,-2.20887216751e-14,0.999996656305,0.999996656308,1.47545959561e-14,0.999996656308
