angle_deg,energy_kcal_mol,rel_energy_kcal_mol,achieved_deg
0.0,-184.5453,16.6902,-4.95
10.0,-184.0976,17.1378,5.00
20.0,-183.3951,17.8403,15.00
30.0,-182.6860,18.5495,25.00
40.0,-182.0466,19.1889,35.00
50.0,-181.6232,19.6123,45.00
60.0,-181.2266,20.0089,55.00
70.0,-180.6534,20.5820,65.00
80.0,-179.8865,21.3490,75.00
90.0,-180.9270,20.3085,95.00
100.0,-181.9621,19.2733,105.00
110.0,-183.5502,17.6852,115.00
120.0,-185.5406,15.6949,125.00
130.0,-187.7121,13.5233,135.00
140.0,-189.8223,11.4131,145.00
150.0,-191.6447,9.5907,155.00
160.0,-192.9939,8.2415,165.00
170.0,-193.7412,7.4943,175.00
180.0,-193.8719,7.3636,-178.74
190.0,-193.8243,7.4112,-175.00
200.0,-193.2541,7.9814,-165.00
210.0,-192.1232,9.1123,-155.00
220.0,-201.2354,0.0000,-145.00
230.0,-199.4489,1.7866,-135.00
240.0,-197.4419,3.7936,-125.00
250.0,-195.6014,5.6341,-115.00
260.0,-194.0365,7.1989,-105.00
270.0,-192.8369,8.3986,-95.00
280.0,-191.5198,9.7156,-85.00
290.0,-190.0519,11.1835,-75.00
300.0,-188.3775,12.8579,-65.00
310.0,-186.5052,14.7302,-55.00
320.0,-188.7056,12.5298,-35.55
330.0,-188.7053,12.5301,-35.00
340.0,-188.6009,12.6346,-25.00
350.0,-190.3895,10.8460,-14.19
