potential_RHE_V,bulk_pH,feasible,FE_CO,FE_HCOOH,FE_C2H4,FE_H2
-0.95,5.0,False,,,,
-0.8999999999999999,5.0,False,,,,
-0.85,5.0,False,,,,
-0.7999999999999999,5.0,True,0.002569657807475579,0.3662991838135012,0.617257143325643,0.01387401505338021
-0.75,5.0,True,0.004555920693674484,0.3277739666878112,0.6027195994712947,0.06495051314721959
-0.7,5.0,True,0.007916684746081315,0.2886701046052108,0.5745786320022757,0.12883457864643227
-0.6499999999999999,5.0,True,0.01393690272675737,0.2595261758372543,0.5510844859569325,0.1754524354790559
-0.6,5.0,True,0.025053261791054295,0.24152543299909524,0.5330009525488285,0.20042035266102198
-0.55,5.0,True,0.04554821607093351,0.23292773480145795,0.5098061264722035,0.2117179226554051
-0.5,5.0,True,0.0823316471952308,0.23306329512554566,0.4659350524354888,0.21867000524373473
-0.45,5.0,True,0.1441071725411291,0.24252638325959253,0.3853723516081608,0.22799409259111755
-0.4,5.0,True,0.23328950005723836,0.25982569883770645,0.26567668497958274,0.2412081161254724
-0.95,5.5,False,,,,
-0.8999999999999999,5.5,False,,,,
-0.85,5.5,False,,,,
-0.7999999999999999,5.5,True,0.0025750087010883156,0.3670619421688425,0.6185424807336166,0.011820568396452596
-0.75,5.5,True,0.004594377293013043,0.33054071197554735,0.6078071652365515,0.057057745494887985
-0.7,5.5,True,0.008043059418001723,0.2932781685780461,0.5837506766700523,0.11492809533389983
-0.6499999999999999,5.5,True,0.014241621311119763,0.2652004960543485,0.5631334819008071,0.15742440073372466
-0.6,5.5,True,0.025689763698316423,0.2476616159855019,0.5465423479048214,0.18010627241136032
-0.55,5.5,True,0.04678624609517298,0.23925886155103707,0.5236629873014156,0.19029190505237442
-0.5,5.5,True,0.08465979074704344,0.23965377188868003,0.4791105897269861,0.1965758476372903
-0.45,5.5,True,0.14837449328745128,0.2497081067544355,0.39678404890315244,0.20513335105496086
-0.4,5.5,True,0.2406216129594306,0.26799182443830843,0.2740267026583576,0.21735985994390333
-0.95,6.0,False,,,,
-0.8999999999999999,6.0,False,,,,
-0.85,6.0,False,,,,
-0.7999999999999999,6.0,True,0.002579607820965225,0.36771753679792946,0.6196472346774199,0.010055620703685406
-0.75,6.0,True,0.004628789924303113,0.3330165155332722,0.6123597395113193,0.0499949550311053
-0.7,6.0,True,0.008158576178720215,0.29749031500926126,0.5921346738198465,0.10221643499217199
