angle_deg,cavity_ev,LP_ev,UP_ev
0,0.16,0.149516437588,0.192620961712
0.5,0.16000360497,0.149519231614,0.19262170213
1,0.160014420245,0.149527613321,0.192623924132
1.5,0.160032446915,0.1495415816,0.192627629964
2,0.160057686798,0.149561134593,0.192632823373
2.5,0.160090142438,0.149586269694,0.192639509615
3,0.160129817102,0.14961698353,0.192647695458
3.5,0.160176714779,0.149653271955,0.192657389201
4,0.160230840176,0.149695130032,0.19266860068
4.5,0.160292198716,0.14974255201,0.192681341286
5,0.160360796534,0.149795531311,0.192695623985
5.5,0.160436640471,0.149854060493,0.192711463338
6,0.160519738073,0.149918131235,0.192728875521
6.5,0.160610097582,0.149987734295,0.192747878356
7,0.16070772793,0.150062859482,0.192768491333
7.5,0.160812638736,0.150143495615,0.192790735649
8,0.160924840294,0.150229630484,0.192814634234
8.5,0.161044343571,0.150321250808,0.192840211792
9,0.161171160191,0.150418342181,0.19286749484
9.5,0.161305302435,0.150520889027,0.192896511747
10,0.161446783223,0.150628874542,0.192927292782
10.5,0.161595616107,0.150742280637,0.192959870159
11,0.161751815263,0.150861087878,0.192994278093
11.5,0.161915395473,0.150985275417,0.193030552846
12,0.162086372116,0.151114820922,0.193068732789
12.5,0.162264761154,0.151249700508,0.193108858461
13,0.162450579115,0.151389888658,0.19315097263
13.5,0.162643843083,0.151535358139,0.193195120363
14,0.162844570677,0.151686079919,0.19324134909
14.5,0.163052780034,0.151842023078,0.19328970868
15,0.163268489796,0.152003154714,0.193340251514
15.5,0.163491719082,0.152169439842,0.193393032566
16,0.163722487477,0.152340841297,0.193448109483
16.5,0.163960815005,0.152517319626,0.193505542671
17,0.164206722106,0.152698832975,0.193565395381
17.5,0.164460229615,0.152885336977,0.193627733803
18,0.164721358736,0.153076784635,0.193692627155
18.5,0.164990131013,0.153273126193,0.193760147783
19,0.165266568309,0.153474309018,0.193830371258
19.5,0.165550692765,0.153680277462,0.193903376477
20,0.165842526783,0.153890972733,0.193979245766
20.5,0.166142092981,0.154106332755,0.194058064986
21,0.166449414169,0.154326292032,0.194139923637
21.5,0.166764513305,0.1545507815,0.194224914967
22,0.167087413465,0.154779728386,0.194313136075
22.5,0.167418137796,0.15501305606,0.194404688026
23,0.167756709481,0.155250683884,0.19449967595
23.5,0.168103151692,0.155492527071,0.194598209153
24,0.168457487547,0.155738496529,0.194700401213
24.5,0.168819740059,0.155988498717,0.194806370088
25,0.169189932089,0.156242435501,0.194916238205
25.5,0.169568086291,0.156500204009,0.195030132553
26,0.169954225062,0.156761696493,0.195148184764
