probe_ev,g0.002_T,g0.002_R,g0.002_A,g0.009_T,g0.009_R,g0.009_A,g0.022_T,g0.022_R,g0.022_A,g0.040_T,g0.040_R,g0.040_A
0.06,3.52000859611e-06,0.999996465342,1.46498482234e-08,3.60528671411e-06,0.999996097259,2.97454083809e-07,4.0722717426e-06,0.999994125183,1.80254562132e-06,5.55597281665e-06,0.999988245377,6.19865055629e-06
0.0604166666667,3.58155096654e-06,0.999996403491,1.49580132724e-08,3.66862697958e-06,0.999996027648,3.03725358308e-07,4.1455898632e-06,0.999994013407,1.84100360567e-06,5.66232587219e-06,0.999988002323,6.33535081818e-06
0.0608333333333,3.64393323408e-06,0.999996340795,1.52721338909e-08,3.73284203025e-06,0.99999595704,3.10118341895e-07,4.21998121251e-06,0.999993899794,1.88022480152e-06,5.7704591954e-06,0.999987754607,6.47493347106e-06
0.06125,3.70716724497e-06,0.99999627724,1.55923374212e-08,3.79794446678e-06,0.99999588542,3.16635666797e-07,4.29546282574e-06,0.999993784311,1.92022623191e-06,5.88040719032e-06,0.999987502125,6.6174682356e-06
0.0616666666667,3.77126507109e-06,0.999996212816,1.59187550919e-08,3.86394713475e-06,0.999995812773,3.23280033521e-07,4.37205210062e-06,0.999993666923,1.96102537153e-06,5.99220513303e-06,0.999987244768,6.76302685065e-06
0.0620833333333,3.83623901476e-06,0.999996147509,1.6251522128e-08,3.93086313007e-06,0.999995739083,3.30054211295e-07,4.4497668063e-06,0.999993547593,2.00264015926e-06,6.10588919771e-06,0.999986982428,6.91168314504e-06
0.0625,3.90210161375e-06,0.999996081308,1.65907763083e-08,3.99870580448e-06,0.999995664333,3.36961040515e-07,4.52862509255e-06,0.999993426286,2.04508901258e-06,6.22149648365e-06,0.99998671499,7.06351310253e-06
0.0629166666667,3.96886564629e-06,0.999996014198,1.69366595193e-08,4.06748877126e-06,0.999995588508,3.44003436181e-07,4.6086454992e-06,0.999993302964,2.08839084204e-06,6.33906504319e-06,0.99998644234,7.21859493769e-06
0.0633333333333,4.03654413636e-06,0.999995946167,1.72893162009e-08,4.13722591101e-06,0.99999551159,3.51184387348e-07,4.68984696589e-06,0.999993177588,2.13256506576e-06,6.45863391072e-06,0.999986164357,7.37700916964e-06
0.06375,4.10515035898e-06,0.999995877201,1.76488966774e-08,4.20793137768e-06,0.999995433562,3.58506961673e-07,4.77224884207e-06,0.99999305012,2.17763162591e-06,6.58024313262e-06,0.999985880918,7.53883870042e-06
0.0641666666667,4.17469784571e-06,0.999995807287,1.80155529383e-08,4.27961960467e-06,0.999995354406,3.65974306527e-07,4.85587089731e-06,0.999992920518,2.22361100455e-06,6.70393379842e-06,0.999985591897,7.70416889651e-06
0.0645833333333,4.24520039029e-06,0.99999573641,1.83894417471e-08,4.35230531116e-06,0.999995274105,3.73589651992e-07,4.94073333197e-06,0.999992788742,2.27052423851e-06,6.82974807294e-06,0.999985297164,7.87308767469e-06
0.065,4.31667205442e-06,0.999995664557,1.87707250854e-08,4.42600350857e-06,0.99999519264,3.81356313084e-07,5.02685678813e-06,0.99999265475,2.31839293952e-06,6.95772922978e-06,0.999984996585,8.04568558754e-06
0.0654166666667,4.38912717368e-06,0.999995591713,1.9159566933e-08,4.50072950719e-06,0.999995109993,3.89277691304e-07,5.11426236084e-06,0.999992518498,2.36723930891e-06,7.08792168584e-06,0.999984690022,8.22205591477e-06
0.0658333333333,4.4625803636e-06,0.999995517863,1.95561379313e-08,4.57649892305e-06,0.999995026144,3.97357279414e-07,5.20297160982e-06,0.999992379942,2.41708615945e-06,7.22037103731e-06,0.999984377334,8.40229476062e-06
0.06625,4.53704652591e-06,0.999995442993,1.9960611275e-08,4.65332768491e-06,0.999994941074,4.05598661102e-07,5.29300657137e-06,0.999992239036,2.46795693004e-06,7.35512409685e-06,0.999984058375,8.58650115088e-06
0.0666666666667,4.61254085496e-06,0.999995367086,2.0373165599e-08,4.73123204145e-06,0.999994854762,4.14005517313e-07,5.38438977077e-06,0.999992095735,2.51987570965e-06,7.49222893223e-06,0.999983732994,8.77477713479e-06
0.0670833333333,4.68907884431e-06,0.999995290127,2.07939845343e-08,4.81022856869e-06,0.99999476719,4.22581625803e-07,5.47714423496e-06,0.999991949989,2.57286725636e-06,7.63173490642e-06,0.999983401037,8.96722789367e-06
0.0675,4.76667629343e-06,0.9999952121,2.12232562635e-08,4.8903341776e-06,0.999994678335,4.31330867134e-07,5.57129350572e-06,0.999991801749,2.62695701636e-06,7.77369271915e-06,0.999983062345,9.1639618508e-06
0.0679166666667,4.84534931468e-06,0.99999513299,2.16611739656e-08,4.97156612187e-06,0.999994588177,4.4025722501e-07,5.66686165316e-06,0.999991650967,2.68217114852e-06,7.91815445008e-06,0.999982716755,9.36509078686e-06
0.0683333333333,4.92511434042e-06,0.999995052778,2.21079354823e-08,5.053942006e-06,0.999994496693,4.49364790822e-07,5.76387328969e-06,0.99999149759,2.73853654797e-06,8.06517360362e-06,0.999982364096,9.57072996144e-06
0.06875,5.00598813032e-06,0.999994971448,2.25637454276e-08,5.13747979352e-06,0.999994403862,4.58657766877e-07,5.86235358439e-06,0.999991341566,2.79608086473e-06,8.21480515545e-06,0.999982004197,9.78099823778e-06
0.0691666666667,5.08798777885e-06,0.999994888983,2.30288123015e-08,5.22219781546e-06,0.999994309662,4.681404705e-07,5.96232827791e-06,0.999991182839,2.85483253415e-06,8.36710560083e-06,0.999981636876,9.99601821383e-06
0.0695833333333,5.17113072302e-06,0.999994805366,2.35033510432e-08,5.3081147791e-06,0.999994214068,4.77817335476e-07,6.06382369771e-06,0.999991021356,2.91482079839e-06,8.52213300483e-06,0.999981261951,1.02159163565e-05
0.07,5.25543475027e-06,0.999994720578,2.39875826979e-08,5.3952497769e-06,0.999994117057,4.87692918161e-07,6.16686677392e-06,0.999990857057,2.97607573363e-06,8.67994705444e-06,0.99998087923,1.04408231459e-05
0.0704166666667,5.34091800664e-06,0.9999946346,2.44817340844e-08,5.48362229574e-06,0.999994018606,4.97771899255e-07,6.27148505564e-06,0.999990689887,3.03862827744e-06,8.84060911277e-06,0.999980488518,1.0670873221e-05
0.0708333333333,5.4275990051e-06,0.999994547415,2.49860374613e-08,5.5732522264e-06,0.999993918689,5.08059088911e-07,6.37770672772e-06,0.999990519783,3.10251025726e-06,9.00418227542e-06,0.999980089612,1.09062055347e-05
0.07125,5.51549663417e-06,0.999994459003,2.55007329697e-08,5.66415987329e-06,0.999993817281,5.18559429952e-07,6.48556062819e-06,0.999990346685,3.16775441866e-06,9.17073142903e-06,0.999979682305,1.11469635119e-05
0.0716666666667,5.60463016671e-06,0.999994369344,2.6026065858e-08,5.75636596448e-06,0.999993714356,5.29278003869e-07,6.59507626618e-06,0.999990170529,3.23439445771e-06,9.34032331215e-06,0.999979266381,1.13932952208e-05
0.0720833333333,5.69501926901e-06,0.999994278418,2.6562289257e-08,5.84989166201e-06,0.999993609888,5.40220032375e-07,6.70628384042e-06,0.999989991251,3.30246504943e-06,9.51302657864e-06,0.99997884162,1.16453535431e-05
0.0725,5.78668401012e-06,0.999994186206,2.71096627369e-08,5.94475857248e-06,0.999993503851,5.51390883841e-07,6.81921425836e-06,0.999989808784,3.37200188361e-06,9.68891186352e-06,0.999978407792,1.19032963589e-05
0.0729166666667,5.87964487142e-06,0.999994092687,2.76684530842e-08,6.04098875801e-06,0.999993396215,5.62796077519e-07,6.93389915596e-06,0.999989623059,3.44304169608e-06,9.8680518516e-06,0.999977964661,1.21672867348e-05
0.0733333333333,5.97392275647e-06,0.999993997838,2.82389355233e-08,6.13860474741e-06,0.999993286954,5.74441288315e-07,7.05037091807e-06,0.999989434007,3.51562230705e-06,1.00505213488e-05,0.999977511986,1.24374931231e-05
0.07375,6.06953900114e-06,0.99999390164,2.88213909405e-08,6.23762954779e-06,0.999993176038,5.86332351893e-07,7.16866269948e-06,0.999989241555,3.58978265402e-06,1.02363973565e-05,0.999977049513,1.27140895676e-05
0.0741666666667,6.16651538402e-06,0.999993804069,2.94161103254e-08,6.33808665639e-06,0.999993063438,5.98475268898e-07,7.28880844677e-06,0.999989045629,3.66556283171e-06,1.04257591488e-05,0.999976576985,1.29972559214e-05
0.0745833333333,6.26487413714e-06,0.999993705102,3.00233916617e-08,6.44000007287e-06,0.999992949124,6.10876212614e-07,7.41084292075e-06,0.999988846153,3.74300413253e-06,1.06186883535e-05,0.999976094134,1.32871780697e-05
0.075,6.36463795694e-06,0.999993604719,3.06435421482e-08,6.5433943119e-06,0.999992833064,6.23541531741e-07,7.53480171979e-06,0.999988643049,3.82214908534e-06,1.08152690353e-05,0.999975600683,1.35840481673e-05
0.0754166666667,6.46583001567e-06,0.999993502893,3.1276875978e-08,6.64829441612e-06,0.999992715228,6.36477757276e-07,7.66072130384e-06,0.999988436237,3.90304149989e-06,1.10155877841e-05,0.999975096347,1.38880648847e-05
0.0758333333333,6.56847397295e-06,0.999993399602,3.19237188906e-08,6.75472596949e-06,0.999992595582,6.49691610954e-07,7.7886390193e-06,0.999988225634,3.98572650928e-06,1.12197338058e-05,0.999974580833,1.41994336645e-05
0.07625,6.67259398784e-06,0.999993294822,3.25844042859e-08,6.86271511109e-06,0.999992474095,6.6319000569e-07,7.91859312477e-06,0.999988011156,4.07025061677e-06,1.14277990172e-05,0.999974053834,1.45183669913e-05
0.0766666666667,6.77821473109e-06,0.999993188526,3.32592756669e-08,6.97228854923e-06,0.999992350731,6.76980059344e-07,8.05062281763e-06,0.999987792715,4.15666174491e-06,1.16398781456e-05,0.999973515037,1.48450846723e-05
0.0770833333333,6.88536139789e-06,0.99999308069,3.39486859735e-08,7.08347357608e-06,0.999992225457,6.91069094172e-07,8.1847682616e-06,0.999987570222,4.24500928253e-06,1.18560688319e-05,0.999972964117,1.51798141311e-05
0.0775,6.99405972088e-06,0.999992971287,3.46529995809e-08,7.19629808267e-06,0.999992098237,7.05464648809e-07,8.32107061517e-06,0.999987343585,4.33534413813e-06,1.20764717384e-05,0.999972400738,1.55227907171e-05
0.0779166666667,7.10433598363e-06,0.999992860291,3.53725901903e-08,7.31079057443e-06,0.999991969035,7.20174483382e-07,8.45957206108e-06,0.999987112709,4.42771879428e-06,1.23011906619e-05,0.999971824551,1.58742580258e-05
0.0783333333333,7.21621703443e-06,0.999992747675,3.61078429378e-08,7.42698018709e-06,0.999991837813,7.35206588276e-07,8.60031583687e-06,0.999986877497,4.52218736047e-06,1.25303326507e-05,0.999971235199,1.62344682362e-05
0.07875,7.32973030055e-06,0.999992633411,3.68591547284e-08,7.54489670316e-06,0.999991704534,7.50569189467e-07,8.7433462664e-06,0.999986637848,4.61880563529e-06,1.27640081276e-05,0.999970632309,1.66036824648e-05
0.0791666666667,7.44490380289e-06,0.999992517469,3.76269333469e-08,7.66457056887e-06,0.999991569159,7.6627075829e-07,8.88870879256e-06,0.99998639366,4.7176311635e-06,1.30023310182e-05,0.999970015498,1.6982171134e-05
0.0795833333333,7.56176617108e-06,0.999992399822,3.84115992347e-08,7.78603291166e-06,0.999991431647,7.82320020654e-07,9.03645001113e-06,0.999986144827,4.81872330105e-06,1.32454188848e-05,0.999969384367,1.73702143597e-05
0.08,7.68034665901e-06,0.99999228044,3.92135852678e-08,7.90931555815e-06,0.999991291958,7.98725963591e-07,9.18661770586e-06,0.999985891239,4.92214327896e-06,1.34933930661e-05,0.999968738505,1.77681023584e-05
0.0804166666667,7.80067516085e-06,0.999992159292,4.00333369788e-08,8.03445105278e-06,0.999991150051,8.1549784503e-07,9.33926088478e-06,0.999985632785,5.02795427404e-06,1.37463788241e-05,0.999968077485,1.81761358704e-05
0.0808333333333,7.92278222753e-06,0.999992036346,4.08713138889e-08,8.1614726769e-06,0.999991005882,8.32645203563e-07,9.49442981783e-06,0.999985369349,5.13622147702e-06,1.40045054966e-05,0.999967400868,1.85946266071e-05
0.08125,8.04669908372e-06,0.999991911573,4.17279878429e-08,8.29041446857e-06,0.999990859408,8.50177867773e-07,9.65217607589e-06,0.999985100812,5.24701216942e-06,1.42679066575e-05,0.999966708196,1.90238977175e-05
0.0816666666667,8.17245764534e-06,0.999991784939,4.26038468948e-08,8.42131124288e-06,0.999990710583,8.68105967666e-07,9.81255257121e-06,0.999984827052,5.36039579713e-06,1.45367202842e-05,0.999965998995,1.94642842818e-05
0.0820833333333,8.30009053757e-06,0.99999165641,4.34993930876e-08,8.55419861307e-06,0.999990559361,8.86439941561e-07,9.97561359932e-06,0.999984547942,5.47644405435e-06,1.48110889329e-05,0.999965272777,1.99161338227e-05
0.0825,8.42963111347e-06,0.999991525954,4.44151431189e-08,8.68911301209e-06,0.999990405696,9.05190551181e-07,1.01414148825e-05,0.999984263354,5.59523096622e-06,1.50911599219e-05,0.999964529033,2.0379806848e-05
0.0829166666667,8.56111347307e-06,0.999991393535,4.5351630229e-08,8.8260917151e-06,0.999990249539,9.24368890987e-07,1.03100136148e-05,0.999983973153,5.71683297457e-06,1.53770855242e-05,0.999963767237,2.08556774175e-05
0.0833333333333,8.69457248318e-06,0.999991259118,4.63094043113e-08,8.96517286249e-06,0.999990090841,9.43986398716e-07,1.0481468509e-05,0.999983677202,5.84132903081e-06,1.56690231681e-05,0.999962986843,2.13441337396e-05
0.08375,8.83004379767e-06,0.999991122667,4.72890315795e-08,9.10639548377e-06,0.99998992955,9.64054870822e-07,1.06558398448e-05,0.999983375359,5.96880068926e-06,1.59671356486e-05,0.999962187286,2.18455787981e-05
0.0841666666667,8.96756387851e-06,0.999990984145,4.82910956778e-08,9.24979952215e-06,0.999989765614,9.84586472019e-07,1.08331895195e-05,0.999983067478,6.09933220796e-06,1.62715913483e-05,0.999961367978,2.23604310088e-05
0.0845833333333,9.10717001737e-06,0.999990843514,4.93161993464e-08,9.39542585998e-06,0.99998959898,1.00559375049e-06,1.10135810999e-05,0.999982753408,6.23301065061e-06,1.65825644693e-05,0.999960528311,2.28891249129e-05
0.085,9.24890035795e-06,0.999990700735,5.03649632e-08,9.54331634498e-06,0.999989429594,1.02708965033e-06,1.11970798772e-05,0.999982432994,6.36992599445e-06,1.69002352761e-05,0.999959667653,2.34321119054e-05
0.0854166666667,9.39279391897e-06,0.999990555768,5.14380278371e-08,9.69351381737e-06,0.999989257399,1.04908752807e-06,1.13837529223e-05,0.999982106076,6.51017124387e-06,1.72247903509e-05,0.999958785349,2.39898610001e-05
0.0858333333333,9.53889061795e-06,0.999990408573,5.25360536185e-08,9.84606213784e-06,0.999989082337,1.07160116469e-06,1.15736691455e-05,0.999981772488,6.65384254517e-06,1.75564228614e-05,0.999957880718,2.4562859636e-05
0.08625,9.68723129567e-06,0.999990259109,5.36597224432e-08,1.00010062165e-05,0.999988904349,1.09464478393e-06,1.17668993562e-05,0.999981432061,6.80103931294e-06,1.78953328416e-05,0.999956953053,2.5151614524e-05
0.0866666666667,9.83785774147e-06,0.999990107333,5.48097380815e-08,1.01583920428e-05,0.999988723375,1.11823306603e-06,1.19635163269e-05,0.999981084619,6.95186435584e-06,1.82417274874e-05,0.99995600162,2.57566525451e-05
0.0870833333333,9.99081271932e-06,0.9999899532,5.59868249539e-08,1.03182667162e-05,0.999988539352,1.14238116622e-06,1.21635948583e-05,0.999980729981,7.10642401014e-06,1.85958214669e-05,0.999955025657,2.63785216855e-05
0.0875,1.01461399947e-05,0.999989796668,5.71917334602e-08,1.04806784786e-05,0.999988352217,1.16710473164e-06,1.23672118479e-05,0.99998036796,7.2648282804e-06,1.89578372457e-05,0.999954024371,2.70177920344e-05
0.0879166666667,1.03038843626e-05,0.99998963769,5.84252364266e-08,1.06456767468e-05,0.999988161903,1.1924199208e-06,1.25744463605e-05,0.999979998363,7.42719098457e-06,1.93280054309e-05,0.999952996938,2.76750568252e-05
0.0883333333333,1.04640916758e-05,0.99998947622,5.96881315484e-08,1.0813312147e-05,0.999987968344,1.21834342015e-06,1.27853797024e-05,0.99997962099,7.59362990954e-06,1.97065651305e-05,0.999951942501,2.83509335424e-05
0.08875,1.06268088749e-05,0.99998931221,6.09812431662e-08,1.09836365497e-05,0.999987771471,1.24489246578e-06,1.30000954981e-05,0.999979235638,7.76426696614e-06,2.00937643338e-05,0.999950860171,2.90460650822e-05
0.0891666666667,1.07920840188e-05,0.999989145611,6.2305422599e-08,1.11567031067e-05,0.999987571212,1.27208486478e-06,1.32186797698e-05,0.999978842092,7.93922836051e-06,2.048986031e-05,0.999949749019,2.97611209839e-05
0.0895833333333,1.09599663161e-05,0.999988976372,6.36615490324e-08,1.13325662885e-05,0.999987367495,1.29993901388e-06,1.34412210209e-05,0.999978440134,8.11864476757e-06,2.08951200293e-05,0.999948608081,3.04967987222e-05
0.09,1.1130506158e-05,0.999988804443,6.50505295186e-08,1.15112819236e-05,0.999987160244,1.3284739262e-06,1.36678103223e-05,0.999978029538,8.30265151219e-06,2.13098206055e-05,0.999947436354,3.12538250815e-05
0.0904166666667,1.13037551521e-05,0.999988629772,6.64733031952e-08,1.16929072385e-05,0.999986949384,1.35770925103e-06,1.38985414025e-05,0.99997761007,8.49138876213e-06,2.17342497628e-05,0.999946232793,3.20329576006e-05
0.0908333333333,1.14797661568e-05,0.999988452303,6.79308378437e-08,1.18775009001e-05,0.999986734834,1.38766529956e-06,1.41335107414e-05,0.999977181488,8.68500172846e-06,2.21687063286e-05,0.999944996308,3.28349861022e-05
0.09125,1.16585933179e-05,0.999988271983,6.94241365506e-08,1.20651230586e-05,0.999986516514,1.41836307188e-06,1.4372817668e-05,0.999976743541,8.88364087481e-06,2.26135007516e-05,0.999943725765,3.36607343119e-05
0.0916666666667,1.18402921052e-05,0.999988088754,7.09542340438e-08,1.22558353925e-05,0.99998629434,1.44982428074e-06,1.46165644623e-05,0.999976295973,9.08746213812e-06,2.30689556502e-05,0.999942419983,3.45110615698e-05
0.0920833333333,1.20249193516e-05,0.999987902558,7.25222003561e-08,1.24497011549e-05,0.999986068227,1.48207138218e-06,1.48648564614e-05,0.999975838516,9.29662715676e-06,2.35354063905e-05,0.999941077729,3.53868646399e-05
0.0925,1.22125332927e-05,0.999987713338,7.4129142047e-08,1.26467852217e-05,0.999985838087,1.51512760316e-06,1.51178021698e-05,0.999975370894,9.51130351445e-06,2.40132016962e-05,0.999939697719,3.62890796309e-05
0.0929166666667,1.24031936076e-05,0.99998752103,7.57762030901e-08,1.28471541416e-05,0.999985603829,1.54901697247e-06,1.53755133753e-05,0.999974892822,9.73166499085e-06,2.45027042945e-05,0.999938278612,3.72186840238e-05
0.0933333333333,1.2596961462e-05,0.999987325574,7.74645670942e-08,1.3050876187e-05,0.999985365359,1.583764352e-06,1.56381052688e-05,0.999974404003,9.95789182978e-06,2.50042915969e-05,0.99993681901,3.81766988298e-05
0.09375,1.27938995519e-05,0.999987126905,7.91954573032e-08,1.32580214083e-05,0.999985122583,1.6193954695e-06,1.59056965704e-05,0.999973904132,1.01901710134e-05,2.55183564203e-05,0.999935317453,3.91641908681e-05
0.0941666666667,1.29940721492e-05,0.999986924958,8.09701402593e-08,1.34686616889e-05,0.999984875401,1.65593695522e-06,1.61784096596e-05,0.999973392894,1.04286965582e-05,2.60453077497e-05,0.999933772417,4.01822751898e-05
0.0945833333333,1.31975451488e-05,0.999986719665,8.27899261369e-08,1.36828708024e-05,0.999984623713,1.69341637524e-06,1.6456370713e-05,0.999972869959,1.06736698177e-05,2.65855715449e-05,0.999932182311,4.12321176463e-05
0.095,1.34043861177e-05,0.999986510958,8.4656170185e-08,1.39007244729e-05,0.999984367413,1.73186227193e-06,1.67397098461e-05,0.99997233499,1.09252998066e-05,2.7139591595e-05,0.999930545471,4.23149376155e-05
0.0954166666667,1.36146643452e-05,0.999986298765,8.65702765029e-08,1.41223004359e-05,0.999984106395,1.77130420154e-06,1.70285612634e-05,0.999971787635,1.11838035375e-05,2.77078304239e-05,0.999928860159,4.34320109022e-05
0.0958333333333,1.3828450895e-05,0.999986083015,8.85336973733e-08,1.4347678503e-05,0.999983840549,1.81177277625e-06,1.73230634134e-05,0.99997122753,1.14494063745e-05,2.82907702494e-05,0.999927124557,4.4584672813e-05
0.09625,1.40458186599e-05,0.999985863633,9.05479364821e-08,1.45769406281e-05,0.99998356976,1.8532997087e-06,1.7623359152e-05,0.999970654298,1.17223424075e-05,2.88889140008e-05,0.999925336765,4.57743214315e-05
0.0966666666667,1.42668424174e-05,0.999985640543,9.26145524716e-08,1.48101709762e-05,0.999983293911,1.89591785482e-06,1.79295959123e-05,0.999970067549,1.20028548422e-05,2.95027863983e-05,0.999923494793,4.70024211001e-05
